covariance_feature	other_family	other_feature	eligible_buckets	median_spearman	median_abs_spearman	generic_median_spearman	product_median_spearman	sign_consistency	min_spearman	max_spearman
rho	symplectic_face	ridge_symp_area_sum_over_volume_sqrt	18	0.9613075127552915	0.9613075127552915	0.9391605898097042	0.9752029651848937	1.0	0.8436590775008631	0.9974725743866675
rho	symplectic_face	ridge_symp_area_mean_over_volume_sqrt	18	0.960396988728329	0.960396988728329	0.9366465614874884	0.9752029651848937	1.0	0.8405201378496602	0.9974725743866675
nu2	symplectic_face	ridge_symp_area_mean_over_volume_sqrt	18	0.9446936858504398	0.9446936858504398	0.8890770939023289	0.9592706954974608	1.0	0.7851829601703693	0.9626278185573276
nu2	symplectic_face	ridge_symp_area_sum_over_volume_sqrt	18	0.9446936858504398	0.9446936858504398	0.8929497704062399	0.9592706954974608	1.0	0.7854265893001033	0.9626278185573276
nu2	symplectic_face	ridge_symp_area_std_over_volume_sqrt	18	0.9292347378362158	0.9292347378362158	0.8974942976018814	0.9496781234353764	1.0	0.8169074479106709	0.9633557819540803
rho	symplectic_face	ridge_symp_area_std_over_volume_sqrt	18	0.9140422045990988	0.9140422045990988	0.8865697582430592	0.9383140735641227	1.0	0.7797269806895358	0.9991756222730849
nu2	symplectic_face	ridge_symp_area_q95_over_volume_sqrt	18	0.9134489205885441	0.9134489205885441	0.8848449069305685	0.9343872878817681	1.0	0.7751593616898813	0.961547703132823
rho	symplectic_face	ridge_symp_area_q95_over_volume_sqrt	18	0.9095756344487269	0.9095756344487269	0.8807041718018016	0.927055429019741	1.0	0.7476103840508804	0.9970961259924183
rho	symplectic_face	ridge_symp_area_q90_over_volume_sqrt	18	0.9057534553697535	0.9057534553697535	0.8796763012087194	0.9170594523371003	1.0	0.7472241208127084	0.9924613649774693
nu2	symplectic_face	ridge_symp_area_q90_over_volume_sqrt	18	0.903523889966442	0.903523889966442	0.8735218289731177	0.9218823649059437	1.0	0.7189879633360191	0.9568943678027322
nu2	symplectic_face	ridge_symp_area_max_over_volume_sqrt	18	0.8949183654689861	0.8949183654689861	0.8677113460966577	0.9195267628835562	1.0	0.7730706623402784	0.9611243942672196
rho	symplectic_face	ridge_symp_area_max_over_volume_sqrt	18	0.8856824255929746	0.8856824255929746	0.8541919505275073	0.9015095374973179	1.0	0.7287691018188096	0.9959651267792002
covariance_condition	symplectic_face	ridge_symp_area_mean_over_volume_sqrt	18	0.8320393301623631	0.8320393301623631	0.7684592116707294	0.859204053715757	1.0	0.6728955623345226	0.8795823349545813
covariance_condition	symplectic_face	ridge_symp_area_sum_over_volume_sqrt	18	0.8320393301623631	0.8320393301623631	0.7680887077854454	0.859204053715757	1.0	0.6717104221825715	0.8795823349545813
covariance_condition	symplectic_face	ridge_symp_area_std_over_volume_sqrt	18	0.8269926708568771	0.8269926708568771	0.7737017432994587	0.846050817851012	1.0	0.6945075975595716	0.871319335169158
covariance_condition	symplectic_face	ridge_symp_area_q95_over_volume_sqrt	18	0.821229693423217	0.821229693423217	0.7616353329814262	0.8269976608879908	1.0	0.6541554549902151	0.8592960982762319
covariance_condition	symplectic_face	ridge_symp_area_q90_over_volume_sqrt	18	0.7946885687916088	0.7946885687916088	0.7511141938750987	0.8235279017058865	1.0	0.6138315514561988	0.8497244251126528
covariance_condition	symplectic_face	ridge_symp_area_max_over_volume_sqrt	18	0.7938941968117446	0.7938941968117446	0.7537929262368248	0.8181206972856019	1.0	0.6681152512374812	0.8361368553751519
nu2	symplectic_face	ridge_symp_area_top3_share	18	0.7286813190939678	0.7286813190939678	0.7286813190939678	0.7233697707660491	1.0	0.5270202417566697	0.7742268525141263
rho	symplectic_face	ridge_symp_area_top3_share	18	0.6802683261767363	0.6802683261767363	0.6801481519593537	0.6826452641084328	1.0	0.47102221318217574	0.739248521003485
nu2	symplectic_face	ridge_symp_area_max_share	18	0.6718438931135575	0.6718438931135575	0.6826472842351312	0.633878750962817	1.0	0.42066649074897533	0.7421048680066952
covariance_condition	symplectic_face	ridge_symp_area_top3_share	18	0.6373133709966983	0.6373133709966983	0.6345689512737323	0.6455758126644338	1.0	0.3662731117230527	0.7141120650346898
rho	symplectic_face	ridge_symp_area_max_share	18	0.6012268044609059	0.6012268044609059	0.6263062494509338	0.5911559603180305	1.0	0.3625588740209771	0.7727766194089347
covariance_condition	symplectic_face	ridge_symp_area_max_share	18	0.5740080479985227	0.5740080479985227	0.5927272698012154	0.5525711955237252	1.0	0.2750732226307302	0.6291193917635546
nu1	symplectic_face	ridge_symp_area_q75_over_volume_sqrt	18	-0.23381900879986905	0.23381900879986905	-0.2018722247971527	-0.26892884204456047	1.0	-0.6493484237536656	-0.07627811323399823
nu1	symplectic_face	ridge_symp_area_q25_over_volume_sqrt	18	-0.1806012868045374	0.1806012868045374	-0.34847805962537615	-0.16005329053966585	1.0	-0.46636935160389553	-0.048832304791659516
nu1	symplectic_face	ridge_symp_area_median_over_volume_sqrt	18	-0.16536965345826476	0.16536965345826476	-0.3867815794080789	-0.14029601557470853	1.0	-0.47390808642611093	-0.06270399336599672
nu2	combinatorial	facet_neighbor_count_std	7	0.10807963830672768	0.10807963830672768	0.10807963830672768		1.0	0.026065860820362028	0.2631585870240617
nu2	combinatorial	facet_vertex_count_std	7	0.10807963830672768	0.10807963830672768	0.10807963830672768		1.0	0.026065860820362028	0.2630245738944091
nu2	combinatorial	facet_neighbor_count_min	7	-0.09222171052402309	0.09222171052402309	-0.09222171052402309		1.0	-0.13186376684993284	-0.026065860820362028
nu2	combinatorial	facet_vertex_count_min	7	-0.09222171052402309	0.09222171052402309	-0.09222171052402309		1.0	-0.13186376684993284	-0.026065860820362028
nu1	combinatorial	facet_neighbor_count_std	7	0.08887373026122872	0.08887373026122872	0.08887373026122872		1.0	0.035147569998543286	0.11066279307818123
nu1	combinatorial	facet_vertex_count_std	7	0.0888487008473672	0.0888487008473672	0.0888487008473672		1.0	0.035147569998543286	0.11066279307818123
