=== Crosspolytope EHZ Capacity Experiment ===
Facets: 16
Total search space: 3809950976992 (S,σ) pairs
Starting computation...

[    0.0s] m= 2/16 DONE | this_m:          112 eval,            8 pruned (  6.7%) of          120 | cumul:          112 eval,            8 pruned | progress: 0.000000% | best: none | ETA: 21654460s (total est: 21654460s)
[    0.0s] m= 3/16 DONE | this_m:          896 eval,          224 pruned ( 20.0%) of         1120 | cumul:         1008 eval,          232 pruned | progress: 0.000000% | best: none | ETA: 25988505s (total est: 25988505s)
[    0.1s] m= 4/16 DONE | this_m:         8120 eval,         2800 pruned ( 25.6%) of        10920 | cumul:         9128 eval,         3032 pruned | progress: 0.000000% | best: 4.000000 | ETA: 20324323s (total est: 20324324s)
[    0.7s] m= 5/16 DONE | this_m:        72576 eval,        32256 pruned ( 30.8%) of       104832 | cumul:        81704 eval,        35288 pruned | progress: 0.000003% | best: 4.000000 | ETA: 23593779s (total est: 23593779s)
[    7.7s] m= 6/16 DONE | this_m:       620032 eval,       340928 pruned ( 35.5%) of       960960 | cumul:       701736 eval,       376216 pruned | progress: 0.000028% | best: 4.000000 | ETA: 27372137s (total est: 27372144s)
[   10.0s] m= 7/16 ...  | this_m:       159642 eval,        83190 pruned ( 34.3%) of      8236800 | cumul:       861378 eval,       459406 pruned | progress: 0.000035% | best: 4.000000 | ETA: 28846128s (total est: 28846138s)
[   20.0s] m= 7/16 ...  | this_m:       866212 eval,       558232 pruned ( 39.2%) of      8236800 | cumul:      1567948 eval,       934448 pruned | progress: 0.000066% | best: 4.000000 | ETA: 30450420s (total est: 30450440s)
[   30.0s] m= 7/16 ...  | this_m:      1572245 eval,      1030082 pruned ( 39.6%) of      8236800 | cumul:      2273981 eval,      1406298 pruned | progress: 0.000097% | best: 4.000000 | ETA: 31057021s (total est: 31057051s)
[   40.0s] m= 7/16 ...  | this_m:      2282482 eval,      1498856 pruned ( 39.6%) of      8236800 | cumul:      2984218 eval,      1875072 pruned | progress: 0.000128% | best: 4.000000 | ETA: 31362187s (total est: 31362227s)
[   50.0s] m= 7/16 ...  | this_m:      2989763 eval,      1987340 pruned ( 39.9%) of      8236800 | cumul:      3691499 eval,      2363556 pruned | progress: 0.000159% | best: 4.000000 | ETA: 31460888s (total est: 31460938s)
[   60.0s] m= 7/16 ...  | this_m:      3694244 eval,      2464166 pruned ( 40.0%) of      8236800 | cumul:      4395980 eval,      2840382 pruned | progress: 0.000190% | best: 4.000000 | ETA: 31590017s (total est: 31590077s)
[   70.0s] m= 7/16 ...  | this_m:      4406696 eval,      2949656 pruned ( 40.1%) of      8236800 | cumul:      5108432 eval,      3325872 pruned | progress: 0.000221% | best: 4.000000 | ETA: 31620416s (total est: 31620486s)
[   77.7s] m= 7/16 DONE | this_m:      4957440 eval,      3279360 pruned ( 39.8%) of      8236800 | cumul:      5659176 eval,      3655576 pruned | progress: 0.000244% | best: 4.000000 | ETA: 31799976s (total est: 31800054s)
[   80.0s] m= 8/16 ...  | this_m:       139785 eval,        61040 pruned ( 30.4%) of     64864800 | cumul:      5798961 eval,      3716616 pruned | progress: 0.000250% | best: 4.000000 | ETA: 32031222s (total est: 32031302s)
[   90.0s] m= 8/16 ...  | this_m:       752597 eval,       442302 pruned ( 37.0%) of     64864800 | cumul:      6411773 eval,      4097878 pruned | progress: 0.000276% | best: 4.000000 | ETA: 32626670s (total est: 32626760s)
[  100.0s] m= 8/16 ...  | this_m:      1359410 eval,       899328 pruned ( 39.8%) of     64864800 | cumul:      7018586 eval,      4554904 pruned | progress: 0.000304% | best: 4.000000 | ETA: 32919566s (total est: 32919666s)
[  110.0s] m= 8/16 ...  | this_m:      1968686 eval,      1334064 pruned ( 40.4%) of     64864800 | cumul:      7627862 eval,      4989640 pruned | progress: 0.000331% | best: 4.000000 | ETA: 33215259s (total est: 33215369s)
[  120.0s] m= 8/16 ...  | this_m:      2571861 eval,      1805328 pruned ( 41.2%) of     64864800 | cumul:      8231037 eval,      5460904 pruned | progress: 0.000359% | best: 4.000000 | ETA: 33391388s (total est: 33391508s)
[  130.0s] m= 8/16 ...  | this_m:      3170628 eval,      2297760 pruned ( 42.0%) of     64864800 | cumul:      8829804 eval,      5953336 pruned | progress: 0.000388% | best: 4.000000 | ETA: 33503856s (total est: 33503986s)
[  140.0s] m= 8/16 ...  | this_m:      3773424 eval,      2777280 pruned ( 42.4%) of     64864800 | cumul:      9432600 eval,      6432856 pruned | progress: 0.000416% | best: 4.000000 | ETA: 33619673s (total est: 33619813s)
[  150.0s] m= 8/16 ...  | this_m:      4386777 eval,      3228338 pruned ( 42.4%) of     64864800 | cumul:     10045953 eval,      6883914 pruned | progress: 0.000444% | best: 4.000000 | ETA: 33756358s (total est: 33756508s)
[  160.0s] m= 8/16 ...  | this_m:      4992072 eval,      3700536 pruned ( 42.6%) of     64864800 | cumul:     10651248 eval,      7356112 pruned | progress: 0.000473% | best: 4.000000 | ETA: 33852262s (total est: 33852422s)
[  170.0s] m= 8/16 ...  | this_m:      5597544 eval,      4189416 pruned ( 42.8%) of     64864800 | cumul:     11256720 eval,      7844992 pruned | progress: 0.000501% | best: 4.000000 | ETA: 33907381s (total est: 33907551s)
[  180.0s] m= 8/16 ...  | this_m:      6206281 eval,      4671426 pruned ( 42.9%) of     64864800 | cumul:     11865457 eval,      8327002 pruned | progress: 0.000530% | best: 4.000000 | ETA: 33962588s (total est: 33962768s)
[  190.0s] m= 8/16 ...  | this_m:      6816108 eval,      5153818 pruned ( 43.1%) of     64864800 | cumul:     12475284 eval,      8809394 pruned | progress: 0.000559% | best: 4.000000 | ETA: 34009784s (total est: 34009974s)
[  200.0s] m= 8/16 ...  | this_m:      7420820 eval,      5662008 pruned ( 43.3%) of     64864800 | cumul:     13079996 eval,      9317584 pruned | progress: 0.000588% | best: 4.000000 | ETA: 34020925s (total est: 34021125s)
[  210.0s] m= 8/16 ...  | this_m:      8028199 eval,      6178926 pruned ( 43.5%) of     64864800 | cumul:     13687375 eval,      9834502 pruned | progress: 0.000617% | best: 4.000000 | ETA: 34014525s (total est: 34014735s)
[  220.0s] m= 8/16 ...  | this_m:      8627820 eval,      6606840 pruned ( 43.4%) of     64864800 | cumul:     14286996 eval,     10262416 pruned | progress: 0.000644% | best: 4.000000 | ETA: 34142753s (total est: 34142973s)
[  230.0s] m= 8/16 ...  | this_m:      9235803 eval,      7051872 pruned ( 43.3%) of     64864800 | cumul:     14894979 eval,     10707448 pruned | progress: 0.000672% | best: 4.000000 | ETA: 34226582s (total est: 34226812s)
[  240.0s] m= 8/16 ...  | this_m:      9841997 eval,      7524576 pruned ( 43.3%) of     64864800 | cumul:     15501173 eval,     11180152 pruned | progress: 0.000700% | best: 4.000000 | ETA: 34270509s (total est: 34270749s)
[  250.0s] m= 8/16 ...  | this_m:     10451581 eval,      8025901 pruned ( 43.4%) of     64864800 | cumul:     16110757 eval,     11681477 pruned | progress: 0.000729% | best: 4.000000 | ETA: 34271501s (total est: 34271751s)
[  260.0s] m= 8/16 ...  | this_m:     11062515 eval,      8503648 pruned ( 43.5%) of     64864800 | cumul:     16721691 eval,     12159224 pruned | progress: 0.000758% | best: 4.000000 | ETA: 34298794s (total est: 34299054s)
[  270.0s] m= 8/16 ...  | this_m:     11669144 eval,      8987154 pruned ( 43.5%) of     64864800 | cumul:     17328320 eval,     12642730 pruned | progress: 0.000787% | best: 4.000000 | ETA: 34322439s (total est: 34322709s)
[  280.0s] m= 8/16 ...  | this_m:     12273061 eval,      9496272 pruned ( 43.6%) of     64864800 | cumul:     17932237 eval,     13151848 pruned | progress: 0.000816% | best: 4.000000 | ETA: 34319121s (total est: 34319401s)
[  290.0s] m= 8/16 ...  | this_m:     12864520 eval,      9998472 pruned ( 43.7%) of     64864800 | cumul:     18523696 eval,     13654048 pruned | progress: 0.000845% | best: 4.000000 | ETA: 34336695s (total est: 34336985s)
[  300.0s] m= 8/16 ...  | this_m:     13468280 eval,     10443840 pruned ( 43.7%) of     64864800 | cumul:     19127456 eval,     14099416 pruned | progress: 0.000872% | best: 4.000000 | ETA: 34399154s (total est: 34399454s)
[  310.0s] m= 8/16 ...  | this_m:     14071260 eval,     10938323 pruned ( 43.7%) of     64864800 | cumul:     19730436 eval,     14593899 pruned | progress: 0.000901% | best: 4.000000 | ETA: 34409266s (total est: 34409576s)
[  320.0s] m= 8/16 ...  | this_m:     14674682 eval,     11423305 pruned ( 43.8%) of     64864800 | cumul:     20333858 eval,     15078881 pruned | progress: 0.000929% | best: 4.000000 | ETA: 34427556s (total est: 34427876s)
[  330.0s] m= 8/16 ...  | this_m:     15270645 eval,     11908783 pruned ( 43.8%) of     64864800 | cumul:     20929821 eval,     15564359 pruned | progress: 0.000958% | best: 4.000000 | ETA: 34451325s (total est: 34451655s)
[  340.0s] m= 8/16 ...  | this_m:     15867928 eval,     12401784 pruned ( 43.9%) of     64864800 | cumul:     21527104 eval,     16057360 pruned | progress: 0.000986% | best: 4.000000 | ETA: 34465616s (total est: 34465956s)
[  350.0s] m= 8/16 ...  | this_m:     16462865 eval,     12877604 pruned ( 43.9%) of     64864800 | cumul:     22122041 eval,     16533180 pruned | progress: 0.001015% | best: 4.000000 | ETA: 34496517s (total est: 34496867s)
[  360.0s] m= 8/16 ...  | this_m:     17059560 eval,     13362788 pruned ( 43.9%) of     64864800 | cumul:     22718736 eval,     17018364 pruned | progress: 0.001043% | best: 4.000000 | ETA: 34516089s (total est: 34516449s)
[  370.0s] m= 8/16 ...  | this_m:     17657722 eval,     13829688 pruned ( 43.9%) of     64864800 | cumul:     23316898 eval,     17485264 pruned | progress: 0.001071% | best: 4.000000 | ETA: 34548857s (total est: 34549227s)
[  380.0s] m= 8/16 ...  | this_m:     18256318 eval,     14220720 pruned ( 43.8%) of     64864800 | cumul:     23915494 eval,     17876296 pruned | progress: 0.001097% | best: 4.000000 | ETA: 34642374s (total est: 34642754s)
[  390.0s] m= 8/16 ...  | this_m:     18857423 eval,     14646934 pruned ( 43.7%) of     64864800 | cumul:     24516599 eval,     18302510 pruned | progress: 0.001124% | best: 4.000000 | ETA: 34700992s (total est: 34701382s)
[  400.0s] m= 8/16 ...  | this_m:     19452881 eval,     15115722 pruned ( 43.7%) of     64864800 | cumul:     25112057 eval,     18771298 pruned | progress: 0.001152% | best: 4.000000 | ETA: 34727615s (total est: 34728015s)
[  410.0s] m= 8/16 ...  | this_m:     20047402 eval,     15583656 pruned ( 43.7%) of     64864800 | cumul:     25706578 eval,     19239232 pruned | progress: 0.001180% | best: 4.000000 | ETA: 34754362s (total est: 34754772s)
[  420.0s] m= 8/16 ...  | this_m:     20653310 eval,     16072686 pruned ( 43.8%) of     64864800 | cumul:     26312486 eval,     19728262 pruned | progress: 0.001208% | best: 4.000000 | ETA: 34755334s (total est: 34755754s)
[  430.0s] m= 8/16 ...  | this_m:     21248993 eval,     16560600 pruned ( 43.8%) of     64864800 | cumul:     26908169 eval,     20216176 pruned | progress: 0.001237% | best: 4.000000 | ETA: 34764626s (total est: 34765056s)
[  440.0s] m= 8/16 ...  | this_m:     21847073 eval,     17065166 pruned ( 43.9%) of     64864800 | cumul:     27506249 eval,     20720742 pruned | progress: 0.001266% | best: 4.000000 | ETA: 34759764s (total est: 34760204s)
[  450.0s] m= 8/16 ...  | this_m:     22445591 eval,     17543160 pruned ( 43.9%) of     64864800 | cumul:     28104767 eval,     21198736 pruned | progress: 0.001294% | best: 4.000000 | ETA: 34773541s (total est: 34773991s)
[  460.0s] m= 8/16 ...  | this_m:     23043116 eval,     18014727 pruned ( 43.9%) of     64864800 | cumul:     28702292 eval,     21670303 pruned | progress: 0.001322% | best: 4.000000 | ETA: 34791853s (total est: 34792313s)
[  470.0s] m= 8/16 ...  | this_m:     23640486 eval,     18479648 pruned ( 43.9%) of     64864800 | cumul:     29299662 eval,     22135224 pruned | progress: 0.001350% | best: 4.000000 | ETA: 34814007s (total est: 34814477s)
[  480.0s] m= 8/16 ...  | this_m:     24246885 eval,     18972504 pruned ( 43.9%) of     64864800 | cumul:     29906061 eval,     22628080 pruned | progress: 0.001379% | best: 4.000000 | ETA: 34810752s (total est: 34811232s)
[  490.0s] m= 8/16 ...  | this_m:     24858893 eval,     19487394 pruned ( 43.9%) of     64864800 | cumul:     30518069 eval,     23142970 pruned | progress: 0.001408% | best: 4.000000 | ETA: 34789699s (total est: 34790189s)
[  500.0s] m= 8/16 ...  | this_m:     25472697 eval,     19995202 pruned ( 44.0%) of     64864800 | cumul:     31131873 eval,     23650778 pruned | progress: 0.001438% | best: 4.000000 | ETA: 34772867s (total est: 34773367s)
[  510.0s] m= 8/16 ...  | this_m:     26081631 eval,     20483346 pruned ( 44.0%) of     64864800 | cumul:     31740807 eval,     24138922 pruned | progress: 0.001467% | best: 4.000000 | ETA: 34771970s (total est: 34772480s)
[  520.0s] m= 8/16 ...  | this_m:     26686889 eval,     20961060 pruned ( 44.0%) of     64864800 | cumul:     32346065 eval,     24616636 pruned | progress: 0.001495% | best: 4.000000 | ETA: 34779719s (total est: 34780239s)
[  530.0s] m= 8/16 ...  | this_m:     27296569 eval,     21442662 pruned ( 44.0%) of     64864800 | cumul:     32955745 eval,     25098238 pruned | progress: 0.001524% | best: 4.000000 | ETA: 34782198s (total est: 34782728s)
[  540.0s] m= 8/16 ...  | this_m:     27904614 eval,     21854640 pruned ( 43.9%) of     64864800 | cumul:     33563790 eval,     25510216 pruned | progress: 0.001551% | best: 4.000000 | ETA: 34826546s (total est: 34827086s)
[  550.0s] m= 8/16 ...  | this_m:     28508805 eval,     22330920 pruned ( 43.9%) of     64864800 | cumul:     34167981 eval,     25986496 pruned | progress: 0.001579% | best: 4.000000 | ETA: 34834346s (total est: 34834896s)
[  560.0s] m= 8/16 ...  | this_m:     29113580 eval,     22813536 pruned ( 43.9%) of     64864800 | cumul:     34772756 eval,     26469112 pruned | progress: 0.001607% | best: 4.000000 | ETA: 34837935s (total est: 34838495s)
[  570.0s] m= 8/16 ...  | this_m:     29714738 eval,     23323616 pruned ( 44.0%) of     64864800 | cumul:     35373914 eval,     26979192 pruned | progress: 0.001637% | best: 4.000000 | ETA: 34828073s (total est: 34828643s)
[  580.0s] m= 8/16 ...  | this_m:     30322378 eval,     23827676 pruned ( 44.0%) of     64864800 | cumul:     35981554 eval,     27483252 pruned | progress: 0.001666% | best: 4.000000 | ETA: 34818302s (total est: 34818882s)
