feature	bucket	rho
ridge sum	G-F10	-0.9032457356290269
ridge sum	G-F11	-0.8644884721793067
ridge sum	G-F12	-0.840943772816745
ridge sum	G-F5	-0.9817019897060002
ridge sum	G-F6	-0.9743669247319211
ridge sum	G-F7	-0.9614289719733122
ridge sum	G-F8	-0.9489128428949085
ridge sum	G-F9	-0.933354004302995
ridge sum	P3x3	-0.997102339782562
ridge sum	P3x4	-0.9837245860453473
ridge sum	P3x5	-0.9751292714219297
ridge sum	P3x6	-0.9745203199878406
ridge sum	P4x4	-0.967814500482798
ridge sum	P4x5	-0.9589219521135827
ridge sum	P4x6	-0.940624374150633
ridge sum	P5x5	-0.9289339326586081
ridge sum	P5x6	-0.9076726897217653
ridge sum	P6x6	-0.8776791270295401
ridge mean	G-F10	-0.8966896765315114
ridge mean	G-F11	-0.8564114159542693
ridge mean	G-F12	-0.8326309495199186
ridge mean	G-F5	-0.9817019897060002
ridge mean	G-F6	-0.9716010202446757
ridge mean	G-F7	-0.9596891057552557
ridge mean	G-F8	-0.9487826658541331
ridge mean	G-F9	-0.9260776799304197
ridge mean	P3x3	-0.997102339782562
ridge mean	P3x4	-0.9837245860453473
ridge mean	P3x5	-0.9751292714219297
ridge mean	P3x6	-0.9745203199878406
ridge mean	P4x4	-0.967814500482798
ridge mean	P4x5	-0.9589219521135827
ridge mean	P4x6	-0.940624374150633
ridge mean	P5x5	-0.9289339326586081
ridge mean	P5x6	-0.9076726897217653
ridge mean	P6x6	-0.8776791270295401
ridge max	G-F10	-0.8408387192295808
ridge max	G-F11	-0.8330879102722559
ridge max	G-F12	-0.7888029505842231
ridge max	G-F5	-0.9445183842883464
ridge max	G-F6	-0.9266302170952495
ridge max	G-F7	-0.9095629878062736
ridge max	G-F8	-0.9058617934676875
ridge max	G-F9	-0.8694935827010448
ridge max	P3x3	-0.9943104369322652
ridge max	P3x4	-0.9611754233423933
ridge max	P3x5	-0.9275120028967885
ridge max	P3x6	-0.8967162354266505
ridge max	P4x4	-0.9323643806773478
