selection_id	selection_kind	requested_budget	selected_rows	selected_max_sys	selected_mean_sys	baseline_replicates	baseline_rows_total	baseline_p90_sys	baseline_p95_sys	selected_rows_above_baseline_p95	baseline_mean_sys	improvement_vs_baseline_mean_sys	selected_bucket_counts
global_low_ridge_symp_area_sum_over_volume_sqrt_top_10	global_low_ridge_symp_area_sum_over_volume_sqrt	10	10	0.677771849599173	0.610045231580930	1	10	0.732241770648183	0.791820864209135	0	0.486410288073966	0.123634943506964	random-product:5x5:h0p8_1p2:3;random-product:5x6:h0p8_1p2:1;random-product:6x6:h0p8_1p2:6
global_low_ridge_symp_area_sum_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_sum_over_volume_sqrt_percentile	0.0001	10	0.677771849599173	0.610045231580930	1	10	0.630157569491292	0.634478444135088	3	0.454139090902335	0.155906140678596	random-product:5x5:h0p8_1p2:3;random-product:5x6:h0p8_1p2:1;random-product:6x6:h0p8_1p2:6
per_bucket_low_ridge_symp_area_sum_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_sum_over_volume_sqrt	10	100	0.822164707178267	0.626116682098113	1	100	0.601092980680061	0.672748983257587	31	0.315503943368181	0.310612738729932	random-product:3x3:h0p8_1p2:10;random-product:3x4:h0p8_1p2:10;random-product:3x5:h0p8_1p2:10;random-product:3x6:h0p8_1p2:10;random-product:4x4:h0p8_1p2:10;random-product:4x5:h0p8_1p2:10;random-product:4x6:h0p8_1p2:10;random-product:5x5:h0p8_1p2:10;random-product:5x6:h0p8_1p2:10;random-product:6x6:h0p8_1p2:10
global_low_ridge_symp_area_max_over_volume_sqrt_top_10	global_low_ridge_symp_area_max_over_volume_sqrt	10	10	0.772097451150711	0.651099339872291	1	10	0.614001747594463	0.659882783430473	5	0.440038713997595	0.211060625874696	random-product:6x6:h0p8_1p2:10
global_low_ridge_symp_area_max_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_max_over_volume_sqrt_percentile	0.0001	10	0.772097451150711	0.651099339872291	1	10	0.734986759268548	0.766674224775743	2	0.606717383837182	0.044381956035109	random-product:6x6:h0p8_1p2:10
per_bucket_low_ridge_symp_area_max_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_max_over_volume_sqrt	10	100	0.823268805001436	0.665791578207309	1	100	0.599840282765751	0.661309078520634	61	0.333687146220140	0.332104431987169	random-product:3x3:h0p8_1p2:10;random-product:3x4:h0p8_1p2:10;random-product:3x5:h0p8_1p2:10;random-product:3x6:h0p8_1p2:10;random-product:4x4:h0p8_1p2:10;random-product:4x5:h0p8_1p2:10;random-product:4x6:h0p8_1p2:10;random-product:5x5:h0p8_1p2:10;random-product:5x6:h0p8_1p2:10;random-product:6x6:h0p8_1p2:10
global_low_ridge_symp_area_std_over_volume_sqrt_top_10	global_low_ridge_symp_area_std_over_volume_sqrt	10	10	0.804117647866311	0.689962755459091	1	10	0.641897863399288	0.692248909005685	6	0.476815890816181	0.213146864642910	random-product:6x6:h0p8_1p2:10
global_low_ridge_symp_area_std_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_std_over_volume_sqrt_percentile	0.0001	10	0.804117647866311	0.689962755459091	1	10	0.715084708069072	0.758516387047065	3	0.490267007376897	0.199695748082195	random-product:6x6:h0p8_1p2:10
per_bucket_low_ridge_symp_area_std_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_std_over_volume_sqrt	10	100	0.867546058507634	0.687639192921729	1	100	0.630473611186960	0.658241461583008	66	0.362719313118720	0.324919879803009	random-product:3x3:h0p8_1p2:10;random-product:3x4:h0p8_1p2:10;random-product:3x5:h0p8_1p2:10;random-product:3x6:h0p8_1p2:10;random-product:4x4:h0p8_1p2:10;random-product:4x5:h0p8_1p2:10;random-product:4x6:h0p8_1p2:10;random-product:5x5:h0p8_1p2:10;random-product:5x6:h0p8_1p2:10;random-product:6x6:h0p8_1p2:10
global_low_ridge_symp_area_q95_over_volume_sqrt_top_10	global_low_ridge_symp_area_q95_over_volume_sqrt	10	10	0.788590305831019	0.677720931857533	1	10	0.537179657637498	0.600222127186658	9	0.356361254368381	0.321359677489152	random-product:6x6:h0p8_1p2:10
