base_id	base_geometry_id	bucket	t	s_row_id	n_row_id	singular_spectrum_max_abs_delta	symplectic_residual_s	symplectic_residual_n	symplectic_feature_l1_delta	response_difference_l1	negative_control_equal_at_t1
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0	99cb84fc481e6606a9464bb61a323109d90c4135868094d8fc7882a009aebf8b	3x3	1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=S/t=1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=N/t=1	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	true
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0	99cb84fc481e6606a9464bb61a323109d90c4135868094d8fc7882a009aebf8b	3x3	5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=S/t=5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=N/t=5/4	0.00000000000000000e0	0.00000000000000000e0	9.44464133781691029e-1	1.60268821668846329e1	2.01628863061100851e1	false
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0	99cb84fc481e6606a9464bb61a323109d90c4135868094d8fc7882a009aebf8b	3x3	3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=S/t=3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=N/t=3/2	0.00000000000000000e0	0.00000000000000000e0	1.93449837183112772e0	3.86477810352649485e1	4.25074809903013673e1	false
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0	99cb84fc481e6606a9464bb61a323109d90c4135868094d8fc7882a009aebf8b	3x3	2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=S/t=2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0/attempt=0/map=N/t=2	0.00000000000000000e0	0.00000000000000000e0	4.37321392113397511e0	9.98038019222676525e1	1.01974877532609739e2	false
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63	f89caaaf9fd29d67c04e158218602a1053dcac9b8ea67cb12be6692728cb62c6	3x3	1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=S/t=1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=N/t=1	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	true
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63	f89caaaf9fd29d67c04e158218602a1053dcac9b8ea67cb12be6692728cb62c6	3x3	5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=S/t=5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=N/t=5/4	0.00000000000000000e0	0.00000000000000000e0	9.44464133781691029e-1	4.76927174494251034e1	5.84205580210593212e1	false
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63	f89caaaf9fd29d67c04e158218602a1053dcac9b8ea67cb12be6692728cb62c6	3x3	3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=S/t=3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=N/t=3/2	0.00000000000000000e0	0.00000000000000000e0	1.93449837183112772e0	6.88318314096191273e1	9.21455993835825211e1	false
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63	f89caaaf9fd29d67c04e158218602a1053dcac9b8ea67cb12be6692728cb62c6	3x3	2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=S/t=2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1/attempt=63/map=N/t=2	0.00000000000000000e0	0.00000000000000000e0	4.37321392113397511e0	7.53438945133081006e1	1.31236356634893184e2	false
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1	5dd8d7920d0fce20f0b88b88d3e81dfc09581e2b55bbf48e6b706568d68086f6	4x4	1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=S/t=1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=N/t=1	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	true
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1	5dd8d7920d0fce20f0b88b88d3e81dfc09581e2b55bbf48e6b706568d68086f6	4x4	5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=S/t=5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=N/t=5/4	0.00000000000000000e0	0.00000000000000000e0	9.44464133781691029e-1	1.97059372389047667e1	4.95850229881831410e1	false
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1	5dd8d7920d0fce20f0b88b88d3e81dfc09581e2b55bbf48e6b706568d68086f6	4x4	3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=S/t=3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=N/t=3/2	0.00000000000000000e0	0.00000000000000000e0	1.93449837183112772e0	5.68805041834853569e1	9.76302545294248603e1	false
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1	5dd8d7920d0fce20f0b88b88d3e81dfc09581e2b55bbf48e6b706568d68086f6	4x4	2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=S/t=2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0/attempt=1/map=N/t=2	0.00000000000000000e0	0.00000000000000000e0	4.37321392113397511e0	1.79443887176461772e2	2.15346637780424203e2	false
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0	8de17a0c34a8ec0cd2bfb7932f0c5277efbcf76c3049d1282aa2f9236f0ff06b	4x4	1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=S/t=1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=N/t=1	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	true
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0	8de17a0c34a8ec0cd2bfb7932f0c5277efbcf76c3049d1282aa2f9236f0ff06b	4x4	5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=S/t=5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=N/t=5/4	0.00000000000000000e0	0.00000000000000000e0	9.44464133781691029e-1	1.69073255144603536e1	2.84152086852123702e1	false
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0	8de17a0c34a8ec0cd2bfb7932f0c5277efbcf76c3049d1282aa2f9236f0ff06b	4x4	3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=S/t=3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=N/t=3/2	0.00000000000000000e0	0.00000000000000000e0	1.93449837183112772e0	1.18920020479405366e1	5.13370835395131948e1	false
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0	8de17a0c34a8ec0cd2bfb7932f0c5277efbcf76c3049d1282aa2f9236f0ff06b	4x4	2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=S/t=2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1/attempt=0/map=N/t=2	0.00000000000000000e0	0.00000000000000000e0	4.37321392113397511e0	3.14233500999882978e1	1.04508652183045839e2	false
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14	fc68b6265260655e8598c64f8073ecbf92720870ea322fac638c093b1e3fd35a	4x6	1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=S/t=1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=N/t=1	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	true
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14	fc68b6265260655e8598c64f8073ecbf92720870ea322fac638c093b1e3fd35a	4x6	5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=S/t=5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=N/t=5/4	0.00000000000000000e0	0.00000000000000000e0	9.44464133781691029e-1	2.89789089026763236e1	4.79056747064312418e1	false
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14	fc68b6265260655e8598c64f8073ecbf92720870ea322fac638c093b1e3fd35a	4x6	3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=S/t=3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=N/t=3/2	0.00000000000000000e0	0.00000000000000000e0	1.93449837183112772e0	8.20260045806897438e1	9.97238492895628639e1	false
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14	fc68b6265260655e8598c64f8073ecbf92720870ea322fac638c093b1e3fd35a	4x6	2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=S/t=2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0/attempt=14/map=N/t=2	0.00000000000000000e0	0.00000000000000000e0	4.37321392113397511e0	2.15152882571117630e2	2.31571332232389324e2	false
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15	940a0be085397b70d4864c83d329f8a7367f9fb9562fabc0e64193dfafad5d61	4x6	1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15/map=S/t=1	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15/map=N/t=1	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	true
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15	940a0be085397b70d4864c83d329f8a7367f9fb9562fabc0e64193dfafad5d61	4x6	5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15/map=S/t=5/4	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15/map=N/t=5/4	0.00000000000000000e0	0.00000000000000000e0	9.44464133781691029e-1	1.07091630349947934e2	1.17794133949818189e2	false
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15	940a0be085397b70d4864c83d329f8a7367f9fb9562fabc0e64193dfafad5d61	4x6	3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15/map=S/t=3/2	cartan-anisotropy-v1/base=generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1/attempt=15/map=N/t=3/2	0.00000000000000000e0	0.00000000000000000e0	1.93449837183112772e0	2.42539263955930664e2	2.53964580181354620e2	false
