accepted	exhausted	generation_ms	generation_ms_per_accepted	population	requested	side_count	source_dirty	source_revision
12	0	0.046001	0.003833416666666667	current-baseline[delta=0.2]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.05933700000000001	0.00494475	primal-hull-uniform-disk[points=n+4,origin=interior]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.015628	0.0013023333333333333	repulsive-gap[alpha=1]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.016329	0.00136075	repulsive-gap[alpha=4]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.013915	0.0011595833333333334	repulsive-gap[alpha=16]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.010639	0.0008865833333333333	repulsive-gap[regular]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.024927	0.00207725	regular-mutation[steps=4,scale=0.03]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.009024999999999998	0.0007520833333333332	zonogon[lengths=uniform(0.5,1.5)]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.046872000000000004	0.003906	current-baseline[delta=0.2]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.034526999999999995	0.0028772499999999996	primal-hull-uniform-disk[points=n+4,origin=interior]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.013555000000000001	0.0011295833333333334	repulsive-gap[alpha=1]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.013193999999999997	0.0010994999999999998	repulsive-gap[alpha=4]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.010634999999999999	0.0008862499999999999	repulsive-gap[alpha=16]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.008065	0.0006720833333333332	repulsive-gap[regular]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.020418000000000002	0.0017015	regular-mutation[steps=4,scale=0.03]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
12	0	0.007013000000000001	0.0005844166666666668	zonogon[lengths=uniform(0.5,1.5)]	12	6	False	a50e1e930e21541506df6228aaed16355d830372
