budget	holdout_candidate_count	policy	selected_populations	selected_witnesses	side_count
24	84	passive_coreset	"{""primal-hull-uniform-disk[points=n+4,origin=interior]"": 5, ""regular-mutation[steps=4,scale=0.03]"": 3, ""repulsive-gap[alpha=16]"": 2, ""repulsive-gap[alpha=1]"": 6, ""repulsive-gap[alpha=4]"": 3, ""repulsive-gap[regular]"": 3, ""zonogon[lengths=uniform(0.5,1.5)]"": 2}"	24	4
24	84	offline_greedy_max	"{""current-baseline[delta=0.2]"": 5, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 3, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=16]"": 1, ""repulsive-gap[alpha=1]"": 4, ""repulsive-gap[alpha=4]"": 5, ""zonogon[lengths=uniform(0.5,1.5)]"": 5}"	24	4
24	84	offline_greedy_frame	"{""current-baseline[delta=0.2]"": 5, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 3, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=16]"": 2, ""repulsive-gap[alpha=1]"": 4, ""repulsive-gap[alpha=4]"": 2, ""zonogon[lengths=uniform(0.5,1.5)]"": 7}"	24	4
24	84	offline_greedy_chord	"{""current-baseline[delta=0.2]"": 6, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 4, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=16]"": 2, ""repulsive-gap[alpha=1]"": 2, ""repulsive-gap[alpha=4]"": 4, ""zonogon[lengths=uniform(0.5,1.5)]"": 5}"	24	4
24	84	passive_coreset	"{""primal-hull-uniform-disk[points=n+4,origin=interior]"": 4, ""regular-mutation[steps=4,scale=0.03]"": 3, ""repulsive-gap[alpha=16]"": 4, ""repulsive-gap[alpha=1]"": 4, ""repulsive-gap[alpha=4]"": 2, ""repulsive-gap[regular]"": 2, ""zonogon[lengths=uniform(0.5,1.5)]"": 5}"	24	6
24	84	offline_greedy_max	"{""current-baseline[delta=0.2]"": 6, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 4, ""repulsive-gap[alpha=16]"": 1, ""repulsive-gap[alpha=1]"": 7, ""repulsive-gap[alpha=4]"": 2, ""zonogon[lengths=uniform(0.5,1.5)]"": 4}"	24	6
24	84	offline_greedy_frame	"{""current-baseline[delta=0.2]"": 5, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 4, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=16]"": 1, ""repulsive-gap[alpha=1]"": 7, ""repulsive-gap[alpha=4]"": 2, ""zonogon[lengths=uniform(0.5,1.5)]"": 4}"	24	6
24	84	offline_greedy_chord	"{""current-baseline[delta=0.2]"": 5, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 3, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=16]"": 1, ""repulsive-gap[alpha=1]"": 8, ""repulsive-gap[alpha=4]"": 2, ""zonogon[lengths=uniform(0.5,1.5)]"": 4}"	24	6
24	84	passive_coreset	"{""current-baseline[delta=0.2]"": 1, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 1, ""regular-mutation[steps=4,scale=0.03]"": 4, ""repulsive-gap[alpha=16]"": 3, ""repulsive-gap[alpha=1]"": 6, ""repulsive-gap[alpha=4]"": 3, ""zonogon[lengths=uniform(0.5,1.5)]"": 6}"	24	8
24	84	offline_greedy_max	"{""current-baseline[delta=0.2]"": 3, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 5, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=16]"": 1, ""repulsive-gap[alpha=1]"": 5, ""repulsive-gap[alpha=4]"": 1, ""zonogon[lengths=uniform(0.5,1.5)]"": 8}"	24	8
24	84	offline_greedy_frame	"{""current-baseline[delta=0.2]"": 2, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 5, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=16]"": 1, ""repulsive-gap[alpha=1]"": 5, ""repulsive-gap[alpha=4]"": 5, ""zonogon[lengths=uniform(0.5,1.5)]"": 5}"	24	8
24	84	offline_greedy_chord	"{""current-baseline[delta=0.2]"": 3, ""primal-hull-uniform-disk[points=n+4,origin=interior]"": 6, ""regular-mutation[steps=4,scale=0.03]"": 1, ""repulsive-gap[alpha=1]"": 5, ""repulsive-gap[alpha=4]"": 2, ""zonogon[lengths=uniform(0.5,1.5)]"": 7}"	24	8
