acceptance_fraction	accepted	exhausted	generation_ms_per_accepted	master_seed	max_attempts_observed	population	report	requested	side_count	source_dirty	source_revision	total_generation_ms
1.0	24	0	0.0025814583333333336	20260716	14	current-baseline[delta=0.2]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.061955
1.0	24	0	0.0012882916666666668	20260716	6	current-baseline[delta=0.2]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.030919000000000002
1.0	24	0	0.00264825	20260716	14	current-baseline[delta=0.2]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.063558
0.7083333333333334	17	7	0.07596582352941175	20260716	128	primal-hull-uniform-disk[points=n+4,origin=interior]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	1.2914189999999999
1.0	24	0	0.009217666666666667	20260716	39	primal-hull-uniform-disk[points=n+4,origin=interior]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.221224
1.0	24	0	0.004007041666666665	20260716	11	primal-hull-uniform-disk[points=n+4,origin=interior]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.09616899999999996
1.0	24	0	0.0014056666666666668	20260716	13	repulsive-gap[alpha=1]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.033736
1.0	24	0	0.000830875	20260716	7	repulsive-gap[alpha=1]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.019941
1.0	24	0	0.00080275	20260716	2	repulsive-gap[alpha=1]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.019266
1.0	24	0	0.0007046666666666667	20260716	3	repulsive-gap[alpha=4]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.016912
1.0	24	0	0.0006691666666666668	20260716	2	repulsive-gap[alpha=4]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.01606
1.0	24	0	0.0008010833333333333	20260716	1	repulsive-gap[alpha=4]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.019226
1.0	24	0	0.0005501249999999999	20260716	2	repulsive-gap[alpha=16]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.013203
1.0	24	0	0.0006216249999999999	20260716	1	repulsive-gap[alpha=16]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.014918999999999998
1.0	24	0	0.0008101666666666666	20260716	1	repulsive-gap[alpha=16]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.019444
1.0	24	0	0.0004509166666666666	20260716	1	repulsive-gap[regular]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.010821999999999998
1.0	24	0	0.0007985416666666666	20260716	1	repulsive-gap[regular]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.019164999999999998
1.0	24	0	0.0006194583333333333	20260716	1	repulsive-gap[regular]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.014867
1.0	24	0	0.0010172916666666668	20260716	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.024415000000000003
1.0	24	0	0.0011608333333333334	20260716	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.027860000000000003
1.0	24	0	0.00147	20260716	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260716/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.03528
