between_seed_std	contrast	definition	effect	max	mean	median	min	pass_rate	seeds	seeds_passing	side_count	unavailable_seeds
0.07216878364870323	baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	alpha1_to_baseline_overlap_fraction	1.0	0.9583333333333334	1.0	0.875	1.0	3	3	3	0
0.06364688465216445	baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	baseline_to_alpha1_overlap_fraction	1.0	0.9444444444444445	0.9583333333333334	0.875	1.0	3	3	3	0
0.0	baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	bidirectional_substantial	1.0	1.0	1.0	1.0	1.0	3	3	3	0
0.0	baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	alpha1_to_baseline_overlap_fraction	0.9166666666666666	0.9166666666666666	0.9166666666666666	0.9166666666666666	1.0	3	3	4	0
0.024056261216234453	baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	baseline_to_alpha1_overlap_fraction	0.9583333333333334	0.9305555555555555	0.9166666666666666	0.9166666666666666	1.0	3	3	4	0
0.0	baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	bidirectional_substantial	1.0	1.0	1.0	1.0	1.0	3	3	4	0
0.024056261216234453	baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	alpha1_to_baseline_overlap_fraction	0.9583333333333334	0.9305555555555555	0.9166666666666666	0.9166666666666666	1.0	3	3	6	0
0.06364688465216445	baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	baseline_to_alpha1_overlap_fraction	1.0	0.9305555555555555	0.9166666666666666	0.875	1.0	3	3	6	0
0.0	baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	bidirectional_substantial	1.0	1.0	1.0	1.0	1.0	3	3	6	0
0.0	narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	alpha16_within_lt_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	3	0
0.5773502691896258	narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	alpha4_between_alpha16_alpha1	1.0	0.6666666666666666	1.0	0.0	0.6666666666666666	3	2	3	0
0.0	narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	mutation_within_lt_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	3	0
0.002202467286009434	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	0.030935282130854374	0.02848255730148108	0.027838404324603168	0.026673985448985693	NA	3	0	3	0
0.08663441966394449	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=16]	0.3655899557809875	0.2665110066906716	0.22893163481553272	0.20501142947549467	NA	3	0	3	0
0.6550577410858152	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=1]	1.5926746040574316	0.8991457171745113	0.8138461976724856	0.2909163497936171	NA	3	0	3	0
0.0795303772665997	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=4]	0.544856218024567	0.4592716345024261	0.44531578159350843	0.38764290388920286	NA	3	0	3	0
0.000253055565226369	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[regular]	0.003956711095196436	0.0037846072135018626	0.0039030603080969393	0.0034940502372122124	NA	3	0	3	0
0.0	narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	alpha16_within_lt_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	4	0
0.0	narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	alpha4_between_alpha16_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	4	0
0.0	narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	mutation_within_lt_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	4	0
0.002322615030333539	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	0.02451555355456535	0.022074794424653054	0.021816995625889325	0.019891834093504483	NA	3	0	4	0
0.009350468573633919	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=16]	0.08580674286715001	0.07505856066589851	0.07057255575086556	0.06879638337967994	NA	3	0	4	0
0.17526846802067497	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=1]	0.8922777109350812	0.6899475521996713	0.592771963011454	0.5847929826524787	NA	3	0	4	0
0.055362351430327805	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=4]	0.3193184937223382	0.27060844583470095	0.28210712995550485	0.21039971382625974	NA	3	0	4	0
0.00016068258887876172	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[regular]	0.007419500058841377	0.007235559058273178	0.00716464029428941	0.007122536821688749	NA	3	0	4	0
0.0	narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	alpha16_within_lt_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	6	0
0.0	narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	alpha4_between_alpha16_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	6	0
0.0	narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	mutation_within_lt_alpha1	1.0	1.0	1.0	1.0	1.0	3	3	6	0
0.0007323411550900305	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	0.01711750043840854	0.016474722802702416	0.016629202927643093	0.01567746504205561	NA	3	0	6	0
0.0020286446776430107	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=16]	0.03544725020542248	0.034157202154736034	0.035205468195601025	0.03181888806318461	NA	3	0	6	0
0.08264458224390814	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=1]	0.3645074818137235	0.26914509057611175	0.2245683638899259	0.21835942602468594	NA	3	0	6	0
0.011272272228936302	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[alpha=4]	0.08675313261750903	0.07394195050804575	0.06952867743041381	0.06554404147621441	NA	3	0	6	0
5.887212977742783e-06	narrow_negative_controls	descriptive narrow/local control; no global score	within_pairwise_l2_mean:repulsive-gap[regular]	0.0015072945724793597	0.0015007693690523953	0.0014991576964176005	0.0014958558382602264	NA	3	0	6	0
0.039022081831799664	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha16_cross_l2_mean	0.29881567097514705	0.25379983444535176	0.23299594570770132	0.2295878866532069	0.6666666666666666	3	2	3	0
0.36635560564657466	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha1_cross_l2_mean	1.1318851509827592	0.7477209545960971	0.7090332254311342	0.4022444873743981	0.6666666666666666	3	2	3	0
0.09115862987156244	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha4_cross_l2_mean	0.5824676942973862	0.47743212376399263	0.4308760909329383	0.4189525860616533	0.6666666666666666	3	2	3	0
0.00604364805630216	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha16_cross_l2_mean	0.09190823463885095	0.08499909276498885	0.08239511030292607	0.0806939333531895	1.0	3	3	4	0
0.08597990309637984	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha1_cross_l2_mean	0.6906245687686522	0.5913466237722068	0.5423865948835176	0.5410287076644503	1.0	3	3	4	0
0.03682481967109936	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha4_cross_l2_mean	0.290467146602626	0.26633233224457786	0.28458324289052395	0.22394660724058368	1.0	3	3	4	0
0.000741543364092105	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha16_cross_l2_mean	0.03935656591350564	0.038500820131701134	0.03809865577093733	0.03804723871066043	1.0	3	3	6	0
0.03948187729910952	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha1_cross_l2_mean	0.325743797903155	0.28016527954075765	0.2582521670244471	0.2564998736946708	1.0	3	3	6	0
0.01312217432509123	regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	regular_to_alpha4_cross_l2_mean	0.09964440934291015	0.08510314357137296	0.08152102682888261	0.07414399454232612	1.0	3	3	6	0
0.0	saturation_narrow_vs_broad	narrow=(regular,regular-mutation,alpha16); broad=(alpha4,alpha1,current-baseline); compare medians of first stable n	broad_first_stable_median	12.0	12.0	12.0	12.0	0.0	3	0	3	2
NA	saturation_narrow_vs_broad	narrow=(regular,regular-mutation,alpha16); broad=(alpha4,alpha1,current-baseline); compare medians of first stable n	narrow_first_stable_median	12.0	12.0	12.0	12.0	0.0	3	0	3	2
NA	saturation_narrow_vs_broad	narrow median first-stable n < broad median first-stable n; unavailable if any named population lacks a first-stable n	narrow_stabilizes_earlier	0.0	0.0	0.0	0.0	0.0	3	0	3	2
NA	saturation_narrow_vs_broad	narrow=(regular,regular-mutation,alpha16); broad=(alpha4,alpha1,current-baseline); compare medians of first stable n	broad_first_stable_median	8.0	8.0	8.0	8.0	0.0	3	0	4	2
0.0	saturation_narrow_vs_broad	narrow=(regular,regular-mutation,alpha16); broad=(alpha4,alpha1,current-baseline); compare medians of first stable n	narrow_first_stable_median	8.0	8.0	8.0	8.0	0.0	3	0	4	2
NA	saturation_narrow_vs_broad	narrow median first-stable n < broad median first-stable n; unavailable if any named population lacks a first-stable n	narrow_stabilizes_earlier	0.0	0.0	0.0	0.0	0.0	3	0	4	2
NA	saturation_narrow_vs_broad	narrow=(regular,regular-mutation,alpha16); broad=(alpha4,alpha1,current-baseline); compare medians of first stable n	broad_first_stable_median	8.0	8.0	8.0	8.0	0.0	3	0	6	2
0.0	saturation_narrow_vs_broad	narrow=(regular,regular-mutation,alpha16); broad=(alpha4,alpha1,current-baseline); compare medians of first stable n	narrow_first_stable_median	8.0	8.0	8.0	8.0	0.0	3	0	6	2
NA	saturation_narrow_vs_broad	narrow median first-stable n < broad median first-stable n; unavailable if any named population lacks a first-stable n	narrow_stabilizes_earlier	0.0	0.0	0.0	0.0	0.0	3	0	6	2
1695.907127411625	thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	q95_covariance_anisotropy:current-baseline[delta=0.2]	3472.372951234332	1666.5057588771754	1419.4942216976904	107.6501036995041	1.0	3	3	3	0
16513.01610368561	thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	q95_covariance_anisotropy:repulsive-gap[alpha=1]	29201.956161191014	10144.147381880199	1144.0569850408917	86.42899940869306	1.0	3	3	3	0
0.5773502691896258	thin_shape_anisotropy_tail	triangle q95 exceeds both available non-triangle q95 values; side-stratified tail emphasis	triangle_q95_exceeds_other_sides:current-baseline[delta=0.2]	1.0	0.6666666666666666	1.0	0.0	0.6666666666666666	3	2	3	0
0.5773502691896258	thin_shape_anisotropy_tail	triangle q95 exceeds both available non-triangle q95 values; side-stratified tail emphasis	triangle_q95_exceeds_other_sides:repulsive-gap[alpha=1]	1.0	0.6666666666666666	1.0	0.0	0.6666666666666666	3	2	3	0
67.34899806219609	thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	q95_covariance_anisotropy:current-baseline[delta=0.2]	382.4203764206007	316.1512740559552	318.2614684936508	247.7719772536142	1.0	3	3	4	0
399.468895561213	thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	q95_covariance_anisotropy:repulsive-gap[alpha=1]	902.6031195896962	520.9694432984569	554.523283632046	105.78192667362848	1.0	3	3	4	0
90.96169703055149	thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	q95_covariance_anisotropy:current-baseline[delta=0.2]	193.58566852548222	88.69866029938008	41.05796325210072	31.452349120557315	1.0	3	3	6	0
60.345147601011966	thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	q95_covariance_anisotropy:repulsive-gap[alpha=1]	124.87686869641828	55.382048353450536	25.03796625422038	16.231310109712965	1.0	3	3	6	0
0.44112739750282554	zonogon_vs_baseline_diversity	strongly exceeds means ratio >= 2; all values are finite-panel raw-grid summaries	within_l2_ratio_zonogon_over_baseline	1.86298662198782	1.4038220074136125	1.3652089996743824	0.9832704005786351	0.0	3	0	4	0
0.20641731223585913	zonogon_vs_baseline_diversity	strongly exceeds means ratio >= 2; all values are finite-panel raw-grid summaries	within_l2_ratio_zonogon_over_baseline	0.7755792402316247	0.6402108854212338	0.742422744396003	0.4026306716360738	0.0	3	0	6	0
