contrast	definition	denominator	effect	master_seed	pass	side_count	strong_threshold	substantial_threshold	tail_threshold	value
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	baseline_to_alpha1_overlap_fraction	20260716	True	3	NA	0.5	NA	0.875
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	alpha1_to_baseline_overlap_fraction	20260716	True	3	NA	0.5	NA	1.0
baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	24	bidirectional_substantial	20260716	True	3	NA	1	NA	1
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260716	False	3	NA	NA	NA	0.2295878866532069
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260716	False	3	NA	NA	NA	0.4189525860616533
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260716	False	3	NA	NA	NA	0.4022444873743981
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260716	NA	3	NA	NA	NA	0.003956711095196436
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	20260716	NA	3	NA	NA	NA	0.030935282130854374
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=16]	20260716	NA	3	NA	NA	NA	0.20501142947549467
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=4]	20260716	NA	3	NA	NA	NA	0.44531578159350843
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=1]	20260716	NA	3	NA	NA	NA	0.2909163497936171
narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	NA	mutation_within_lt_alpha1	20260716	True	3	NA	NA	NA	1
narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	NA	alpha16_within_lt_alpha1	20260716	True	3	NA	NA	NA	1
narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	NA	alpha4_between_alpha16_alpha1	20260716	False	3	NA	NA	NA	0
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:current-baseline[delta=0.2]	20260716	True	3	NA	NA	10.0	1419.4942216976904
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:repulsive-gap[alpha=1]	20260716	True	3	NA	NA	10.0	86.42899940869306
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	baseline_to_alpha1_overlap_fraction	20260716	True	4	NA	0.5	NA	0.9166666666666666
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	alpha1_to_baseline_overlap_fraction	20260716	True	4	NA	0.5	NA	0.9166666666666666
baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	24	bidirectional_substantial	20260716	True	4	NA	1	NA	1
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260716	True	4	NA	NA	NA	0.0806939333531895
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260716	True	4	NA	NA	NA	0.22394660724058368
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260716	True	4	NA	NA	NA	0.5410287076644503
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260716	NA	4	NA	NA	NA	0.007122536821688749
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	20260716	NA	4	NA	NA	NA	0.021816995625889325
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=16]	20260716	NA	4	NA	NA	NA	0.07057255575086556
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=4]	20260716	NA	4	NA	NA	NA	0.21039971382625974
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=1]	20260716	NA	4	NA	NA	NA	0.5847929826524787
narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	NA	mutation_within_lt_alpha1	20260716	True	4	NA	NA	NA	1
narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	NA	alpha16_within_lt_alpha1	20260716	True	4	NA	NA	NA	1
narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	NA	alpha4_between_alpha16_alpha1	20260716	True	4	NA	NA	NA	1
zonogon_vs_baseline_diversity	strongly exceeds means ratio >= 2; all values are finite-panel raw-grid summaries	NA	within_l2_ratio_zonogon_over_baseline	20260716	False	4	2.0	NA	NA	1.86298662198782
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:current-baseline[delta=0.2]	20260716	True	4	NA	NA	10.0	247.7719772536142
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:repulsive-gap[alpha=1]	20260716	True	4	NA	NA	10.0	105.78192667362848
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	baseline_to_alpha1_overlap_fraction	20260716	True	6	NA	0.5	NA	0.875
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	alpha1_to_baseline_overlap_fraction	20260716	True	6	NA	0.5	NA	0.9166666666666666
baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	24	bidirectional_substantial	20260716	True	6	NA	1	NA	1
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260716	True	6	NA	NA	NA	0.03809865577093733
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260716	True	6	NA	NA	NA	0.08152102682888261
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260716	True	6	NA	NA	NA	0.2564998736946708
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260716	NA	6	NA	NA	NA	0.0014991576964176005
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	20260716	NA	6	NA	NA	NA	0.016629202927643093
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=16]	20260716	NA	6	NA	NA	NA	0.03544725020542248
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=4]	20260716	NA	6	NA	NA	NA	0.06952867743041381
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=1]	20260716	NA	6	NA	NA	NA	0.2245683638899259
narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	NA	mutation_within_lt_alpha1	20260716	True	6	NA	NA	NA	1
narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	NA	alpha16_within_lt_alpha1	20260716	True	6	NA	NA	NA	1
narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	NA	alpha4_between_alpha16_alpha1	20260716	True	6	NA	NA	NA	1
zonogon_vs_baseline_diversity	strongly exceeds means ratio >= 2; all values are finite-panel raw-grid summaries	NA	within_l2_ratio_zonogon_over_baseline	20260716	False	6	2.0	NA	NA	0.4026306716360738
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:current-baseline[delta=0.2]	20260716	True	6	NA	NA	10.0	193.58566852548222
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:repulsive-gap[alpha=1]	20260716	True	6	NA	NA	10.0	25.03796625422038
thin_shape_anisotropy_tail	triangle q95 exceeds both available non-triangle q95 values; side-stratified tail emphasis	NA	triangle_q95_exceeds_other_sides:current-baseline[delta=0.2]	20260716	True	3	NA	NA	NA	1
thin_shape_anisotropy_tail	triangle q95 exceeds both available non-triangle q95 values; side-stratified tail emphasis	NA	triangle_q95_exceeds_other_sides:repulsive-gap[alpha=1]	20260716	False	3	NA	NA	NA	0
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	baseline_to_alpha1_overlap_fraction	20260717	True	3	NA	0.5	NA	1.0
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	alpha1_to_baseline_overlap_fraction	20260717	True	3	NA	0.5	NA	0.875
baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	24	bidirectional_substantial	20260717	True	3	NA	1	NA	1
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260717	True	3	NA	NA	NA	0.29881567097514705
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260717	True	3	NA	NA	NA	0.5824676942973862
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260717	True	3	NA	NA	NA	1.1318851509827592
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260717	NA	3	NA	NA	NA	0.0039030603080969393
