definition	first_stable_n	master_seed	pairwise_l2_mean	population	relative_change	requested_n	side_count	stability_threshold	used_n
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.005008121668869821	repulsive-gap[regular]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.004069929770209749	repulsive-gap[regular]	0.18733408664805712	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.003994497925325399	repulsive-gap[regular]	0.018533942633723245	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.003956711095196436	repulsive-gap[regular]	0.009459719553086355	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.030344257459664545	regular-mutation[steps=4,scale=0.03]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.027869056074640387	regular-mutation[steps=4,scale=0.03]	0.08157066912295838	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.028650060213123437	regular-mutation[steps=4,scale=0.03]	0.028024061395955535	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.030935282130854374	regular-mutation[steps=4,scale=0.03]	0.0797632500850441	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.26524660661218546	repulsive-gap[alpha=16]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.17535273357258524	repulsive-gap[alpha=16]	0.3389067788189773	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.20002038118348095	repulsive-gap[alpha=16]	0.14067444007472413	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.20501142947549467	repulsive-gap[alpha=16]	0.02495269863242272	24	3	0.15	24
