boundary	distance_contract	master_seed	n	nearest_l2_mean	negative_eigenmass_fraction	pairwise_l2_mean	population	positive_gram_spectrum_participation_ratio	side_count
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.1536203742195855	0.0005351175744856335	0.9274017147137942	current-baseline[delta=0.2]	1.0187333856250254	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	17	0.03287035871668198	0.04107098789607838	0.11252348708557128	primal-hull-uniform-disk[points=n+4,origin=interior]	1.6246093309635548	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.010055991631958087	0.1263241061762774	0.030935282130854374	regular-mutation[steps=4,scale=0.03]	3.4914432731388962	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.04852320022898521	0.018612174701608836	0.20501142947549467	repulsive-gap[alpha=16]	1.2081513938542172	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.05933181101249891	0.010577117638835393	0.2909163497936171	repulsive-gap[alpha=1]	1.170656774719077	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.07976726981756954	0.0033451239929977953	0.44531578159350843	repulsive-gap[alpha=4]	1.0510735852245816	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.00039655833829860477	0.21683834790004503	0.003956711095196436	repulsive-gap[regular]	2.5321589223406904	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.08094899264416407	0.003360158214939049	0.40265100769299345	current-baseline[delta=0.2]	1.0633451495186126	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.04907681509507436	0.04378311520633645	0.10563614551583812	primal-hull-uniform-disk[points=n+4,origin=interior]	2.8742226668591297	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.010169477835178686	0.06975544315408273	0.021816995625889325	regular-mutation[steps=4,scale=0.03]	3.5599952165284945	4
