centroid_definition	cross_l2_mean	cross_l2_median	cross_l2_min	feature_centroid_separation	n_left	n_right	population_left	population_right	sample_status	side_count
Euclidean distance between four scale/translation-invariant feature centroids	0.821903575557605	0.20144787570367623	0.024103088913285425	931.4143541378696	24	16	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.8815376280230398	0.26294507828206437	0.005892144290118763	932.7416126097927	24	24	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.8146462357657034	0.22382809406531462	0.014696756660079873	923.3347067228124	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	1.6741325113483068	0.7056733793057042	0.029153308152086034	25316.85450783991	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.821450082621598	0.35143325340339243	0.022897149179338855	905.2007975628692	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.9032233796757159	0.2851629042635251	0.029722741532739308	933.0310003887897	24	24	current-baseline[delta=0.2]	repulsive-gap[regular]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.10517305125616061	0.0979322974835175	0.015127267479696935	1.3318853414108947	16	24	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.1722266763601136	0.10964361760763275	0.010668187920806645	8.081057721882052	16	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	1.4746322077379281	0.386205368611478	0.030811671164750868	26248.26826952008	16	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.33473294325327707	0.21949919368063958	0.010453564016932456	26.217024132821493	16	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.12790619903365472	0.1195610408205596	0.05325062194363211	1.6230847032248346	16	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.205734720428559	0.1368459202639843	0.014729228437360251	9.410090264267454	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	1.535098607581998	0.4805565844951655	0.008505442061334028	26249.595437316795	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.39198225807791903	0.301641060737064	0.014702814629975455	27.545632683093572	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.0345156206304285	0.027257859716334445	0.005415107008887354	0.29161419849777737	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[regular]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	1.4427809638476587	0.39037634547613353	0.00835564005685893	26240.188779991993	24	24	repulsive-gap[alpha=16]	repulsive-gap[alpha=1]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.3362831266255742	0.2342495928534104	0.012208788365727157	18.13600633091817	24	24	repulsive-gap[alpha=16]	repulsive-gap[alpha=4]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.22873657415498702	0.16241111677282094	0.04803755730331427	9.700048342726197	24	24	repulsive-gap[alpha=16]	repulsive-gap[regular]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	1.4007457500152714	0.40051762084417997	0.02289191015647907	26222.055094320996	24	24	repulsive-gap[alpha=1]	repulsive-gap[alpha=4]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	1.5563044814455071	0.5080240345567321	0.04770333916561982	26249.884807273127	24	24	repulsive-gap[alpha=1]	repulsive-gap[regular]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.41482752725273947	0.3303799513849064	0.051637905067884474	27.83535654150404	24	24	repulsive-gap[alpha=4]	repulsive-gap[regular]	descriptive	3
Euclidean distance between four scale/translation-invariant feature centroids	0.3082770776732269	0.17637001683272596	0.0283781560239849	57.4876440185718	24	24	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.36664220782945717	0.25798880384829975	0.043212468391804905	58.514815868044806	24	24	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.3284485269065396	0.20154462102026835	0.03379294671807119	58.00674237585441	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.47053047717540264	0.29200297289438903	0.025951530064738028	5.66216769103709	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.3070619141364135	0.1780877758104119	0.02734433607762279	53.47485880659025	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.3758599366102108	0.26898726209632084	0.0658280482390607	58.642574128659085	24	24	current-baseline[delta=0.2]	repulsive-gap[regular]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	1.2173669734371633	0.3278890355991072	0.044286069474817245	59280.42581849677	24	24	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.11077927471523319	0.11776447976374978	0.02088115881559483	1.0500901835076728	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.09583887429824028	0.09741058323113935	0.019852942080382758	0.5240961957125185	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.45318243973336547	0.24042445746816588	0.022202949018315477	51.8339557058495	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.18111865354954818	0.11473727353947855	0.02448691389231488	4.017213070696423	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.12114469344438433	0.12806069709642126	0.04548164259782705	1.1845587625858507	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	1.2105358376905937	0.30665462934994486	0.022170745294349623	59337.911780633316	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.07916434545627794	0.07421463188744006	0.009171479911286248	0.5292090121478188	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.5100549364258113	0.30576145054494897	0.024149024764589324	52.861753941536065	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.2270125613656286	0.17557833049447602	0.014507339023762339	5.054825589385963	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.024234767223697287	0.023376457287299864	0.009350115458500358	0.13623164321762668	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[regular]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	1.2450947695212002	0.37699037553881654	0.024105340454237192	59338.93721398353	24	24	regular-mutation[steps=4,scale=0.03]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.47249969177956885	0.2507604556493599	0.020777700634944673	52.35330920252951	24	24	repulsive-gap[alpha=16]	repulsive-gap[alpha=1]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.19312262768587207	0.12693202622269922	0.02331878177431099	4.539117822887836	24	24	repulsive-gap[alpha=16]	repulsive-gap[alpha=4]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.09063683981350636	0.08686351855736049	0.021353133293568364	0.6648592597601838	24	24	repulsive-gap[alpha=16]	repulsive-gap[regular]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	1.2191835118942018	0.3331710963576858	0.042985308814497636	59338.43033599765	24	24	repulsive-gap[alpha=16]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.4216638639864743	0.29071242834142785	0.03368693616022309	47.820326638764136	24	24	repulsive-gap[alpha=1]	repulsive-gap[alpha=4]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.5186387663878429	0.32515289580959894	0.047728848607743665	52.98958110065691	24	24	repulsive-gap[alpha=1]	repulsive-gap[regular]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	1.2359416156512608	0.4800672877267991	0.05847226933370666	59286.08227627825	24	24	repulsive-gap[alpha=1]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.2380558243420321	0.1886963776742545	0.050576234543934596	5.185295255597406	24	24	repulsive-gap[alpha=4]	repulsive-gap[regular]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	1.1796587621792458	0.3171110726204981	0.034734272549749555	59333.90016883741	24	24	repulsive-gap[alpha=4]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	1.2537772217955512	0.3863627193935172	0.06708338968545326	59339.06458504923	24	24	repulsive-gap[regular]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	4
Euclidean distance between four scale/translation-invariant feature centroids	0.1483233283988264	0.0841791113895496	0.023910629067571125	3.5291097301635608	24	24	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.18662524694629268	0.11950650927606868	0.04225358447482251	4.42647745705643	24	24	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.17629924292634783	0.11115373850277982	0.027001696648421655	4.440728783319548	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.41313433316249587	0.14399818087286947	0.024376920500955267	381.65118191689595	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.153049444826759	0.08623660690363491	0.01849398089041371	4.104803181179523	24	24	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.19368672389603347	0.12728278592428183	0.0570700800555868	4.520135781406876	24	24	current-baseline[delta=0.2]	repulsive-gap[regular]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.19602068526405228	0.13509995638121883	0.04335467233767078	0.7485143081040956	24	24	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.09649133447288905	0.08779582855272255	0.04678177758243059	0.9510911650235124	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.08694445492640045	0.08080659014004724	0.031965832033882584	0.9302383995059664	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.39233608982604157	0.1073873932348276	0.034657259108676425	385.1741152876297	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.07647707155835623	0.07061764212591345	0.030063436325000602	0.5757097209090579	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.10377463543661072	0.09498188873322416	0.061111879708096666	1.0577622760792795	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.15244278544671733	0.11277310160964144	0.03432233883956078	2.7839927268450912	24	24	primal-hull-uniform-disk[points=n+4,origin=interior]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.034859071339012754	0.03537920709290367	0.010855996103984808	0.14741114276285522	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.4373096800990644	0.15358612909593158	0.051330585863756426	386.03928085250436	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.08228833303037725	0.07314108645357116	0.02849648410023895	0.47125969654193495	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.015644139098884832	0.016384838570165143	0.007354357324150806	0.11036170787434188	24	24	regular-mutation[steps=4,scale=0.03]	repulsive-gap[regular]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.18113055766442082	0.15644537244337414	0.027636789382738818	3.6810152052427023	24	24	regular-mutation[steps=4,scale=0.03]	zonogon[lengths=uniform(0.5,1.5)]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.4270515020001273	0.14351639466689003	0.03550458972402636	386.06920890573923	24	24	repulsive-gap[alpha=16]	repulsive-gap[alpha=1]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.07302917496603827	0.06404400722435263	0.012072747979828964	0.3931411288736555	24	24	repulsive-gap[alpha=16]	repulsive-gap[alpha=4]	descriptive	6
Euclidean distance between four scale/translation-invariant feature centroids	0.04030165655275929	0.03961911837018519	0.01964326920811654	0.2211772766709387	24	24	repulsive-gap[alpha=16]	repulsive-gap[regular]	descriptive	6
