category	count	defined	fraction	interpretation	occupancy_kind	population
3	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	current-baseline[delta=0.2]
4	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	current-baseline[delta=0.2]
6	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	current-baseline[delta=0.2]
factor-3	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	current-baseline[delta=0.2]
factor-4	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	current-baseline[delta=0.2]
factor-6	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	current-baseline[delta=0.2]
3	16	True	0.25	fixed-panel accepted-row allocation, not a natural law probability	side_count	primal-hull-uniform-disk[points=n+4,origin=interior]
4	24	True	0.375	fixed-panel accepted-row allocation, not a natural law probability	side_count	primal-hull-uniform-disk[points=n+4,origin=interior]
6	24	True	0.375	fixed-panel accepted-row allocation, not a natural law probability	side_count	primal-hull-uniform-disk[points=n+4,origin=interior]
factor-3	16	False	0.25	producer bucket is a source label, not a combinatorial type	source_bucket	primal-hull-uniform-disk[points=n+4,origin=interior]
factor-4	24	False	0.375	producer bucket is a source label, not a combinatorial type	source_bucket	primal-hull-uniform-disk[points=n+4,origin=interior]
factor-6	24	False	0.375	producer bucket is a source label, not a combinatorial type	source_bucket	primal-hull-uniform-disk[points=n+4,origin=interior]
3	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	regular-mutation[steps=4,scale=0.03]
4	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	regular-mutation[steps=4,scale=0.03]
6	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	regular-mutation[steps=4,scale=0.03]
factor-3	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	regular-mutation[steps=4,scale=0.03]
factor-4	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	regular-mutation[steps=4,scale=0.03]
factor-6	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	regular-mutation[steps=4,scale=0.03]
3	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=16]
4	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=16]
6	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=16]
factor-3	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=16]
factor-4	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=16]
factor-6	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=16]
3	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=1]
4	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=1]
6	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=1]
factor-3	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=1]
factor-4	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=1]
factor-6	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=1]
3	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=4]
4	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=4]
6	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[alpha=4]
factor-3	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=4]
factor-4	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=4]
factor-6	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[alpha=4]
3	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[regular]
4	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[regular]
6	24	True	0.3333333333333333	fixed-panel accepted-row allocation, not a natural law probability	side_count	repulsive-gap[regular]
factor-3	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[regular]
factor-4	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[regular]
factor-6	24	False	0.3333333333333333	producer bucket is a source label, not a combinatorial type	source_bucket	repulsive-gap[regular]
4	24	True	0.5	fixed-panel accepted-row allocation, not a natural law probability	side_count	zonogon[lengths=uniform(0.5,1.5)]
6	24	True	0.5	fixed-panel accepted-row allocation, not a natural law probability	side_count	zonogon[lengths=uniform(0.5,1.5)]
factor-4	24	False	0.5	producer bucket is a source label, not a combinatorial type	source_bucket	zonogon[lengths=uniform(0.5,1.5)]
factor-6	24	False	0.5	producer bucket is a source label, not a combinatorial type	source_bucket	zonogon[lengths=uniform(0.5,1.5)]
