left_overlap_fraction	left_to_right_nearest_mean	n_left	n_right	overlap_definition	population_left	population_right	right_overlap_fraction	right_to_left_nearest_mean	sample_status	side_count
0.6666666666666666	0.7427227237581872	24	16	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	1.0	0.04292481189625108	descriptive	3
0.6666666666666666	0.8496439214750827	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.6666666666666666	0.029304930894974743	descriptive	3
0.7916666666666666	0.4962324615848545	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.9583333333333334	0.052832754452117804	descriptive	3
1.0	0.14616741606106504	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.9166666666666666	0.5314819465454409	descriptive	3
0.7916666666666666	0.44712753069776673	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	1.0	0.07371349525685066	descriptive	3
0.6666666666666666	0.903154146959351	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[regular]	0.0	0.030013918078113	descriptive	3
0.625	0.06948487687708658	16	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.4583333333333333	0.031946066894930465	descriptive	3
1.0	0.029882275948092327	16	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	0.7916666666666666	0.10442901146193624	descriptive	3
1.0	0.04925272110182118	16	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.625	1.3911444533197532	descriptive	3
1.0	0.030640751675543833	16	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.7083333333333334	0.24886905493532432	descriptive	3
0.375	0.12780435359632797	16	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	0.053400050182402736	descriptive	3
0.5416666666666666	0.03091506079126474	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	0.6666666666666666	0.17178027048942754	descriptive	3
0.375	0.03088901133299175	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	0.625	1.5044536401616202	descriptive	3
0.25	0.034306666513706785	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	0.5416666666666666	0.35844580072256066	descriptive	3
0.5833333333333334	0.03409051875247492	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[regular]	0.0	0.006242023265220986	descriptive	3
0.9166666666666666	0.06509814982812513	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[alpha=1]	0.7916666666666666	1.0612608408196549	descriptive	3
1.0	0.04541405036717389	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[alpha=4]	1.0	0.06535831600545461	descriptive	3
0.3333333333333333	0.22865585773761554	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[regular]	0.0	0.04819802284030993	descriptive	3
0.8333333333333334	0.9947554302716893	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	repulsive-gap[alpha=4]	1.0	0.08970078308370122	descriptive	3
0.625	1.5562342825556736	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	repulsive-gap[regular]	0.0	0.04790718233995886	descriptive	3
0.4583333333333333	0.414758215760951	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=4]	repulsive-gap[regular]	0.0	0.051795075651182826	descriptive	3
0.75	0.24438197746735404	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	1.0	0.05554371496553145	descriptive	4
0.3333333333333333	0.3506393746583245	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	0.05159421707774872	descriptive	4
0.75	0.2509224389773929	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	1.0	0.04832852699162119	descriptive	4
0.9583333333333334	0.08550901664796112	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.9166666666666666	0.11546616627487834	descriptive	4
0.9166666666666666	0.1398985639350017	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	1.0	0.059504028896567356	descriptive	4
0.25	0.3756155015147016	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[regular]	0.0	0.0660501964027398	descriptive	4
1.0	0.11006855464502252	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	0.9583333333333334	0.6729122288494759	descriptive	4
0.4166666666666667	0.09774034120407525	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.0	0.03500539300154378	descriptive	4
