pairwise_l2_mean	population	relative_change	requested_n	sample_status	selection	side_count	used_n
1.1855449667506053	current-baseline[delta=0.2]	NA	4	small-sample	deterministic SHA-256 rank prefix	3	4
0.7068587981828192	current-baseline[delta=0.2]	0.4037688843467411	8	descriptive	deterministic SHA-256 rank prefix	3	8
0.5496503466722183	current-baseline[delta=0.2]	0.22240432164776003	12	descriptive	deterministic SHA-256 rank prefix	3	12
1.1750828087999177	current-baseline[delta=0.2]	1.1378733151253215	24	descriptive	deterministic SHA-256 rank prefix	3	24
0.10334335701491741	primal-hull-uniform-disk[points=n+4,origin=interior]	NA	4	small-sample	deterministic SHA-256 rank prefix	3	4
0.10198746462992814	primal-hull-uniform-disk[points=n+4,origin=interior]	0.01312026649950566	8	descriptive	deterministic SHA-256 rank prefix	3	8
0.10120219706698483	primal-hull-uniform-disk[points=n+4,origin=interior]	0.007699647851750529	12	descriptive	deterministic SHA-256 rank prefix	3	12
0.09500981667297728	primal-hull-uniform-disk[points=n+4,origin=interior]	0.06118820118014696	24	descriptive	deterministic SHA-256 rank prefix	3	16
0.019803076362322668	regular-mutation[steps=4,scale=0.03]	NA	4	small-sample	deterministic SHA-256 rank prefix	3	4
0.03242011684671651	regular-mutation[steps=4,scale=0.03]	0.6371252755657207	8	descriptive	deterministic SHA-256 rank prefix	3	8
0.03250637974405089	regular-mutation[steps=4,scale=0.03]	0.0026607830484460665	12	descriptive	deterministic SHA-256 rank prefix	3	12
0.03429929385643938	regular-mutation[steps=4,scale=0.03]	0.05515576100770233	24	descriptive	deterministic SHA-256 rank prefix	3	24
0.21552296767934367	repulsive-gap[alpha=16]	NA	4	small-sample	deterministic SHA-256 rank prefix	3	4
0.16711508326771124	repulsive-gap[alpha=16]	0.22460661586496883	8	descriptive	deterministic SHA-256 rank prefix	3	8
0.24915360433682554	repulsive-gap[alpha=16]	0.4909103323587619	12	descriptive	deterministic SHA-256 rank prefix	3	12
0.23079318160512965	repulsive-gap[alpha=16]	0.07369117850237805	24	descriptive	deterministic SHA-256 rank prefix	3	24
6.023280748231806	repulsive-gap[alpha=1]	NA	4	small-sample	deterministic SHA-256 rank prefix	3	4
3.3500376546068353	repulsive-gap[alpha=1]	0.44381844469224313	8	descriptive	deterministic SHA-256 rank prefix	3	8
2.3768636116107653	repulsive-gap[alpha=1]	0.2904964490944753	12	descriptive	deterministic SHA-256 rank prefix	3	12
2.200772931604534	repulsive-gap[alpha=1]	0.07408531105699293	24	descriptive	deterministic SHA-256 rank prefix	3	24
0.5595613915780807	repulsive-gap[alpha=4]	NA	4	small-sample	deterministic SHA-256 rank prefix	3	4
0.4686402041075834	repulsive-gap[alpha=4]	0.16248652755344764	8	descriptive	deterministic SHA-256 rank prefix	3	8
0.4178203412633045	repulsive-gap[alpha=4]	0.10844110769594248	12	descriptive	deterministic SHA-256 rank prefix	3	12
0.374151441662325	repulsive-gap[alpha=4]	0.10451597322654033	24	descriptive	deterministic SHA-256 rank prefix	3	24
0.0026897277752915526	repulsive-gap[regular]	NA	4	small-sample	deterministic SHA-256 rank prefix	3	4
0.003616528828476174	repulsive-gap[regular]	0.34457057762440696	8	descriptive	deterministic SHA-256 rank prefix	3	8
0.0036582752646089423	repulsive-gap[regular]	0.011543233335805675	12	descriptive	deterministic SHA-256 rank prefix	3	12
0.0038273440772948935	repulsive-gap[regular]	0.04621544319574981	24	descriptive	deterministic SHA-256 rank prefix	3	24
0.31265039970315744	current-baseline[delta=0.2]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
0.2867011333076682	current-baseline[delta=0.2]	0.0829977074077835	8	descriptive	deterministic SHA-256 rank prefix	4	8
0.3266414251108555	current-baseline[delta=0.2]	0.13930984974630722	12	descriptive	deterministic SHA-256 rank prefix	4	12
0.3880973840240267	current-baseline[delta=0.2]	0.18814502444787684	24	descriptive	deterministic SHA-256 rank prefix	4	24
0.10849067006444992	primal-hull-uniform-disk[points=n+4,origin=interior]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
0.09917469466069227	primal-hull-uniform-disk[points=n+4,origin=interior]	0.08586890834228786	8	descriptive	deterministic SHA-256 rank prefix	4	8
0.09866162703068526	primal-hull-uniform-disk[points=n+4,origin=interior]	0.0051733724188652765	12	descriptive	deterministic SHA-256 rank prefix	4	12
0.09510275543392593	primal-hull-uniform-disk[points=n+4,origin=interior]	0.03607148699922073	24	descriptive	deterministic SHA-256 rank prefix	4	24
0.03268332310632347	regular-mutation[steps=4,scale=0.03]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
0.025295046847477586	regular-mutation[steps=4,scale=0.03]	0.2260564580538759	8	descriptive	deterministic SHA-256 rank prefix	4	8
0.023371501833388347	regular-mutation[steps=4,scale=0.03]	0.07604433491219464	12	descriptive	deterministic SHA-256 rank prefix	4	12
0.02114251438094109	regular-mutation[steps=4,scale=0.03]	0.09537202479914851	24	descriptive	deterministic SHA-256 rank prefix	4	24
0.10824645722755817	repulsive-gap[alpha=16]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
0.10274614337045752	repulsive-gap[alpha=16]	0.050812876448582164	8	descriptive	deterministic SHA-256 rank prefix	4	8
0.09167102516006442	repulsive-gap[alpha=16]	0.10779108438611737	12	descriptive	deterministic SHA-256 rank prefix	4	12
0.08367513129422727	repulsive-gap[alpha=16]	0.08722378583500873	24	descriptive	deterministic SHA-256 rank prefix	4	24
0.7045684451508571	repulsive-gap[alpha=1]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
0.499386910808637	repulsive-gap[alpha=1]	0.2912159006756088	8	descriptive	deterministic SHA-256 rank prefix	4	8
0.49682801818520517	repulsive-gap[alpha=1]	0.0051240682686062595	12	descriptive	deterministic SHA-256 rank prefix	4	12
0.5182890621856053	repulsive-gap[alpha=1]	0.043196122631715225	24	descriptive	deterministic SHA-256 rank prefix	4	24
0.08926972658623462	repulsive-gap[alpha=4]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
0.19820118069857343	repulsive-gap[alpha=4]	1.2202507868903456	8	descriptive	deterministic SHA-256 rank prefix	4	8
0.1628128684837099	repulsive-gap[alpha=4]	0.17854743392615033	12	descriptive	deterministic SHA-256 rank prefix	4	12
0.21526668546149844	repulsive-gap[alpha=4]	0.32217242694816073	24	descriptive	deterministic SHA-256 rank prefix	4	24
0.009018224342130536	repulsive-gap[regular]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
0.007751999331419825	repulsive-gap[regular]	0.14040735322975656	8	descriptive	deterministic SHA-256 rank prefix	4	8
0.007372628473570328	repulsive-gap[regular]	0.04893845337574516	12	descriptive	deterministic SHA-256 rank prefix	4	12
0.007461969556931955	repulsive-gap[regular]	0.012117941882179531	24	descriptive	deterministic SHA-256 rank prefix	4	24
7.95858299751784	zonogon[lengths=uniform(0.5,1.5)]	NA	4	small-sample	deterministic SHA-256 rank prefix	4	4
4.305922229516786	zonogon[lengths=uniform(0.5,1.5)]	0.4589586826122518	8	descriptive	deterministic SHA-256 rank prefix	4	8
3.144441795767061	zonogon[lengths=uniform(0.5,1.5)]	0.2697402256333986	12	descriptive	deterministic SHA-256 rank prefix	4	12
1.9383499697380624	zonogon[lengths=uniform(0.5,1.5)]	0.38356309461749233	24	descriptive	deterministic SHA-256 rank prefix	4	24
0.1789841524227933	current-baseline[delta=0.2]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
