side_count	law	count	sample_status	pairwise_l2_mean	nearest_neighbor_l2_mean	effective_dimension	duplicate_pair_fraction	baseline_centroid_distance	energy_like_l2_v_statistic	outside_baseline_count	outside_baseline_fraction	central_body_radius	accepted_fraction
3	current-baseline[delta=0.2]	10	descriptive	0.9737335453	0.2972041955	1.016861591	0	0	0	1	0.1	1.193192555	NA
3	regular-mutation[steps=4,scale=0.03]	10	descriptive	0.02496763071	0.00812347295	1.645450992	0	0.8399078445	0.8126431017	0	0	1.193192555	NA
3	repulsive-gap[alpha=16]	10	descriptive	0.1328348375	0.05771424269	1.578054378	0	0.7045230983	0.5214889861	0	0	1.193192555	NA
3	repulsive-gap[alpha=1]	10	descriptive	0.3040847068	0.08102456639	1.103377775	0	0.5437934494	0.2635467336	0	0	1.193192555	NA
3	repulsive-gap[alpha=4]	10	descriptive	0.3726974196	0.1583624128	1.091015079	0	0.535210367	0.2617900373	0	0	1.193192555	NA
3	repulsive-gap[regular]	10	descriptive	4.388329139e-12	1.354746164e-12	NA	1	0.8615162973	0.8775124768	0	0	1.193192555	NA
4	current-baseline[delta=0.2]	5	descriptive	0.2616485114	0.1215754198	1.174033903	0	0	0	0	0	0.4147084038	NA
4	primal-hull-uniform-disk[points=n+4,origin=interior]	5	descriptive	0.1194122175	0.06922951942	1.541577808	0	0.1474859639	0.1119850392	0	0	0.4147084038	NA
4	regular-mutation[steps=4,scale=0.03]	5	descriptive	0.01663148942	0.0116043208	2.474598904	0	0.2518370184	0.3007489127	0	0	0.4147084038	NA
4	repulsive-gap[alpha=16]	5	descriptive	0.08772519076	0.04989489424	1.824727413	0	0.1548867389	0.107987728	0	0	0.4147084038	NA
4	repulsive-gap[alpha=1]	5	descriptive	0.157326909	0.09097556008	1.492785813	0	0.04410339855	0.05571269914	0	0	0.4147084038	NA
4	repulsive-gap[alpha=4]	5	descriptive	0.2769929738	0.1344652559	1.188049343	0	0.03996631256	0.03720065205	0	0	0.4147084038	NA
4	repulsive-gap[regular]	5	descriptive	4.187973254e-12	1.051565565e-12	NA	1	0.2580330104	0.3330867199	0	0	0.4147084038	NA
4	zonogon[lengths=uniform(0.5,1.5)]	5	descriptive	0.6948343595	0.1927112834	1.011834074	0	0.3449579672	0.246939517	2	0.4	0.4147084038	NA
6	current-baseline[delta=0.2]	15	descriptive	0.2803591385	0.07197358568	1.069751477	0	0	0	1	0.06666666667	0.6526488224	NA
6	primal-hull-uniform-disk[points=n+4,origin=interior]	15	descriptive	0.07809279847	0.04600150454	3.921972921	0	0.154766761	0.07225120995	0	0	0.6526488224	NA
6	regular-mutation[steps=4,scale=0.03]	15	descriptive	0.01670276975	0.01033160443	4.780386592	0	0.2399166333	0.2374047794	0	0	0.6526488224	NA
6	repulsive-gap[alpha=16]	15	descriptive	0.03120797086	0.01975053728	5.40008965	0	0.2325235036	0.2111063852	0	0	0.6526488224	NA
6	repulsive-gap[alpha=1]	15	descriptive	0.2785995817	0.09111915105	1.074031944	0	0.05122790081	0.02893823518	1	0.06666666667	0.6526488224	NA
6	repulsive-gap[alpha=4]	15	descriptive	0.1168964827	0.04943910633	1.199889457	0	0.1586268055	0.08347267574	0	0	0.6526488224	NA
6	repulsive-gap[regular]	15	descriptive	2.853047412e-12	3.755691831e-13	NA	1	0.2500072499	0.2698503294	0	0	0.6526488224	NA
6	zonogon[lengths=uniform(0.5,1.5)]	15	descriptive	0.435184205	0.1227629072	1.035177857	0	0.1705703758	0.08218879995	2	0.1333333333	0.6526488224	NA
