accepted_prefix	attempts_prefix_total	first_hit_censored_streams	hit_count	hit_rate	interval_contract	population	region	side_count	stream_count	survival_count	survival_rate	wilson_high	wilson_low
1	10	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	current-baseline[delta=0.2]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
2	14	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	current-baseline[delta=0.2]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
4	25	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	current-baseline[delta=0.2]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
8	56	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	current-baseline[delta=0.2]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
16	130	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	current-baseline[delta=0.2]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
24	169	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	current-baseline[delta=0.2]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
1	152	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
2	300	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
4	616	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
8	914	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
16	1745	2	0	0.0	Wilson 95% over exactly two independent confirmation seed streams; descriptive only	primal-hull-uniform-disk[points=n+4,origin=interior]	covariance_anisotropy_low	3	2	2	1.0	0.6576197724933469	0.0
