pair_bucket	display_order	law	parameter	sys	sample_id
3x3	1	jittered-regular	0.0	0.66666666666666674	altgen-v2/jittered-regular/param=0.0/seed=20260714/row=0/attempt=0/3x3
3x3	2	jittered-regular	0.1	0.63903315138404737	altgen-v2/jittered-regular/param=0.1/seed=20260714/row=0/attempt=0/3x3
3x3	3	inscribed	circle-radius=1	0.46885470615609881	altgen-v2/inscribed/param=circle-radius=1/seed=20260714/row=0/attempt=18/3x3
3x3	4	baseline	0.2	0.45650853116409612	altgen-v2/baseline/param=0.2/seed=20260714/row=0/attempt=3/3x3
3x3	5	log-support	0.2	0.41407874388975779	altgen-v2/log-support/param=0.2/seed=20260714/row=0/attempt=17/3x3
3x3	6	dirichlet-gap	1.0	0.40143968631590315	altgen-v2/dirichlet-gap/param=1.0/seed=20260714/row=0/attempt=17/3x3
3x3	7	congruent	full-step	0.3717149506874538	altgen-v2/congruent/param=full-step/seed=20260714/row=0/attempt=1/3x3
3x3	8	dirichlet-gap	2.0	0.3407552973698898	altgen-v2/dirichlet-gap/param=2.0/seed=20260714/row=0/attempt=1/3x3
3x3	9	dirichlet-gap	10.0	0.3297002693066815	altgen-v2/dirichlet-gap/param=10.0/seed=20260714/row=0/attempt=0/3x3
3x3	10	congruent	zero	0.28048494935058127	altgen-v2/congruent/param=zero/seed=20260714/row=0/attempt=1/3x3
3x3	11	congruent	half-step	0.20628044253118125	altgen-v2/congruent/param=half-step/seed=20260714/row=0/attempt=0/3x3
3x3	12	factorial-q	q=tangential	0.10917105074077002	altgen-v2/factorial-q/param=q=tangential/seed=20260714/row=0/attempt=40/3x3
3x3	13	factorial-p	p=tangential	0.10917105074076992	altgen-v2/factorial-p/param=p=tangential/seed=20260714/row=0/attempt=40/3x3
3x3	14	factorial-both	q,p=tangential	0.10917105074076988	altgen-v2/factorial-both/param=q,p=tangential/seed=20260714/row=0/attempt=40/3x3
3x3	15	factorial-baseline	current	0.10917105074076985	altgen-v2/factorial-baseline/param=current/seed=20260714/row=0/attempt=40/3x3
3x3	16	smooth-support-r2	0.1	0.080735900933759694	altgen-v2/smooth-support-r2/param=0.1/seed=20260714/row=0/attempt=8/3x3
3x3	17	log-support	0.1	0.034418634007678577	altgen-v2/log-support/param=0.1/seed=20260714/row=0/attempt=0/3x3
3x3	18	log-support	0.0	0.033639258517781323	altgen-v2/log-support/param=0.0/seed=20260714/row=0/attempt=2/3x3
3x3	19	smooth-support-r3	0.1	0.015868358815022583	altgen-v2/smooth-support-r3/param=0.1/seed=20260714/row=0/attempt=8/3x3
3x3	20	equal-support	area=1	0.0041742006320176928	altgen-v2/equal-support/param=area=1/seed=20260714/row=0/attempt=7/3x3
4x6	1	factorial-baseline	current	0.71314354374927147	altgen-v2/factorial-baseline/param=current/seed=20260714/row=0/attempt=10/4x6
4x6	2	dirichlet-gap	1.0	0.70896694269284366	altgen-v2/dirichlet-gap/param=1.0/seed=20260714/row=0/attempt=0/4x6
4x6	3	factorial-q	q=tangential	0.68230344889225092	altgen-v2/factorial-q/param=q=tangential/seed=20260714/row=0/attempt=10/4x6
4x6	4	factorial-p	p=tangential	0.66337677068611023	altgen-v2/factorial-p/param=p=tangential/seed=20260714/row=0/attempt=10/4x6
4x6	5	factorial-both	q,p=tangential	0.63468885404825581	altgen-v2/factorial-both/param=q,p=tangential/seed=20260714/row=0/attempt=10/4x6
4x6	6	jittered-regular	0.1	0.60512176117146232	altgen-v2/jittered-regular/param=0.1/seed=20260714/row=0/attempt=0/4x6
4x6	7	log-support	0.1	0.60258033283031232	altgen-v2/log-support/param=0.1/seed=20260714/row=0/attempt=2/4x6
4x6	8	dirichlet-gap	2.0	0.59672660544162004	altgen-v2/dirichlet-gap/param=2.0/seed=20260714/row=0/attempt=0/4x6
4x6	9	jittered-regular	0.0	0.57735026918962573	altgen-v2/jittered-regular/param=0.0/seed=20260714/row=0/attempt=0/4x6
4x6	10	smooth-support-r2	0.1	0.55524323799866904	altgen-v2/smooth-support-r2/param=0.1/seed=20260714/row=0/attempt=5/4x6
4x6	11	dirichlet-gap	10.0	0.54020322085324735	altgen-v2/dirichlet-gap/param=10.0/seed=20260714/row=0/attempt=0/4x6
4x6	12	broken-antipodal	independent-supports	0.51582282338547092	altgen-v2/broken-antipodal/param=independent-supports/seed=20260714/row=0/attempt=2/4x6
4x6	13	broken-symmetric-control	paired-width-control	0.51039506196438067	altgen-v2/broken-symmetric-control/param=paired-width-control/seed=20260714/row=0/attempt=2/4x6
4x6	14	inscribed	circle-radius=1	0.47845644010556132	altgen-v2/inscribed/param=circle-radius=1/seed=20260714/row=0/attempt=0/4x6
4x6	15	smooth-support-r3	0.1	0.36155411637080775	altgen-v2/smooth-support-r3/param=0.1/seed=20260714/row=0/attempt=4/4x6
4x6	16	log-support	0.2	0.35290981704161029	altgen-v2/log-support/param=0.2/seed=20260714/row=0/attempt=2/4x6
4x6	17	baseline	0.2	0.2395715919227332	altgen-v2/baseline/param=0.2/seed=20260714/row=0/attempt=5/4x6
4x6	18	dirichlet-gap	0.5	0.20402122898801495	altgen-v2/dirichlet-gap/param=0.5/seed=20260714/row=0/attempt=0/4x6
4x6	19	symmetric-strips-constant	constant-width	0.16704127996277099	altgen-v2/symmetric-strips-constant/param=constant-width/seed=20260714/row=0/attempt=0/4x6
4x6	20	symmetric-strips-iid	iid-width	0.16211398786995937	altgen-v2/symmetric-strips-iid/param=iid-width/seed=20260714/row=0/attempt=0/4x6
4x6	21	equal-support	area=1	0.14237070071351668	altgen-v2/equal-support/param=area=1/seed=20260714/row=0/attempt=3/4x6
4x6	22	log-support	0.0	0.05083534275409967	altgen-v2/log-support/param=0.0/seed=20260714/row=0/attempt=0/4x6
