population	side_count	n	view	pair_mean	nn_mean	duplicate_fraction	cell_count	good_turing_unseen_mass
current-baseline[delta=0.2]	3	10	raw_ordered	1.6978886832435394	0.8489080354606002	0.0	4	0.2
current-baseline[delta=0.2]	3	10	frame_adjusted	0.9755304132859889	0.3491191293503208	0.0	4	0.2
current-baseline[delta=0.2]	4	5	raw_ordered	0.5017350274730217	0.3714813162534167	0.0	4	0.6
current-baseline[delta=0.2]	4	5	frame_adjusted	0.28302943352314713	0.18286159845123523	0.0	4	0.6
current-baseline[delta=0.2]	6	15	raw_ordered	0.5379139950947986	0.2891478380850517	0.0	3	0.13333333333333333
current-baseline[delta=0.2]	6	15	frame_adjusted	0.32563483149252603	0.14887896441838264	0.0	3	0.13333333333333333
primal-hull-uniform-disk[points=n+4,origin=interior]	4	5	raw_ordered	0.47106055441582334	0.23959739750102438	0.0	3	0.2
primal-hull-uniform-disk[points=n+4,origin=interior]	4	5	frame_adjusted	0.17549215975299454	0.11280018176180803	0.0	3	0.2
primal-hull-uniform-disk[points=n+4,origin=interior]	6	15	raw_ordered	0.3781467602486221	0.1932376492026268	0.0	3	0.06666666666666667
primal-hull-uniform-disk[points=n+4,origin=interior]	6	15	frame_adjusted	0.16202030206684376	0.10610151743053783	0.0	3	0.06666666666666667
regular-mutation[steps=4,scale=0.03]	3	10	raw_ordered	0.8241039208964083	0.19554557345872783	0.0	1	0.0
regular-mutation[steps=4,scale=0.03]	3	10	frame_adjusted	0.027999166813096544	0.009023513678973227	0.0	1	0.0
regular-mutation[steps=4,scale=0.03]	4	5	raw_ordered	0.6710279820026704	0.24113379571774457	0.0	1	0.0
regular-mutation[steps=4,scale=0.03]	4	5	frame_adjusted	0.019227718084019935	0.012026681984136246	0.0	1	0.0
regular-mutation[steps=4,scale=0.03]	6	15	raw_ordered	0.5647728041650849	0.10321070306837361	0.0	2	0.06666666666666667
regular-mutation[steps=4,scale=0.03]	6	15	frame_adjusted	0.02225033289412167	0.014183321819257662	0.0	2	0.06666666666666667
repulsive-gap[alpha=16]	3	10	raw_ordered	0.9556358111554961	0.33623123944298705	0.0	4	0.1
repulsive-gap[alpha=16]	3	10	frame_adjusted	0.15749918112536868	0.0670633727607522	0.0	4	0.1
repulsive-gap[alpha=16]	4	5	raw_ordered	0.7757015029032216	0.4097208048731429	0.0	4	0.6
repulsive-gap[alpha=16]	4	5	frame_adjusted	0.14400341440809478	0.08585454339593072	0.0	4	0.6
repulsive-gap[alpha=16]	6	15	raw_ordered	0.5628453393955639	0.12270975474096078	0.0	3	0.06666666666666667
repulsive-gap[alpha=16]	6	15	frame_adjusted	0.044262797636534505	0.025759814263719337	0.0	3	0.06666666666666667
repulsive-gap[alpha=1]	3	10	raw_ordered	1.0629790115706592	0.3021517555666252	0.0	4	0.0
repulsive-gap[alpha=1]	3	10	frame_adjusted	0.33060662321439427	0.10188641216435354	0.0	4	0.0
repulsive-gap[alpha=1]	4	5	raw_ordered	0.8103808308856971	0.5215514670492314	0.0	3	0.2
repulsive-gap[alpha=1]	4	5	frame_adjusted	0.21293785859087794	0.1426104130066007	0.0	3	0.2
repulsive-gap[alpha=1]	6	15	raw_ordered	0.8124885895866284	0.384837747542313	0.0	2	0.0
repulsive-gap[alpha=1]	6	15	frame_adjusted	0.3160431225943839	0.10753849855674959	0.0	2	0.0
repulsive-gap[alpha=4]	3	10	raw_ordered	1.183134843667131	0.5354851923868627	0.0	5	0.1
repulsive-gap[alpha=4]	3	10	frame_adjusted	0.40843942425620333	0.17986528630499105	0.0	5	0.1
repulsive-gap[alpha=4]	4	5	raw_ordered	0.8535154189385168	0.5398281147743261	0.0	4	0.6
repulsive-gap[alpha=4]	4	5	frame_adjusted	0.34706834356393307	0.2165165005160054	0.0	4	0.6
repulsive-gap[alpha=4]	6	15	raw_ordered	0.6338396769530303	0.2258903039572314	0.0	3	0.06666666666666667
repulsive-gap[alpha=4]	6	15	frame_adjusted	0.14323045401291004	0.06284389029423329	0.0	3	0.06666666666666667
repulsive-gap[regular]	3	10	raw_ordered	0.748525566342657	0.2057623308568509	0.0	1	0.0
repulsive-gap[regular]	3	10	frame_adjusted	2.788078288421917e-16	1.5042791848655222e-16	1.0	1	0.0
repulsive-gap[regular]	4	5	raw_ordered	0.5836428697013945	0.3227427924958314	0.0	1	0.0
repulsive-gap[regular]	4	5	frame_adjusted	1.0838066402808443e-16	8.000551989036945e-17	1.0	1	0.0
repulsive-gap[regular]	6	15	raw_ordered	0.544494863904076	0.09644244854474841	0.0	1	0.0
repulsive-gap[regular]	6	15	frame_adjusted	1.490240063047116e-16	7.790058360908792e-17	1.0	1	0.0
zonogon[lengths=uniform(0.5,1.5)]	4	5	raw_ordered	0.8305529514986022	0.3288515256583441	0.0	4	0.6
zonogon[lengths=uniform(0.5,1.5)]	4	5	frame_adjusted	0.5667360338246394	0.15452085215218297	0.0	4	0.6
zonogon[lengths=uniform(0.5,1.5)]	6	15	raw_ordered	0.6878602166306176	0.3093001294728701	0.0	4	0.0
zonogon[lengths=uniform(0.5,1.5)]	6	15	frame_adjusted	0.36637448287689833	0.1595470253394253	0.0	4	0.0
