population	side_count	n	view	pair_mean	nn_mean	duplicate_fraction	cell_count	good_turing_unseen_mass
broad	8	18	raw_ordered	0.619629730488272	0.18568757736926983	0.0	4	0.0
broad	8	18	frame_adjusted	0.13653696696723694	0.028413278557392334	0.0	4	0.0
concentrated	8	18	raw_ordered	0.4563110479033442	0.006591832895482883	0.0	1	0.0
concentrated	8	18	frame_adjusted	0.0030021198960386987	0.0007572908354645669	0.0	1	0.0
contaminated-outliers	8	18	raw_ordered	0.5788586782294926	0.10334945513069416	0.0	2	0.0
contaminated-outliers	8	18	frame_adjusted	0.16256717057283096	0.0022420536976268004	0.006535947712418301	2	0.0
dependent-duplicates	8	18	raw_ordered	0.5432221918008713	0.10009711987082581	0.0	4	0.0
dependent-duplicates	8	18	frame_adjusted	0.11581457326279335	1.0962888245830833e-16	0.11764705882352941	4	0.0
duplicated	8	18	raw_ordered	0.5005421447289559	0.07719556742733326	0.0	3	0.0
duplicated	8	18	frame_adjusted	0.07311538623498394	8.736929869018987e-17	0.11764705882352941	3	0.0
identical	8	18	raw_ordered	0.5588050711097978	0.10842663124376713	0.0	1	0.0
identical	8	18	frame_adjusted	6.215035582942287e-17	4.1824992549344127e-17	1.0	1	0.0
imbalanced	8	18	raw_ordered	0.5279736208831386	0.06178873488399212	0.0	2	0.0
imbalanced	8	18	frame_adjusted	0.011113985576353149	0.0019460092083737242	0.0	2	0.0
multimodal	8	18	raw_ordered	0.5350413476743039	0.039847502360114355	0.0	2	0.0
multimodal	8	18	frame_adjusted	0.008620427088820585	0.0006104627877371733	0.0	2	0.0
rare-mixture	8	18	raw_ordered	0.48982325054024567	0.0375990297627318	0.0	2	0.05555555555555555
rare-mixture	8	18	frame_adjusted	0.05108432933370742	0.023839504725076458	0.0	2	0.05555555555555555
