panel_role	arm	bucket	low_poly_id	high_poly_id	low_sys	high_sys	low_adjacent_abs_difference_mean	high_adjacent_abs_difference_mean	low_adjacent_endpoint_pearson	high_adjacent_endpoint_pearson	low_top_quartile_induced_edge_count	high_top_quartile_induced_edge_count	low_top_quartile_component_count	high_top_quartile_component_count	low_top_quartile_internal_edge_fraction	high_top_quartile_internal_edge_fraction	low_returned_orbit_count	high_returned_orbit_count	low_near_active_raw_orbits_1e-12	high_near_active_raw_orbits_1e-12	low_near_active_cyclic_classes_1e-12	high_near_active_cyclic_classes_1e-12	low_near_active_raw_orbits_1e-06	high_near_active_raw_orbits_1e-06	low_near_active_cyclic_classes_1e-06	high_near_active_cyclic_classes_1e-06	low_near_active_raw_orbits_0.001	high_near_active_raw_orbits_0.001	low_near_active_cyclic_classes_0.001	high_near_active_cyclic_classes_0.001	low_near_active_raw_orbits_0.01	high_near_active_raw_orbits_0.01	low_near_active_cyclic_classes_0.01	high_near_active_cyclic_classes_0.01	high_exact_raw_sigmas	high_exact_canonical_cyclic_sigmas	low_exact_raw_sigmas	low_exact_canonical_cyclic_sigmas
discordant_pair	product_exact_summary	product-4x6	f12375973e9544fb3ca024d700509859ac344076bec506209b3c6c98a86385c6	d7611eb868fb6fb76e4aa9a4909b845f15038e9615040231be9d4110a095e351	0.4205585942397577	0.6929739024920833	0.4578787535151986	0.49078076852736063	-0.16294672915478625	-0.10213778464341727	6	6	3	4	0.041666666666666664	0.041666666666666664	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	[[1,5,3,8,2,7]]	[[1,5,3,8,2,7]]	[[1,7,8,3,0,9],[1,8,7,3,0,9],[1,7,8,0,3,9],[1,8,7,0,3,9]]	[[0,3,9,1,7,8],[0,3,9,1,8,7],[0,9,1,7,8,3],[0,9,1,8,7,3]]
discordant_pair	product_exact_summary	product-4x4	ca02ba26dff65c9b67a0f09eb5967d5be495c94f6e541ad8cc96b839714bf552	a1dc7a009c6219851007ae62f65cd090aa284ea054af825ed9b1ac04473e47f0	0.6237310456038816	0.7864121397554283	0.677778894031834	0.6837227785088816	-0.3526960965449011	-0.31657968475221876	0	6	6	1	0.0	0.0625	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	1	[[1,4,3,6,2,5]]	[[1,4,3,6,2,5]]	[[2,6,3,0,7,4],[2,6,0,3,7,4],[2,6,3,0,4,7],[2,6,0,3,4,7]]	[[0,3,4,7,2,6],[0,3,7,4,2,6],[0,4,7,2,6,3],[0,7,4,2,6,3]]
discordant_pair	generic_caliper	generic-F10	41e77023699e4474bb94008055b14e7751a9afdda263457361e4521e18d10d0b	bfbd5cf6aa584eadcf2ce5bf7fb0eed74ef891fab7fd31f126205db606f3a544	0.4745404990283402	0.6342016188324596	0.5030398490919075	0.46839441567198914	-0.0721962286285336	-0.10370261234902592	12	13	1	1	0.07142857142857142	0.07738095238095238	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	[[0,2,3,1,5,9]]	[[0,2,3,1,5,9]]	[[1,5,4,6,3,8,7,9]]	[[1,5,4,6,3,8,7,9]]
discordant_pair	generic_caliper	generic-F9	87a4cc3960fbacfb9f22fc910ed92d8fe765282bcd6dae0276816dec6ccb082e	2793c0d2d27261a2ec36881a638cf296ad3f0b9a31862ddd1d76c3a4999a9cc5	0.1885724296175848	0.3347469815311719	0.7752332823256949	0.6579453923976104	0.0273427545797688	0.06873377675610017	13	11	1	1	0.09848484848484848	0.08333333333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	[[0,2,4,7,8]]	[[0,2,4,7,8]]	[[0,3,2,7,5,1]]	[[0,3,2,7,5,1]]
residual_exemplar	product_exact_summary	product-4x4	2f6215f4a38a0d5719a1e83b563a53d2224d30e0708a08d81437b59e8a9476eb		0.8141002333029529		0.7064702593233799		-0.253685802788638		3		3		0.03125		1		1		1		1		1		1		1		1		1				[[0,7,1,4,2,5]]	[[0,7,1,4,2,5]]
residual_exemplar	product_exact_summary	product-4x5	3cb1e48e5e7467b58d0f853730bd40d4dcffddd009a511091f9f99075952dffc		0.32423339385099154		0.5450081183548037		-0.3111783775276141		3		5		0.025		4		4		4		4		4		4		4		4		4				[[1,6,5,0,3,8],[1,5,6,0,3,8],[1,5,6,3,0,8],[1,6,5,3,0,8]]	[[0,3,8,1,5,6],[0,3,8,1,6,5],[0,8,1,5,6,3],[0,8,1,6,5,3]]
residual_exemplar	generic_caliper	generic-F10	c6d301cb62ddd74e11a66bfadcfeeb2e8f119a1942c85ddf7ee68896ba26d5c4		0.8595596058028344		0.4684396448995866		-0.15262209435316837		7		3		0.04487179487179487		2		1		1		1		1		1		1		2		2				[[0,9,6,3,2,1,4,7]]	[[0,9,6,3,2,1,4,7]]
residual_exemplar	generic_caliper	generic-F11	6e14650424a2216cf4289ebd392c63b5cea281d65c21ba5db0ec5ace02e3e325		0.3488766819425237		0.34612387080704904		-0.05190872091791885		14		2		0.07777777777777778		2		1		1		2		2		2		2		2		2				[[0,2,10,6,7,3]]	[[0,2,10,6,7,3]]
residual_exemplar	generic_caliper	generic-F7	51358ab7a4dce0dccee681f8219246decea4a4215196a075c43a6c6e38bdda56		0.6784213299550274		0.9100291265338333		-0.23659504986412216		3		2		0.038461538461538464		1		1		1		1		1		1		1		1		1				[[0,4,6,3,5,1,2]]	[[0,4,6,3,5,1,2]]
residual_exemplar	generic_caliper	generic-F12	8a497043ebe72d0f59e96e1c475610d76376fd6638c8fe89d21966063cb51d04		0.8247662746241669		0.5125441283546961		-0.2569971938377314		9		4		0.04411764705882353		5		1		1		1		1		1		1		5		5				[[0,10,2,4,1,11,8,7,5]]	[[0,10,2,4,1,11,8,7,5]]
