panel_role	arm	bucket	poly_id_a	poly_id_b	sys_a	sys_b	score	selection_note
discordant_pair	product_exact_summary	product-4x6	f12375973e9544fb3ca024d700509859ac344076bec506209b3c6c98a86385c6	d7611eb868fb6fb76e4aa9a4909b845f15038e9615040231be9d4110a095e351	0.4205585942397577	0.6929739024920833	0.2724153082523256	top post-target sys gap among target-free analysis-chosen q25 matches; at most one pair per bucket
discordant_pair	product_exact_summary	product-4x4	ca02ba26dff65c9b67a0f09eb5967d5be495c94f6e541ad8cc96b839714bf552	a1dc7a009c6219851007ae62f65cd090aa284ea054af825ed9b1ac04473e47f0	0.6237310456038816	0.7864121397554283	0.16268109415154675	top post-target sys gap among target-free analysis-chosen q25 matches; at most one pair per bucket
discordant_pair	generic_caliper	generic-F10	41e77023699e4474bb94008055b14e7751a9afdda263457361e4521e18d10d0b	bfbd5cf6aa584eadcf2ce5bf7fb0eed74ef891fab7fd31f126205db606f3a544	0.4745404990283402	0.6342016188324596	0.1596611198041194	top post-target sys gap among target-free analysis-chosen q25 matches; at most one pair per bucket
discordant_pair	generic_caliper	generic-F9	87a4cc3960fbacfb9f22fc910ed92d8fe765282bcd6dae0276816dec6ccb082e	2793c0d2d27261a2ec36881a638cf296ad3f0b9a31862ddd1d76c3a4999a9cc5	0.1885724296175848	0.3347469815311719	0.14617455191358708	top post-target sys gap among target-free analysis-chosen q25 matches; at most one pair per bucket
residual_exemplar	product_exact_summary	product-4x4	2f6215f4a38a0d5719a1e83b563a53d2224d30e0708a08d81437b59e8a9476eb		0.8141002333029529		0.31673749966402776	largest model-specific OOF-sign-consistent residual in arm/sign cell with leave-bucket-out sign agreement
residual_exemplar	product_exact_summary	product-4x5	3cb1e48e5e7467b58d0f853730bd40d4dcffddd009a511091f9f99075952dffc		0.32423339385099154		-0.2610794011867184	largest model-specific OOF-sign-consistent residual in arm/sign cell with leave-bucket-out sign agreement
residual_exemplar	generic_caliper	generic-F10	c6d301cb62ddd74e11a66bfadcfeeb2e8f119a1942c85ddf7ee68896ba26d5c4		0.8595596058028344		0.3316458997319779	largest model-specific OOF-sign-consistent residual in arm/sign cell with leave-bucket-out sign agreement
residual_exemplar	generic_caliper	generic-F11	6e14650424a2216cf4289ebd392c63b5cea281d65c21ba5db0ec5ace02e3e325		0.3488766819425237		-0.26032995405415327	largest model-specific OOF-sign-consistent residual in arm/sign cell with leave-bucket-out sign agreement
residual_exemplar	generic_caliper	generic-F7	51358ab7a4dce0dccee681f8219246decea4a4215196a075c43a6c6e38bdda56		0.6784213299550274		0.307307242322982	largest remaining model-specific OOF-sign-consistent residual with a new bucket and leave-bucket-out sign agreement
residual_exemplar	generic_caliper	generic-F12	8a497043ebe72d0f59e96e1c475610d76376fd6638c8fe89d21966063cb51d04		0.8247662746241669		0.3067747730705155	largest remaining model-specific OOF-sign-consistent residual with a new bucket and leave-bucket-out sign agreement
