evidence_source	slice	hypothesis	control_or_bucket	classification	n_selected	selected_mean_sys	selected_max_sys	baseline_mean_sys	baseline_p95_sys	selected_above_baseline_p95	effect_size	support_detail	interpretation_boundary
retained_tail_rule_mining	ridge_symp_area_max_over_volume_sqrt:top_10_percent_random_product	low_ridge_magnitude_signal	raw_no_controls	survives	457						5.22558943953107	precision=0.560175; recall=0.46461; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_max_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_controls	collapses	1563						0.6546409037133001	precision=0.0818938; recall=0.199067; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_max_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_plus_combinatorial_controls	collapses	1563						0.6546409037133001	precision=0.0818938; recall=0.199067; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_max_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_strongest_combinatorial_controls	collapses	1634						0.8561268990407952	precision=0.107099; recall=0.272162; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_max_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_nonself_prepared_controls	collapses	1569						0.8561523806879896	precision=0.0917782; recall=0.261343; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_max_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_other_feature_family_controls	collapses	1634						0.8561268990407952	precision=0.107099; recall=0.272162; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_mean_over_volume_sqrt:top_10_percent_random_product	low_ridge_magnitude_signal	raw_no_controls	survives	523						4.494799998611945	precision=0.481836; recall=0.45735; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_mean_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_controls	collapses	1613						0.42620273265719144	precision=0.0533168; recall=0.133748; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_mean_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_plus_combinatorial_controls	collapses	1613						0.42620273265719144	precision=0.0533168; recall=0.133748; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_mean_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_strongest_combinatorial_controls	collapses	1100						0.7049059804891842	precision=0.0881818; recall=0.150855; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_mean_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_nonself_prepared_controls	collapses	1625						0.693614068668501	precision=0.0867692; recall=0.219285; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_mean_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_other_feature_family_controls	collapses	1100						0.7049059804891842	precision=0.0881818; recall=0.150855; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q90_over_volume_sqrt:top_10_percent_random_product	low_ridge_magnitude_signal	raw_no_controls	survives	505						4.433343515839788	precision=0.475248; recall=0.435572; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q90_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_controls	collapses	1635						0.39602208683493373	precision=0.0495413; recall=0.125972; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q90_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_plus_combinatorial_controls	collapses	1635						0.39602208683493373	precision=0.0495413; recall=0.125972; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q90_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_strongest_combinatorial_controls	collapses	1118						0.6363563016606526	precision=0.0796064; recall=0.138414; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q90_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_nonself_prepared_controls	collapses	1599						0.8848648601332286	precision=0.110694; recall=0.275272; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q90_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_other_feature_family_controls	collapses	1118						0.6363563016606526	precision=0.0796064; recall=0.138414; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q95_over_volume_sqrt:top_10_percent_random_product	low_ridge_magnitude_signal	raw_no_controls	survives	477						4.830477842839587	precision=0.51782; recall=0.448276; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q95_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_controls	collapses	1601						0.5292570836850607	precision=0.0662086; recall=0.164852; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q95_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_plus_combinatorial_controls	collapses	1601						0.5292570836850607	precision=0.0662086; recall=0.164852; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q95_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_strongest_combinatorial_controls	collapses	1626						0.7521821718994796	precision=0.0940959; recall=0.237947; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q95_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_nonself_prepared_controls	ambiguous	1563						1.1302784353174948	precision=0.141395; recall=0.343701; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
