rule	selected_rows	edge_count	facet_count	ridge_count	ridge_symp_area_max_over_volume_sqrt	ridge_symp_area_mean_over_volume_sqrt	ridge_symp_area_q90_over_volume_sqrt	ridge_symp_area_q95_over_volume_sqrt	ridge_symp_area_std_over_volume_sqrt	ridge_symp_area_sum_over_volume_sqrt	vertex_count
edge_count	100	100|1.000000	100|1.000000	100|1.000000	0|0.000000	0|0.000000	2|0.010101	0|0.000000	0|0.000000	0|0.000000	100|1.000000
facet_count	100	100|1.000000	100|1.000000	100|1.000000	0|0.000000	0|0.000000	2|0.010101	0|0.000000	0|0.000000	0|0.000000	100|1.000000
ridge_count	100	100|1.000000	100|1.000000	100|1.000000	0|0.000000	0|0.000000	2|0.010101	0|0.000000	0|0.000000	0|0.000000	100|1.000000
ridge_symp_area_max_over_volume_sqrt	100	0|0.000000	0|0.000000	0|0.000000	100|1.000000	14|0.075269	4|0.020408	28|0.162791	39|0.242236	14|0.075269	0|0.000000
ridge_symp_area_mean_over_volume_sqrt	100	0|0.000000	0|0.000000	0|0.000000	14|0.075269	100|1.000000	0|0.000000	10|0.052632	1|0.005025	100|1.000000	0|0.000000
ridge_symp_area_q90_over_volume_sqrt	100	2|0.010101	2|0.010101	2|0.010101	4|0.020408	0|0.000000	100|1.000000	12|0.063830	10|0.052632	0|0.000000	2|0.010101
ridge_symp_area_q95_over_volume_sqrt	100	0|0.000000	0|0.000000	0|0.000000	28|0.162791	10|0.052632	12|0.063830	100|1.000000	30|0.176471	10|0.052632	0|0.000000
ridge_symp_area_std_over_volume_sqrt	100	0|0.000000	0|0.000000	0|0.000000	39|0.242236	1|0.005025	10|0.052632	30|0.176471	100|1.000000	1|0.005025	0|0.000000
ridge_symp_area_sum_over_volume_sqrt	100	0|0.000000	0|0.000000	0|0.000000	14|0.075269	100|1.000000	0|0.000000	10|0.052632	1|0.005025	100|1.000000	0|0.000000
vertex_count	100	100|1.000000	100|1.000000	100|1.000000	0|0.000000	0|0.000000	2|0.010101	0|0.000000	0|0.000000	0|0.000000	100|1.000000
