rule	selected_rows	global_high_edge_count_percentile_0p0001	global_high_edge_count_top_10	global_high_facet_count_percentile_0p0001	global_high_facet_count_top_10	global_high_ridge_count_percentile_0p0001	global_high_ridge_count_top_10	global_high_vertex_count_percentile_0p0001	global_high_vertex_count_top_10	global_low_ridge_symp_area_max_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_max_over_volume_sqrt_top_10	global_low_ridge_symp_area_mean_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_mean_over_volume_sqrt_top_10	global_low_ridge_symp_area_q90_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_q90_over_volume_sqrt_top_10	global_low_ridge_symp_area_q95_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_q95_over_volume_sqrt_top_10	global_low_ridge_symp_area_std_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_std_over_volume_sqrt_top_10	global_low_ridge_symp_area_sum_over_volume_sqrt_percentile_0p0001	global_low_ridge_symp_area_sum_over_volume_sqrt_top_10	per_bucket_high_edge_count_top_10	per_bucket_high_facet_count_top_10	per_bucket_high_ridge_count_top_10	per_bucket_high_vertex_count_top_10	per_bucket_low_ridge_symp_area_max_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_mean_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_q90_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_q95_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_std_over_volume_sqrt_top_10	per_bucket_low_ridge_symp_area_sum_over_volume_sqrt_top_10
global_high_edge_count_percentile_0p0001	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_high_edge_count_top_10	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_high_facet_count_percentile_0p0001	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_high_facet_count_top_10	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_high_ridge_count_percentile_0p0001	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_high_ridge_count_top_10	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_high_vertex_count_percentile_0p0001	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_high_vertex_count_top_10	10	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	10|0.100000	10|0.100000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000
global_low_ridge_symp_area_max_over_volume_sqrt_percentile_0p0001	10	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	4|0.250000	4|0.250000	5|0.333333	5|0.333333	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	0|0.000000	0|0.000000	4|0.037736	5|0.047619	0|0.000000
global_low_ridge_symp_area_max_over_volume_sqrt_top_10	10	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	4|0.250000	4|0.250000	5|0.333333	5|0.333333	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	0|0.000000	0|0.000000	4|0.037736	5|0.047619	0|0.000000
global_low_ridge_symp_area_mean_over_volume_sqrt_percentile_0p0001	10	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	6|0.428571	6|0.428571	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	10|0.100000
global_low_ridge_symp_area_mean_over_volume_sqrt_top_10	10	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|1.000000	10|1.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	6|0.428571	6|0.428571	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	0|0.000000	0|0.000000	0|0.000000	10|0.100000
global_low_ridge_symp_area_q90_over_volume_sqrt_percentile_0p0001	10	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|1.000000	10|1.000000	1|0.052632	1|0.052632	1|0.052632	1|0.052632	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	1|0.009174	1|0.009174	0|0.000000
global_low_ridge_symp_area_q90_over_volume_sqrt_top_10	10	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|1.000000	10|1.000000	1|0.052632	1|0.052632	1|0.052632	1|0.052632	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	0|0.000000	10|0.100000	1|0.009174	1|0.009174	0|0.000000
