k	m	stage1_100k_q	stage1_n	stage1_mean_sys	one_m_q	one_m_n	one_m_mean_sys	one_m_minus_stage1_mean	within_bucket_bootstrap95_low	within_bucket_bootstrap95_high	direction
3	3	0.01	100	0.4960215116066919	0.0001	10	0.4994069837225924	0.003385472115900512	0.0013919372038584358	0.0052855332181719755	higher_at_1m_more_extreme
3	4	0.01	100	0.633177832215296	0.0001	10	0.7804289204558091	0.14725108824051314	0.08725820004116597	0.19145168099368823	higher_at_1m_more_extreme
3	5	0.01	100	0.6919748114247161	0.0001	10	0.722139640575689	0.03016482915097296	-0.0006271290799274793	0.06060637222015023	higher_at_1m_more_extreme
3	6	0.01	100	0.6999775462043298	0.0001	10	0.7266782941891108	0.026700747984780948	0.003476376420822802	0.05012971165761131	higher_at_1m_more_extreme
4	4	0.01	100	0.6310672262891263	0.0001	10	0.5583054861737444	-0.07276174011538183	-0.10815443511401127	-0.03481232111258196	lower_at_1m_more_extreme
4	5	0.01	100	0.6391596922467401	0.0001	10	0.568951081362202	-0.07020861088453811	-0.11064440179756752	-0.027909719957246056	lower_at_1m_more_extreme
4	6	0.01	100	0.6394998216982756	0.0001	10	0.5651434935255638	-0.07435632817271176	-0.10785516739532165	-0.03704274875343526	lower_at_1m_more_extreme
5	5	0.01	100	0.6328199353346199	0.0001	10	0.5677428313553807	-0.06507710397923916	-0.10597062998770254	-0.0293994681216281	lower_at_1m_more_extreme
5	6	0.01	100	0.6478367363980876	0.0001	10	0.5155059005541183	-0.13233083584396932	-0.16536898804842556	-0.09691951618629246	lower_at_1m_more_extreme
6	6	0.01	100	0.6490123329439419	0.0001	10	0.579452241469962	-0.0695600914739799	-0.10432135695816586	-0.03510399810167868	lower_at_1m_more_extreme
