k	m	selected_n	baseline_n	selected_mean_sys	baseline_mean_sys	mean_difference	selected_median_sys	baseline_median_sys	selected_max_sys	baseline_max_sys
3	3	10	10	0.4994069837225924	0.19116505030054673	0.30824193342204564	0.49942976379389714	0.11226764245576341	0.500541504389065	0.49959243197611525
3	4	10	10	0.7804289204558091	0.3284826953362937	0.45194622511951543	0.8077865276343945	0.3430298110659885	0.8669200809101494	0.5973770885824323
3	5	10	10	0.722139640575689	0.3388516199159718	0.38328802065971723	0.7334506344335141	0.3202079518156123	0.7779271864192199	0.5750676440930124
3	6	10	10	0.7266782941891108	0.41376461770730383	0.31291367648180696	0.7289263847109653	0.37120615188260353	0.7813520664632432	0.6402203054400363
4	4	10	10	0.5583054861737444	0.31407109088480345	0.24423439528894098	0.554414004448762	0.2993714171091405	0.6416068485617141	0.559877464761593
4	5	10	10	0.568951081362202	0.34236801149371043	0.22658306986849153	0.5736707534619865	0.3981775591101702	0.6852549768962652	0.7020633644244106
4	6	10	10	0.5651434935255638	0.2663449908572276	0.2987985026683362	0.5777289834279524	0.2926617335369269	0.6379525385452587	0.5047794251810127
5	5	10	10	0.5677428313553807	0.46899710457190497	0.09874572678347576	0.5795133415818292	0.4832686653676228	0.6399563019119132	0.6722765204609363
5	6	10	10	0.5155059005541183	0.4261726225057239	0.08933327804839436	0.514427508621826	0.4378748201133542	0.608649111557878	0.6807282841976278
6	6	10	10	0.579452241469962	0.5164473775369559	0.06300486393300608	0.5891149758774739	0.5724981522170232	0.6735609996405821	0.8017365316435817
