k	m	q	n	low_ridge_n	high_sys_n	same_q_overlap_n	conditional_high_sys_rate	conditional_rate_wilson95_low	conditional_rate_wilson95_high	independence_expected_overlap	same_q_enrichment	low_ridge_sys_mean	other_sys_mean	mean_difference_low_minus_other	low_ridge_sys_median	low_ridge_sys_p90	other_sys_median	other_sys_p90
3	3	0.1	1024	103	103	88	0.8543689320388349	0.7735400473827414	0.9097153181445274	10.3603515625	8.493920256386087	0.5065520942539815	0.16822188554688786	0.3383302087070936	0.4973296019786539	0.5831597698478437	0.1398435509523239	0.3720276347916294
3	4	0.1	1024	103	103	75	0.7281553398058253	0.6351914460583965	0.804712693390667	10.3603515625	7.239136582147234	0.5352671428927385	0.20948198676336063	0.32578515612937786	0.5268052467299652	0.6235209778312975	0.1842296288835382	0.43006114693539493
3	5	0.1	1024	103	103	70	0.6796116504854369	0.5844380253755113	0.761869488658858	10.3603515625	6.756527476670751	0.5896998508251361	0.24173501191657198	0.3479648389085641	0.5839119149510068	0.709690853723266	0.22374814994104283	0.47485905799218847
3	6	0.1	1024	103	103	72	0.6990291262135923	0.6046054631486112	0.7791407010516357	10.3603515625	6.9495711188613445	0.6127180090703832	0.2554051809272266	0.3573128281431566	0.6003659368010552	0.7100901254375117	0.2388266742198839	0.49939490423296395
4	4	0.1	1024	103	103	69	0.6699029126213593	0.5744179163258332	0.7531702726255971	10.3603515625	6.660005655575455	0.6077236250759993	0.2737546311331034	0.3339689939428959	0.607339646095888	0.7102021442635653	0.2709178585741194	0.5013258030651431
4	5	0.1	1024	103	103	64	0.6213592233009708	0.524918720000224	0.7090728435365118	10.3603515625	6.1773965500989725	0.6386137953893375	0.3118991920766009	0.3267146033127366	0.6568113632082964	0.7399192589684438	0.3102512325830229	0.563582700310916
4	6	0.1	1024	103	103	55	0.5339805825242718	0.43816142979955147	0.6273562079907344	10.3603515625	5.308700160241305	0.627842272424558	0.33967042517196083	0.2881718472525972	0.6342711814189368	0.745740198120639	0.3469907845795064	0.5785721022253401
5	5	0.1	1024	103	103	56	0.5436893203883495	0.4476593463255318	0.6365776165476932	10.3603515625	5.405221981336601	0.6548449164352815	0.3711288483246379	0.28371606811064365	0.6618745286231287	0.7644745873970571	0.3873503709929855	0.6068338654581256
5	6	0.1	1024	103	103	43	0.4174757281553398	0.3268873640675524	0.5139983727274672	10.3603515625	4.1504383070977475	0.6518867310691856	0.4170878428907991	0.2347988881783865	0.6521824427633814	0.7639877217013686	0.4378929816057761	0.6436447129111307
6	6	0.1	1024	103	103	45	0.4368932038834951	0.34508430443595695	0.5332400825249405	10.3603515625	4.34348194928834	0.6858459011601123	0.4539821659820195	0.23186373517809283	0.6911273931365216	0.7678002284484334	0.48361130349706904	0.6798317014039227
3	3	0.05	1024	52	52	22	0.4230769230769231	0.2986805208350091	0.5580567462609698	2.640625	8.331360946745562	0.5105828615422492	0.18575814145745562	0.3248247200847936	0.4972216754994686	0.59532256218221	0.1523974486996308	0.4072987857776366
3	4	0.05	1024	52	52	28	0.5384615384615384	0.4050361132695787	0.6665952531824317	2.640625	10.603550295857989	0.5648322036699598	0.2249939824446186	0.3398382212253412	0.5538866520843251	0.6581724482716429	0.19957070734803745	0.45794952087126517
3	5	0.05	1024	52	52	33	0.6346153846153846	0.49871678132017094	0.7519930012618661	2.640625	12.497041420118343	0.6261602036666561	0.25804187244803056	0.3681183312186256	0.6214263625808527	0.7403356238236309	0.2366207702079164	0.5065979255204436
3	6	0.05	1024	52	52	33	0.6346153846153846	0.49871678132017094	0.7519930012618661	2.640625	12.497041420118343	0.64881411555304	0.2722220088060361	0.37659210674700394	0.656711031155572	0.7602501949176788	0.25444363372163814	0.5305710961713317
4	4	0.05	1024	52	52	24	0.46153846153846156	0.3334047468175682	0.5949638867304212	2.640625	9.088757396449704	0.6337989634713774	0.28988271867891413	0.3439162447924633	0.6265878825763669	0.7205256598238583	0.29152354183370577	0.5366887130764021
4	5	0.05	1024	52	52	23	0.4423076923076923	0.3159505681940129	0.5766023821279712	2.640625	8.710059171597633	0.6484820059812789	0.3285136960047579	0.31996830997652104	0.6700239364854863	0.749708218903981	0.3250460341734148	0.5941407840367734
4	6	0.05	1024	52	52	21	0.40384615384615385	0.2815973387185887	0.5393242451513848	2.640625	7.952662721893491	0.6505416371366716	0.3535761836543194	0.29696545348235215	0.6555388616389937	0.7531654909706373	0.3607591850181052	0.601257620489393
5	5	0.05	1024	52	52	17	0.3269230769230769	0.21522074458569176	0.4624381063802606	2.640625	6.437869822485207	0.6544755991487761	0.3860349429465938	0.26844065620218227	0.6699169291162879	0.7772928284759205	0.4030823829796066	0.62672692668942
5	6	0.05	1024	52	52	9	0.17307692307692307	0.09382474391310205	0.29730864124480794	2.640625	3.408284023668639	0.6468139250471724	0.4296789223252049	0.2171350027219675	0.6529337152541559	0.7482981005091314	0.4559422014503045	0.6593200415769004
6	6	0.05	1024	52	52	10	0.19230769230769232	0.10796046024733508	0.3189886081365802	2.640625	3.78698224852071	0.6834012595663859	0.46627863908588424	0.21712262048050163	0.6876295853132628	0.7648862862372137	0.4984916673938255	0.6956954365663593
3	3	0.02	1024	21	21	1	0.047619047619047616	0.008455987809826399	0.22669360074122563	0.4306640625	2.3219954648526078	0.4982238365013181	0.19605635267229923	0.3021674838290188	0.493609113799672	0.521436318442587	0.15848847848927544	0.4350599752169094
3	4	0.02	1024	21	21	7	0.3333333333333333	0.17194752605083477	0.5462654802574476	0.4306640625	16.253968253968253	0.5814057707030323	0.23515045298329365	0.3462553177197387	0.5577968463553771	0.6979736364327247	0.21069535737524298	0.4792878923954608
3	5	0.02	1024	21	21	10	0.47619047619047616	0.2834400610153417	0.6763046541715557	0.4306640625	23.219954648526077	0.6612904478771695	0.2686838795660332	0.39260656831113633	0.6410432419027595	0.7409027829666064	0.2438363021945974	0.5216836083604327
3	6	0.02	1024	21	21	12	0.5714285714285714	0.3654655436930671	0.7553003107462404	0.4306640625	27.86394557823129	0.699264499986504	0.28280515659871247	0.4164593433877915	0.6774677358868522	0.7865825197120293	0.26267167097969557	0.5507208230819468
4	4	0.02	1024	21	21	6	0.2857142857142857	0.1381386295212213	0.49956380716085597	0.4306640625	13.931972789115646	0.6477809106502623	0.3002194910595819	0.34756141959068043	0.6451010673554178	0.7096487953247098	0.30281349402707874	0.5550445973271491
4	5	0.02	1024	21	21	4	0.19047619047619047	0.07667565052761793	0.40000564690204926	0.4306640625	9.287981859410431	0.6661264971365652	0.33803361952919575	0.3280928776073695	0.671067900704563	0.7342045402331973	0.33119637415772674	0.6106182130004484
