population	source	proxy	band	fraction	n	effective_n	baseline_n	mean_proxy	mean_sys	mean_sys_ci95	baseline_mean_sys	contrast_vs_baseline	adjacent_hardening_contrast	adjacent_hardening_ci95	high_sys_threshold	high_sys_exceedances	high_sys_exceedance_rate	high_sys_wilson95	censoring
generic_f10	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.05	0.05	26	26	512	0.36013780034597281	0.58293493584624467	[0.54989535606114104,0.61601146692955555]	0.35863440634649307	0.2243005294997516			0.59494241954575178	11	0.42307692307692307	[0.25544443313656562,0.6105138625340828]	none within retained rows
generic_f10	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.1	0.1	52	52	512	0.37255676234573148	0.59727737454373353	[0.5727950385681716,0.62239436142935145]	0.35863440634649307	0.23864296819724046	0.014342438697488857	[-0.026506523411916394,0.056525423485893178]	0.59494241954575178	24	0.46153846153846156	[0.33340474681756821,0.59496388673042122]	none within retained rows
generic_f10	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.2	0.2	103	103	512	0.38946264311167778	0.57008205881108653	[0.54992206238753449,0.5900251523599418]	0.35863440634649307	0.21144765246459346	-0.027195315732646996	[-0.059385641588552529,0.0042862652086296249]	0.59494241954575178	41	0.39805825242718446	[0.3088339434875273,0.49461314314161459]	none within retained rows
product_5x5	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.01	0.01	11	11	1024	0.2689993055862509	0.65012179563974726	[0.59934898166530726,0.6978548245779711]	0.39966669501936081	0.25045510062038645			0.59494241954575178	8	0.72727272727272729	[0.43435469882387084,0.902539407099751]	none within retained rows
product_5x5	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.05	0.05	52	52	1024	0.28465500895539753	0.65447559914877607	[0.62964739807032644,0.67863868706314812]	0.39966669501936081	0.25480890412941526	0.0043538035090288085	[-0.050340309042762654,0.061122847286730009]	0.59494241954575178	39	0.75	[0.61793542057402651,0.84766846136404228]	none within retained rows
product_5x5	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.1	0.1	103	103	1024	0.29278254448808788	0.65484491643528153	[0.63836432326705483,0.67127824934232871]	0.39966669501936081	0.25517822141592073	0.00036931728650546614	[-0.029411655139574,0.029868497739797273]	0.59494241954575178	79	0.76699029126213591	[0.6766575236750112,0.83812391610580783]	none within retained rows
product_5x5	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.2	0.2	205	205	1024	0.30464199313030998	0.63305552749264915	[0.62014251467959491,0.64593140783131964]	0.39966669501936081	0.23338883247328834	-0.021789388942632382	[-0.042497998577026741,-0.00087935279826345525]	0.59494241954575178	138	0.67317073170731712	[0.60629022696217616,0.73368058343595832]	none within retained rows
product_4x6	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.01	0.01	11	11	1024	0.29189252163767332	0.63379882660316456	[0.59272236101462683,0.67616587306864095]	0.36865646058897011	0.26514236601419444			0.59494241954575178	8	0.72727272727272729	[0.43435469882387084,0.902539407099751]	none within retained rows
product_4x6	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.05	0.05	52	52	1024	0.30415688821193565	0.65054163713667157	[0.62517379770779802,0.67527660435021919]	0.36865646058897011	0.28188517654770145	0.016742810533507013	[-0.031723019309762512,0.06410740822116201]	0.59494241954575178	37	0.71153846153846156	[0.57727211963315739,0.81670039585290088]	none within retained rows
product_4x6	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.1	0.1	103	103	1024	0.31352352631408326	0.62784227242455803	[0.60875554836004464,0.64659538035690056]	0.36865646058897011	0.25918581183558792	-0.022699364712113534	[-0.053625232799833444,0.0090137604017866968]	0.59494241954575178	68	0.66019417475728159	[0.56443894901316161,0.74442991485532994]	none within retained rows
product_4x6	retained_full_target	ridge_symp_area_mean_over_volume_sqrt	0-0.2	0.2	205	205	1024	0.32475791753383665	0.60702870375047768	[0.59442592553649953,0.61966576527193939]	0.36865646058897011	0.23837224316150757	-0.020813568674080352	[-0.043457763974144359,0.0024089870782852962]	0.59494241954575178	111	0.54146341463414638	[0.4731175009550031,0.60828396068962065]	none within retained rows
