selection	fraction	group	n	spearman	R_min	R_max	sys_min	sys_max
high_sys	1.0	G05	512	-0.9817019897060001	13.481015904770645	705.0364248073596	0.00031794754526907963	0.714410363898728
high_sys	1.0	G06	512	-0.9743669247319211	13.465125318730331	422.3664400772846	0.0007178417111975786	0.6908550887351059
high_sys	1.0	G07	512	-0.9614289719733122	11.924671717770792	365.93063190388403	0.0007774649952312588	0.7458522392903429
high_sys	1.0	G08	512	-0.9489128428949085	11.007140400814665	8866.989383772458	2.0327844013814595e-06	0.7448532509168573
high_sys	1.0	G09	512	-0.933354004302995	13.008757432593988	380.49499683089334	0.0007479595851122088	0.7811353314855473
high_sys	1.0	G10	512	-0.9032457356290269	11.894197244832187	135.27044990613805	0.0046854202529284916	0.8595596058028344
high_sys	1.0	G11	512	-0.8644884721793067	11.872415245017677	214.14655738639325	0.0025336082365968408	0.7835927061265431
high_sys	1.0	G12	512	-0.840943772816745	12.475394166668492	1523.0636892599393	6.889885865753428e-05	0.8247662746241669
high_sys	1.0	P3x3	1024	-0.997102339782562	12.206403909027228	816.7788186584879	0.00019185378973742608	0.6464199674959318
high_sys	1.0	P3x4	1024	-0.9837245860453471	11.76521412117614	608.893882958905	0.00023580152631749206	0.7119073397957835
high_sys	1.0	P3x5	1024	-0.9751292714219297	11.10919623389961	3055.0194369665473	1.3619216643341758e-05	0.7650778325167292
high_sys	1.0	P3x6	1024	-0.9745203199878405	10.769324413781826	1829.6540870172107	2.9797217476647493e-05	0.8073487367323776
high_sys	1.0	P4x4	1024	-0.967814500482798	9.789933856974514	431.5570247287469	0.0006529850395571487	0.8141002333029529
high_sys	1.0	P4x5	1024	-0.9589219521135827	9.513616925654807	291.68742427359933	0.0010676457371832514	0.8381244889295797
high_sys	1.0	P4x6	1024	-0.9406243741506328	9.584511899485836	1152.282127009701	9.601533052329054e-05	0.8292665551981732
high_sys	1.0	P5x5	1024	-0.928933932658608	8.925917889909165	232.62988692975125	0.0014871974285491458	0.8437955079134134
high_sys	1.0	P5x6	1024	-0.9076726897217653	9.183382712781459	263.7615689651137	0.0014421949035220163	0.86258589584944
high_sys	1.0	P6x6	1024	-0.87767912702954	9.070259628314721	185.62985487952153	0.002305048917497889	0.8536118881702471
high_sys	0.5	G05	256	-0.8999806878004118	13.481015904770645	36.62580373607846	0.10243311779078487	0.714410363898728
high_sys	0.5	G06	256	-0.886731803616388	13.465125318730331	31.980070017034745	0.15237829536612757	0.6908550887351059
high_sys	0.5	G07	256	-0.8080102712291141	11.924671717770792	27.43472455653645	0.2076350238225059	0.7458522392903429
high_sys	0.5	G08	256	-0.7424145971618218	11.007140400814665	25.985365918062715	0.22200092524773754	0.7448532509168573
high_sys	0.5	G09	256	-0.6785734721904325	13.008757432593988	23.49029314135332	0.2960330068502777	0.7811353314855473
high_sys	0.5	G10	256	-0.6245622568093383	11.894197244832187	21.46299809790006	0.3556466585889467	0.8595596058028344
high_sys	0.5	G11	256	-0.5855444609750514	11.872415245017677	20.809238910141506	0.37563433495878495	0.7835927061265431
high_sys	0.5	G12	256	-0.4839851796749828	12.475394166668492	18.823159392592768	0.43198512427116453	0.8247662746241669
high_sys	0.5	P3x3	512	-0.9773826332383468	12.206403909027228	27.770366831472202	0.16508491379120535	0.6464199674959318
high_sys	0.5	P3x4	512	-0.9177984737814857	11.76521412117614	23.965005152205094	0.2173514270963484	0.7119073397957835
high_sys	0.5	P3x5	512	-0.8837991096462617	11.10919623389961	21.635123020978313	0.25340339161597214	0.7650778325167292
high_sys	0.5	P3x6	512	-0.8836553426946361	10.769324413781826	20.189733718999655	0.2708146590459038	0.8073487367323776
high_sys	0.5	P4x4	512	-0.823095749505041	9.789933856974514	18.88688779706419	0.30845067964233264	0.8141002333029529
high_sys	0.5	P4x5	512	-0.7956098865886176	9.513616925654807	17.766080405661974	0.33514814154675626	0.8381244889295797
high_sys	0.5	P4x6	512	-0.7322750905517218	9.584511899485836	16.646846547151615	0.37283806726309127	0.8292665551981732
high_sys	0.5	P5x5	512	-0.6845006530309792	8.925917889909165	15.666688224282202	0.4129375734590485	0.8437955079134134
high_sys	0.5	P5x6	512	-0.5772215391503874	9.183382712781459	14.081778031665385	0.47005929225913434	0.86258589584944
high_sys	0.5	P6x6	512	-0.4893884254014031	9.070259628314721	14.170707967652902	0.5124094076899016	0.8536118881702471
high_sys	0.2	G05	103	-0.727935685103018	13.481015904770645	24.137335829070096	0.25442605424801323	0.714410363898728
high_sys	0.2	G06	103	-0.657119008917981	13.465125318730331	22.76507409879438	0.30091065425300384	0.6908550887351059
