selection	fraction	n	pooled_spearman	mean_group_spearman	median_group_spearman	negative_groups	groups	min_group_spearman	max_group_spearman
high_sys	1.0	14336	-0.9440234832139277	-0.9400314337571568	-0.9539173975042456	18	18	-0.997102339782562	-0.840943772816745
high_sys	0.5	7168	-0.7585409157053973	-0.7485849796136902	-0.7690122418752197	18	18	-0.9773826332383468	-0.4839851796749828
high_sys	0.2	2874	-0.49610924873057916	-0.4873934957444729	-0.4421539340157273	18	18	-0.7595004944909528	-0.21236227382262401
high_sys	0.1	1446	-0.2864220228814461	-0.28804906422952176	-0.3411565980542738	17	18	-0.5876312436849273	0.017440583402890657
high_sys	0.05	728	-0.23904702161582897	-0.22915247698821503	-0.2593926975724978	16	18	-0.5788034188034188	0.15076923076923074
high_sys	0.02	298	-0.1167570095155081	-0.07770562770562771	-0.05454545454545454	10	18	-0.6636363636363638	0.6818181818181819
high_sys	0.01	158	-0.036431715368626966	-0.023737373737373745	-0.1668831168831169	13	18	-0.48571428571428577	0.942857142857143
low_R	1.0	14336	-0.9440234832139277	-0.9400314337571568	-0.9539173975042456	18	18	-0.997102339782562	-0.840943772816745
low_R	0.5	7168	-0.7457724545022204	-0.7365121127492019	-0.7635568614335835	18	18	-0.9773837061260457	-0.4496143326352411
low_R	0.2	2874	-0.433798464434917	-0.41815067824491003	-0.3846428414532356	18	18	-0.7675558217603877	-0.05434257347449809
low_R	0.1	1446	-0.2215426132267311	-0.21174212565519956	-0.14044721697491544	15	18	-0.6012498352589729	0.06489698194438343
low_R	0.05	728	-0.11271073472908336	-0.11835029770656849	-0.08820569737328893	11	18	-0.5534875779048919	0.18415435840519082
low_R	0.02	298	0.01915676981186896	0.007792207792207777	0.06753246753246754	7	18	-0.6558441558441558	0.34935064935064936
low_R	0.01	158	0.035484166768553614	0.023232323232323257	-0.05194805194805196	10	18	-0.790909090909091	0.942857142857143
