selection	fraction	group	selected_ids_sha256
high_sys	1.0	G05	534a4853440ebba1334837a46169d9f0e1914419752ddaeab17c9c35411eb6ec
high_sys	1.0	G06	ffb239d2f657962f462fea1a291ed3fbb896365fe811f548b2a9a7e3bf4da12f
high_sys	1.0	G07	0aa7af1053b2da95167908585b162e6cb6c6e1452f714770534ff5989b3229fd
high_sys	1.0	G08	efc8458fa81ebed5ceea4907251ada3d41f58e0dcf78973a05fe94a2ce45c6fe
high_sys	1.0	G09	74a5a92e88a3c07553303831b437d6cffada002a512d8071d8a76514cf78a509
high_sys	1.0	G10	6c9456f33dbee71e992df05e17b13923b722fd7bcd01ab439b5706c610ce807e
high_sys	1.0	G11	e3c1dc7522169e8b931bf174b0bddf638c49e734a4e918e33a86f09e806d35f1
high_sys	1.0	G12	4a02de854af2d94be79e290d2f36dfde50ef03684596aa51ed8236eca7ba483a
high_sys	1.0	P3x3	cbfbf860bfbc07786ecbc40ca65b66d55e842c65007062e32b7c97768dc3beb4
high_sys	1.0	P3x4	0039478aba77372b03dae9fc6dca7ce34dd0c248d5635a043d1b8c560f529f9a
high_sys	1.0	P3x5	40911b964664e5e87b8c4410f9999906863b2d241849d16d8487d0798307147c
high_sys	1.0	P3x6	6f333756a2b7518b5ee2ca267e927026fe88b3fa1907c13b26f5672200bf13f9
high_sys	1.0	P4x4	f12783c6325d5fe6318f076d0ed44ae48ac0192cffc1d779f6c6134eb0259aee
high_sys	1.0	P4x5	2a792859a689e12f328037ea708eac7aa690fdf42bb9ef4cd98b0fd1d0a2f9c8
high_sys	1.0	P4x6	4966ef8e2fd690a9716643fa48b7df5eff57118eaedc9ef64e0fd90f8b98248e
high_sys	1.0	P5x5	dc80f56aa9f9848c3b37d6c3d4296e58ab6f2f1c9c8d5faf30b3e22c2fefe821
high_sys	1.0	P5x6	beb38101d8816167397f5be37c54eca4345f7ec1638ea48d7931451b58a94d46
high_sys	1.0	P6x6	d919457c1433cc0f390e1b00efd9c9690a472b527cf966d45b2c68a4d92b2cdb
high_sys	0.5	G05	c7d4bbba8e91925cfb8e7ee3feaa05a98ec41c8a91129b02c0c1979d753b5571
high_sys	0.5	G06	bf88f3d209330fb01a92759dabcd170214c935ab35c10d3a0e4ec8e9b492fe16
high_sys	0.5	G07	0ab04454539d82a9e9c9de72f96679fdd5bc8457dfe26c673b4bd240e9a412fe
high_sys	0.5	G08	00f4262e5f3bc0e2078d3b0e8e3aa48c2f5269c7d4c26570feaa476e05675874
high_sys	0.5	G09	db46d4b64095bbdc39fc0881a275d2e054b9db53819098f1764276ca56656b87
high_sys	0.5	G10	7b392c855c5c70a5fa2688fa08424f427e68aab7e685286d5766d9c543eb14b7
high_sys	0.5	G11	0de9660a8ae50c3584709270d5e3687a5df8a633bd60665a03bd3d61a22f9f32
high_sys	0.5	G12	d347dbd71ecd20682e3efd5626a3f443c645946a60a5d835c6e7b9530e64245a
high_sys	0.5	P3x3	da391f5fb9a64b17954e92b741d290d0b30156990ffe5b11a12f4e336eef3baf
high_sys	0.5	P3x4	2725facffa76d2c92b26b67e2dd4cbee56129f956c139dcd15dbcc932c4c2a31
high_sys	0.5	P3x5	686ac114725dcb0c470df482dfc93924a4be85f88c6ce6e1b89f903125f5c1a6
high_sys	0.5	P3x6	a872e549eb82764e96f5f51f774564dbf6b6c239b1959205a574221f8994a25b
high_sys	0.5	P4x4	1f3f3e260587a08e8ada736a391e251b375a2b8087762687df9caed97088bc1b
high_sys	0.5	P4x5	5fc6c0e0d98ae2b4e43379f25e08b026800a61b13dea7b7b63505956168a52fb
high_sys	0.5	P4x6	a49a15c5c4e5a21dd3e1ee131ed3a557229c70e88db717d626ec6133c123d967
high_sys	0.5	P5x5	58571d9929ba6d859598f26a4eeb78bec692e2a14397587ca9b2c64656d98f0c
high_sys	0.5	P5x6	97ee391ca16e7a4ee67550fe78594854978168bc37a36513b9c80ae96fd7ef48
