selection	fraction	group	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
high_sys	1.0	G05	512	-0.9817019897060001	-0.9811085999280449	-0.9811667081516577	-0.9847854421298681	-0.976994643518757	False	False
high_sys	0.5	G05	256	-0.8999806878004118	-0.9385023260471503	-0.9389305333028153	-0.9546201934081026	-0.9186115064946212	True	False
high_sys	0.2	G05	103	-0.727935685103018	-0.8887787308351272	-0.8917706365593288	-0.9296822145587137	-0.834549213636164	True	False
high_sys	0.1	G05	52	-0.4316571330999744	-0.8540315034576965	-0.860368820968155	-0.9251323315973704	-0.7426662682489542	True	False
high_sys	0.05	G05	26	-0.5788034188034188	-0.8186030769230769	-0.8314529914529915	-0.9323247863247863	-0.6389230769230769	True	False
high_sys	0.02	G05	11	-0.6636363636363638	-0.7600454545454545	-0.8	-0.9636363636363636	-0.35454545454545455	False	False
high_sys	0.01	G05	6	-0.2571428571428572	-0.7084000000000001	-0.7714285714285715	-1.0	-0.02857142857142857	False	False
low_R	1.0	G05	512	-0.9817019897060001	-0.9811085999280449	-0.9811667081516577	-0.9847854421298681	-0.976994643518757	False	False
low_R	0.5	G05	256	-0.8990043488212405	-0.9385129406042572	-0.9386451419089037	-0.9551463972018769	-0.9188652294575418	True	False
low_R	0.2	G05	103	-0.6230615472477266	-0.8891239511487942	-0.8917871106620393	-0.9314589465360453	-0.8364744871062689	True	False
low_R	0.1	G05	52	-0.3794074959446768	-0.8546700247588149	-0.860624946640485	-0.9264172287202254	-0.7498356526935883	True	False
low_R	0.05	G05	26	-0.28136752136752136	-0.8173770940170939	-0.8324786324786325	-0.9336752136752137	-0.6307350427350428	True	False
low_R	0.02	G05	11	0.3454545454545455	-0.7648727272727271	-0.8	-0.9636363636363636	-0.4088636363636366	True	False
low_R	0.01	G05	6	0.942857142857143	-0.7069714285714286	-0.7714285714285715	-1.0	-0.02857142857142857	True	False
high_sys	1.0	G06	512	-0.9743669247319211	-0.9736768354068677	-0.973863606290269	-0.9788623063080074	-0.9679203292370482	False	False
high_sys	0.5	G06	256	-0.886731803616388	-0.9178843864442665	-0.9184925040054932	-0.9390692235065233	-0.8919837384126802	True	False
high_sys	0.2	G06	103	-0.657119008917981	-0.857349218029258	-0.8603709967930413	-0.9123920946272459	-0.7834012432456179	True	False
high_sys	0.1	G06	52	-0.3652352087424229	-0.8163102535644156	-0.823230598480321	-0.9034576965764535	-0.6839110390164774	True	False
high_sys	0.05	G06	26	-0.02222222222222222	-0.773414017094017	-0.79008547008547	-0.9083931623931624	-0.5519316239316242	True	False
high_sys	0.02	G06	11	0.29090909090909095	-0.7152727272727273	-0.7454545454545455	-0.9545454545454546	-0.3181818181818182	True	False
high_sys	0.01	G06	6	-0.14285714285714288	-0.6628	-0.7714285714285715	-1.0	0.08571428571428572	False	False
low_R	1.0	G06	512	-0.9743669247319211	-0.9736768354068677	-0.973863606290269	-0.9788623063080074	-0.9679203292370482	False	False
low_R	0.5	G06	256	-0.8806091210803386	-0.9179226775291829	-0.9187700274662394	-0.9385132646200504	-0.8932281772144656	True	False
low_R	0.2	G06	103	-0.6410183192022142	-0.8569393643192901	-0.8596186794359267	-0.9091961187014014	-0.7875126301454115	True	False
low_R	0.1	G06	52	-0.43908477759754116	-0.8159422863485017	-0.8228890975838812	-0.9025036284470246	-0.6825471698113208	True	False
low_R	0.05	G06	26	-0.2704273504273504	-0.7727767521367521	-0.7914529914529914	-0.9118119658119659	-0.5642564102564104	True	False
low_R	0.02	G06	11	-0.10909090909090911	-0.7152363636363637	-0.7545454545454545	-0.9454545454545454	-0.23613636363636384	True	False
low_R	0.01	G06	6	0.028571428571428574	-0.6710857142857144	-0.7714285714285715	-1.0	0.08571428571428572	False	False
high_sys	1.0	G07	512	-0.9614289719733122	-0.9607004548507397	-0.9610141667668028	-0.9680929345159417	-0.951648543358253	False	False
