selection	fraction	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
high_sys	1.0	14336	-0.9440234832139277	-0.9435144107442911	-0.9435282534434788	-0.9460886998745356	-0.940923752175972	False	False
high_sys	0.5	7168	-0.7585409157053973	-0.8540566220889318	-0.854057597555507	-0.8616303285984395	-0.8451460304158108	True	False
high_sys	0.2	2874	-0.49610924873057916	-0.7775831798807838	-0.7774331632160926	-0.7957609897225183	-0.7615568423387236	True	False
high_sys	0.1	1446	-0.2864220228814461	-0.7333071344293136	-0.7331254709177368	-0.7613194585106093	-0.7058469744746988	True	False
high_sys	0.05	728	-0.23904702161582897	-0.6946328889934394	-0.6953183129024108	-0.7378783641321868	-0.6486836648457444	True	False
high_sys	0.02	298	-0.1167570095155081	-0.637117770756156	-0.6391316190891261	-0.7086124427979952	-0.5579938439747222	True	False
high_sys	0.01	158	-0.036431715368626966	-0.5889984839222397	-0.5923340261645678	-0.7009860618657537	-0.4574348942413498	True	False
low_R	1.0	14336	-0.9440234832139277	-0.9435144107442911	-0.9435282534434788	-0.9460886998745356	-0.940923752175972	False	False
low_R	0.5	7168	-0.7457724545022204	-0.8540751978284513	-0.8541037413490138	-0.8612133582279397	-0.8457753077384178	True	False
low_R	0.2	2874	-0.433798464434917	-0.7777047955609416	-0.7776601361253901	-0.7955567838133372	-0.760721479445255	True	False
low_R	0.1	1446	-0.2215426132267311	-0.7334628876893924	-0.7341513488049275	-0.7604419471967557	-0.7022228444410885	True	False
low_R	0.05	728	-0.11271073472908336	-0.6946579976824626	-0.696056265628131	-0.73583130766617	-0.6468462540404436	True	False
low_R	0.02	298	0.01915676981186896	-0.6379283395075179	-0.6375853490230261	-0.7089712264836202	-0.5637444727427908	True	False
low_R	0.01	158	0.035484166768553614	-0.5904567031421935	-0.5912871377919061	-0.6983787749113584	-0.47130662367037535	True	False
