group	n	observed_full_spearman	gaussian_pearson
G05	512	-0.9817019897060001	-0.9833598984885366
G06	512	-0.9743669247319211	-0.9766640038387834
G07	512	-0.9614289719733122	-0.9648183976822207
G08	512	-0.9489128428949085	-0.9533168605731515
G09	512	-0.933354004302995	-0.9389622383202694
G10	512	-0.9032457356290269	-0.9110081524174365
G11	512	-0.8644884721793067	-0.8746915746561438
G12	512	-0.840943772816745	-0.8524527347019984
P3x3	1024	-0.997102339782562	-0.9973709629132168
P3x4	1024	-0.9837245860453471	-0.9852037007013211
P3x5	1024	-0.9751292714219297	-0.9773605929098287
P3x6	1024	-0.9745203199878405	-0.9768041802133964
P4x4	1024	-0.967814500482798	-0.9706703658640213
P4x5	1024	-0.9589219521135827	-0.9625179066419791
P4x6	1024	-0.9406243741506328	-0.9456777133876073
P5x5	1024	-0.928933932658608	-0.9348728617538123
P5x6	1024	-0.9076726897217653	-0.9151327317333403
P6x6	1024	-0.87767912702954	-0.8870927532506077
