feature_set	families	feature_count	model	task	train_rows	test_rows	r2	mae	tail_cutoff_from_train	train_tail_positive_rows	test_tail_positive_rows	roc_auc	average_precision	top_score_fraction	selected_rows	tail_positive_rows	tail_base_rate	top_score_tail_precision	top_score_tail_recall	top_score_tail_enrichment	top_score_max_sys	top_score_mean_sys
all_invariant	combinatorial_counts,ridge_symp_area	45	all_invariant:hist_gradient_boosting_regression	regression	8704	5632	0.8784238138483205	0.05203365520874717						0.1	564	1074	0.19069602272727273	0.7269503546099291	0.3817504655493482	3.812089755272924	0.8536118881702471	0.6329487947363434
all_invariant	combinatorial_counts,ridge_symp_area	45	all_invariant:hist_gradient_boosting_high_tail	high_tail_classification	8704	5632			0.5697652833472453	871	1074	0.9359727673037687	0.7034314626146508	0.1	564	1074	0.19069602272727273	0.7411347517730497	0.3891992551210428	3.8864719944002006	0.8536118881702471	0.6333365110845092
combinatorial_counts_only	combinatorial_counts	27	combinatorial_counts_only:hist_gradient_boosting_regression	regression	8704	5632	0.04314696727456602	0.16843623607231545						0.1	564	1074	0.19069602272727273	0.2198581560283688	0.1154562383612663	1.1529247064727868	0.8437955079134134	0.40071971180117366
combinatorial_counts_only	combinatorial_counts	27	combinatorial_counts_only:hist_gradient_boosting_high_tail	high_tail_classification	8704	5632			0.5697652833472453	871	1074	0.4916941624728412	0.19185015669933783	0.1	564	1074	0.19069602272727273	0.16489361702127658	0.08659217877094973	0.86469352985459	0.8292665551981732	0.36724168055170825
ridge_symp_area_only	ridge_symp_area	18	ridge_symp_area_only:hist_gradient_boosting_regression	regression	8704	5632	0.8872276246501958	0.050061103817278484						0.1	564	1074	0.19069602272727273	0.7340425531914894	0.3854748603351955	3.849280874836562	0.8536118881702471	0.6305818081983525
ridge_symp_area_only	ridge_symp_area	18	ridge_symp_area_only:hist_gradient_boosting_high_tail	high_tail_classification	8704	5632			0.5697652833472453	871	1074	0.934703588672545	0.7054296104152254	0.1	564	1074	0.19069602272727273	0.7393617021276596	0.388268156424581	3.8771742145092913	0.8536118881702471	0.634051188032709
without_combinatorial_counts	ridge_symp_area	18	without_combinatorial_counts:hist_gradient_boosting_regression	regression	8704	5632	0.8872276246501958	0.050061103817278484						0.1	564	1074	0.19069602272727273	0.7340425531914894	0.3854748603351955	3.849280874836562	0.8536118881702471	0.6305818081983525
without_combinatorial_counts	ridge_symp_area	18	without_combinatorial_counts:hist_gradient_boosting_high_tail	high_tail_classification	8704	5632			0.5697652833472453	871	1074	0.934703588672545	0.7054296104152254	0.1	564	1074	0.19069602272727273	0.7393617021276596	0.388268156424581	3.8771742145092913	0.8536118881702471	0.634051188032709
without_ridge_symp_area	combinatorial_counts	27	without_ridge_symp_area:hist_gradient_boosting_regression	regression	8704	5632	0.04314696727456602	0.16843623607231545						0.1	564	1074	0.19069602272727273	0.2198581560283688	0.1154562383612663	1.1529247064727868	0.8437955079134134	0.40071971180117366
without_ridge_symp_area	combinatorial_counts	27	without_ridge_symp_area:hist_gradient_boosting_high_tail	high_tail_classification	8704	5632			0.5697652833472453	871	1074	0.4916941624728412	0.19185015669933783	0.1	564	1074	0.19069602272727273	0.16489361702127658	0.08659217877094973	0.86469352985459	0.8292665551981732	0.36724168055170825
