model	rank	feature	family	coefficient	abs_coefficient
lasso_regression_alpha_1e-3	1	ridge_symp_area_normalized_entropy	ridge_symp_area	0.1584317314767583	0.1584317314767583
lasso_regression_alpha_1e-3	2	ridge_symp_area_le_1em1_over_volume_sqrt_fraction	ridge_symp_area	0.09262187805509255	0.09262187805509255
lasso_regression_alpha_1e-3	3	ridge_symp_area_sum_over_volume_sqrt	ridge_symp_area	-0.09222195950508556	0.09222195950508556
lasso_regression_alpha_1e-3	4	ridge_symp_area_std_over_volume_sqrt	ridge_symp_area	0.09107368068631683	0.09107368068631683
lasso_regression_alpha_1e-3	5	ridge_symp_area_effective_face_count	ridge_symp_area	0.06640234378361975	0.06640234378361975
lasso_regression_alpha_1e-3	6	ridge_symp_area_top3_share	ridge_symp_area	0.037339641528366156	0.037339641528366156
lasso_regression_alpha_1e-3	7	facet_vertex_count_mean	combinatorial_counts	-0.0333780530464139	0.0333780530464139
lasso_regression_alpha_1e-3	8	ridge_symp_area_q25_over_volume_sqrt	ridge_symp_area	-0.029803418607945536	0.029803418607945536
lasso_regression_alpha_1e-3	9	ridge_size_min	combinatorial_counts	0.025143588545577193	0.025143588545577193
lasso_regression_alpha_1e-3	10	ridge_symp_area_median_over_volume_sqrt	ridge_symp_area	-0.01773901590515422	0.01773901590515422
lasso_regression_alpha_1e-3	11	ridge_symp_area_max_share	ridge_symp_area	-0.013381610562063929	0.013381610562063929
lasso_regression_alpha_1e-3	12	ridge_symp_area_q75_over_volume_sqrt	ridge_symp_area	-0.008829104744764409	0.008829104744764409
lasso_regression_alpha_1e-3	13	ridge_size_mean	combinatorial_counts	-0.00813054108095347	0.00813054108095347
lasso_regression_alpha_1e-3	14	ridge_symp_area_le_1em2_over_volume_sqrt_fraction	ridge_symp_area	0.005029595202934081	0.005029595202934081
lasso_regression_alpha_1e-3	15	ridge_size_std	combinatorial_counts	-0.004535857702400784	0.004535857702400784
lasso_regression_alpha_1e-3	16	facet_neighbor_count_mean	combinatorial_counts	-0.0030477941977570112	0.0030477941977570112
lasso_regression_alpha_1e-3	17	ridge_symp_area_entropy	ridge_symp_area	0.0	0.0
lasso_regression_alpha_1e-3	18	ridge_symp_area_q95_over_volume_sqrt	ridge_symp_area	0.0	0.0
lasso_regression_alpha_1e-3	19	ridge_symp_area_q90_over_volume_sqrt	ridge_symp_area	0.0	0.0
lasso_regression_alpha_1e-3	20	ridge_symp_area_le_1em3_over_volume_sqrt_fraction	ridge_symp_area	0.0	0.0
elastic_net_regression_alpha_1e-3_l1_0.5	1	ridge_symp_area_normalized_entropy	ridge_symp_area	0.17542448900994329	0.17542448900994329
elastic_net_regression_alpha_1e-3_l1_0.5	2	ridge_symp_area_sum_over_volume_sqrt	ridge_symp_area	-0.13804542031763978	0.13804542031763978
elastic_net_regression_alpha_1e-3_l1_0.5	3	ridge_symp_area_std_over_volume_sqrt	ridge_symp_area	0.13322591431478725	0.13322591431478725
elastic_net_regression_alpha_1e-3_l1_0.5	4	ridge_symp_area_le_1em1_over_volume_sqrt_fraction	ridge_symp_area	0.10341176804720062	0.10341176804720062
elastic_net_regression_alpha_1e-3_l1_0.5	5	ridge_symp_area_effective_face_count	ridge_symp_area	0.07763030015141514	0.07763030015141514
elastic_net_regression_alpha_1e-3_l1_0.5	6	ridge_symp_area_top3_share	ridge_symp_area	0.06574160897331363	0.06574160897331363
elastic_net_regression_alpha_1e-3_l1_0.5	7	ridge_symp_area_q25_over_volume_sqrt	ridge_symp_area	-0.03018210677155128	0.03018210677155128
elastic_net_regression_alpha_1e-3_l1_0.5	8	ridge_size_min	combinatorial_counts	0.03013440415765734	0.03013440415765734
elastic_net_regression_alpha_1e-3_l1_0.5	9	ridge_symp_area_max_share	ridge_symp_area	-0.02079703783314504	0.02079703783314504
elastic_net_regression_alpha_1e-3_l1_0.5	10	ridge_symp_area_median_over_volume_sqrt	ridge_symp_area	-0.01834947245535055	0.01834947245535055
elastic_net_regression_alpha_1e-3_l1_0.5	11	vertex_count	combinatorial_counts	-0.018123044054229667	0.018123044054229667
elastic_net_regression_alpha_1e-3_l1_0.5	12	facet_vertex_count_max	combinatorial_counts	-0.010321653718089917	0.010321653718089917
elastic_net_regression_alpha_1e-3_l1_0.5	13	facet_neighbor_count_std	combinatorial_counts	0.009754223562962988	0.009754223562962988
elastic_net_regression_alpha_1e-3_l1_0.5	14	edge_density	combinatorial_counts	0.008879917230307934	0.008879917230307934
elastic_net_regression_alpha_1e-3_l1_0.5	15	edge_count	combinatorial_counts	-0.008839869101556175	0.008839869101556175
elastic_net_regression_alpha_1e-3_l1_0.5	16	facet_vertex_count_std	combinatorial_counts	0.008160919328572441	0.008160919328572441
elastic_net_regression_alpha_1e-3_l1_0.5	17	ridge_symp_area_q75_over_volume_sqrt	ridge_symp_area	-0.008095984834603153	0.008095984834603153
elastic_net_regression_alpha_1e-3_l1_0.5	18	facet_neighbor_count_max	combinatorial_counts	-0.007246224587981542	0.007246224587981542
elastic_net_regression_alpha_1e-3_l1_0.5	19	ridge_symp_area_le_1em2_over_volume_sqrt_fraction	ridge_symp_area	0.004265299690058205	0.004265299690058205
elastic_net_regression_alpha_1e-3_l1_0.5	20	facet_neighbor_count_mean	combinatorial_counts	-0.004221567250200976	0.004221567250200976
elastic_net_logistic_high_tail	1	ridge_symp_area_le_1em1_over_volume_sqrt_fraction	ridge_symp_area	1.5876188503225226	1.5876188503225226
elastic_net_logistic_high_tail	2	ridge_symp_area_normalized_entropy	ridge_symp_area	1.518832847122136	1.518832847122136
elastic_net_logistic_high_tail	3	ridge_symp_area_median_over_volume_sqrt	ridge_symp_area	-1.1169436090009979	1.1169436090009979
elastic_net_logistic_high_tail	4	ridge_symp_area_q75_over_volume_sqrt	ridge_symp_area	-0.9615766638496055	0.9615766638496055
elastic_net_logistic_high_tail	5	ridge_symp_area_sum_over_volume_sqrt	ridge_symp_area	-0.8720225565625179	0.8720225565625179
elastic_net_logistic_high_tail	6	ridge_symp_area_top3_share	ridge_symp_area	-0.7026051085771263	0.7026051085771263
elastic_net_logistic_high_tail	7	ridge_symp_area_entropy	ridge_symp_area	0.6931861826905773	0.6931861826905773
elastic_net_logistic_high_tail	8	ridge_symp_area_q25_over_volume_sqrt	ridge_symp_area	-0.6621350629883671	0.6621350629883671
elastic_net_logistic_high_tail	9	ridge_symp_area_max_share	ridge_symp_area	-0.6520013421555867	0.6520013421555867
elastic_net_logistic_high_tail	10	edge_density	combinatorial_counts	0.643886700458472	0.643886700458472
elastic_net_logistic_high_tail	11	ridge_symp_area_mean_over_volume_sqrt	ridge_symp_area	-0.635526142168154	0.635526142168154
elastic_net_logistic_high_tail	12	ridge_size_mean	combinatorial_counts	-0.5372253789801229	0.5372253789801229
elastic_net_logistic_high_tail	13	ridge_symp_area_effective_face_count	ridge_symp_area	0.5199847612389645	0.5199847612389645
elastic_net_logistic_high_tail	14	ridge_size_min	combinatorial_counts	0.44104944507016536	0.44104944507016536
elastic_net_logistic_high_tail	15	ridge_symp_area_q90_over_volume_sqrt	ridge_symp_area	-0.4333244632615825	0.4333244632615825
elastic_net_logistic_high_tail	16	ridge_symp_area_max_over_volume_sqrt	ridge_symp_area	-0.3694801557481356	0.3694801557481356
elastic_net_logistic_high_tail	17	facet_vertex_count_max	combinatorial_counts	-0.36124047886983984	0.36124047886983984
elastic_net_logistic_high_tail	18	facet_neighbor_count_max	combinatorial_counts	-0.36124047886983984	0.36124047886983984
elastic_net_logistic_high_tail	19	ridge_symp_area_std_over_volume_sqrt	ridge_symp_area	-0.33153419470889933	0.33153419470889933
elastic_net_logistic_high_tail	20	facet_neighbor_count_mean	combinatorial_counts	-0.3306690879359243	0.3306690879359243
