source	seed	proxy_quantile_upper	effective_proxy_quantile	selection_definition	candidates_per_bucket	target_rows_total	target_rows_per_bucket	pooled_mean_sys	min_bucket_mean_sys	max_bucket_mean_sys	maximum_sys	sys_gt_1	censoring	dependence
ridge-tail-1m	271828	0.0001	0.0001	pre-target-frozen per-bucket lowest 10	100000	100	10	0.6083754873384172	0.4994069837225924	0.7804289204558091	0.8669200809101494	0	tracked packet retains aggregate target summaries only	same seed and nested prefix population as promising-scalars-100k
frozen-100k-stage1	1618033	0.001	0.001	post-hoc subdivision of pre-target-frozen lowest 1%	10000	100	10	0.6249642205752306	0.4985916568792545	0.7340968834064586	0.8450273730212431	0	targets observed only in lowest 1% plus matched baselines	independent seed; cumulative rows nested within this source
promising-scalars-100k	271828	0.001	0.001	pre-target-frozen per-bucket lowest 10	10000	100	10	0.6261166820981129	0.4980889975837483	0.7225898711955034	0.8221647071782672	0	targets observed only for selected sets and matched baselines	same seed and prefix population as 1M source; not independent of it
frozen-100k-stage1	1618033	0.002	0.002	post-hoc subdivision of pre-target-frozen lowest 1%	10000	200	20	0.6317915727871681	0.498465536417771	0.706547782873547	0.8530387354112793	0	targets observed only in lowest 1% plus matched baselines	independent seed; cumulative rows nested within this source
frozen-100k-stage1	1618033	0.005	0.005	post-hoc subdivision of pre-target-frozen lowest 1%	10000	500	50	0.6326779336809755	0.4976111872068552	0.7045263788906796	0.9023838838805844	0	targets observed only in lowest 1% plus matched baselines	independent seed; cumulative rows nested within this source
frozen-100k-stage1	1618033	0.01	0.01	post-hoc subdivision of pre-target-frozen lowest 1%	10000	1000	100	0.6360547446361825	0.4960215116066919	0.6999775462043298	0.9023838838805844	0	targets observed only in lowest 1% plus matched baselines	independent seed; cumulative rows nested within this source
retained-full-target	42	0.01	0.0107421875	within-bucket lowest ridge cumulative tail	1024	110	11	0.6368964252269604	0.49395133840327526	0.696440269765548	0.7899693224084291	0	none within retained table; retained-table design only	independent retained seed
retained-full-target	42	0.05	0.05078125	within-bucket lowest ridge cumulative tail	1024	520	52	0.6267902774783567	0.5105828615422492	0.6834012595663859	0.8536118881702471	0	none within retained table; retained-table design only	independent retained seed
retained-full-target	42	0.2	0.2001953125	within-bucket lowest ridge cumulative tail	1024	2050	205	0.5779365607199756	0.4588212337799915	0.6639904719984707	0.8536118881702471	0	none within retained table; retained-table design only	independent retained seed
retained-full-target	42	1.0	1.0	within-bucket lowest ridge cumulative tail	1024	10240	1024	0.33510279112506935	0.20225314677426154	0.4773043971571597	0.86258589584944	0	none within retained table; retained-table design only	independent retained seed
