proxy_quantile_upper	assumed_conditional_p_sys_gt_1	selected_target_evaluations_for_50pct_hit	raw_candidates_for_50pct_hit
0.01	0.1	7	700
0.01	0.01	69	6900
0.01	0.001	693	69300
0.01	0.0001	6932	693200
0.01	1e-05	69315	6931500
0.01	1e-06	693147	69314700
0.0001	0.1	7	70000
0.0001	0.01	69	690000
0.0001	0.001	693	6930000
0.0001	0.0001	6932	69320000
0.0001	1e-05	69315	693150000
0.0001	1e-06	693147	6931470000
1e-06	0.1	7	7000000
1e-06	0.01	69	69000000
1e-06	0.001	693	693000000
1e-06	0.0001	6932	6932000000
1e-06	1e-05	69315	69315000000
1e-06	1e-06	693147	693147000000
