bucket	requested_q	n	tail_count	effective_q	intersection	p_high_sys_given_low_ridge	enrichment_over_effective_q
3x3	0.01	1024	11	0.0107421875	0	0.0	0.0
3x4	0.01	1024	11	0.0107421875	4	0.36363636363636365	33.85123966942149
3x5	0.01	1024	11	0.0107421875	6	0.5454545454545454	50.776859504132226
3x6	0.01	1024	11	0.0107421875	4	0.36363636363636365	33.85123966942149
4x4	0.01	1024	11	0.0107421875	0	0.0	0.0
4x5	0.01	1024	11	0.0107421875	1	0.09090909090909091	8.462809917355372
4x6	0.01	1024	11	0.0107421875	0	0.0	0.0
5x5	0.01	1024	11	0.0107421875	0	0.0	0.0
5x6	0.01	1024	11	0.0107421875	0	0.0	0.0
6x6	0.01	1024	11	0.0107421875	0	0.0	0.0
all_equal_count_buckets	0.01	10240	110	0.0107421875	15	0.13636363636363635	12.694214876033056
3x3	0.05	1024	52	0.05078125	22	0.4230769230769231	8.331360946745562
3x4	0.05	1024	52	0.05078125	28	0.5384615384615384	10.603550295857987
3x5	0.05	1024	52	0.05078125	33	0.6346153846153846	12.497041420118343
3x6	0.05	1024	52	0.05078125	33	0.6346153846153846	12.497041420118343
4x4	0.05	1024	52	0.05078125	24	0.46153846153846156	9.088757396449704
4x5	0.05	1024	52	0.05078125	23	0.4423076923076923	8.710059171597633
4x6	0.05	1024	52	0.05078125	21	0.40384615384615385	7.952662721893491
5x5	0.05	1024	52	0.05078125	17	0.3269230769230769	6.437869822485207
5x6	0.05	1024	52	0.05078125	9	0.17307692307692307	3.408284023668639
6x6	0.05	1024	52	0.05078125	10	0.19230769230769232	3.7869822485207103
all_equal_count_buckets	0.05	10240	520	0.05078125	220	0.4230769230769231	8.331360946745562
3x3	0.1	1024	103	0.1005859375	88	0.8543689320388349	8.493920256386087
3x4	0.1	1024	103	0.1005859375	75	0.7281553398058253	7.239136582147234
3x5	0.1	1024	103	0.1005859375	70	0.6796116504854369	6.756527476670752
3x6	0.1	1024	103	0.1005859375	72	0.6990291262135923	6.9495711188613445
4x4	0.1	1024	103	0.1005859375	69	0.6699029126213593	6.660005655575455
4x5	0.1	1024	103	0.1005859375	64	0.6213592233009708	6.177396550098972
4x6	0.1	1024	103	0.1005859375	55	0.5339805825242718	5.308700160241305
5x5	0.1	1024	103	0.1005859375	56	0.5436893203883495	5.4052219813366005
5x6	0.1	1024	103	0.1005859375	43	0.4174757281553398	4.150438307097747
6x6	0.1	1024	103	0.1005859375	45	0.4368932038834951	4.34348194928834
all_equal_count_buckets	0.1	10240	1030	0.1005859375	637	0.6184466019417476	6.148440003770384
3x3	0.2	1024	205	0.2001953125	190	0.926829268292683	4.629625223081499
3x4	0.2	1024	205	0.2001953125	175	0.8536585365853658	4.264128494943486
3x5	0.2	1024	205	0.2001953125	171	0.8341463414634146	4.166662700773349
3x6	0.2	1024	205	0.2001953125	174	0.848780487804878	4.239762046400951
4x4	0.2	1024	205	0.2001953125	160	0.7804878048780488	3.898631766805473
4x5	0.2	1024	205	0.2001953125	150	0.7317073170731707	3.654967281380131
4x6	0.2	1024	205	0.2001953125	147	0.7170731707317073	3.5818679357525283
5x5	0.2	1024	205	0.2001953125	148	0.7219512195121951	3.606234384295062
5x6	0.2	1024	205	0.2001953125	129	0.6292682926829268	3.1432718619869124
6x6	0.2	1024	205	0.2001953125	119	0.5804878048780487	2.8996073765615704
all_equal_count_buckets	0.2	10240	2050	0.2001953125	1563	0.7624390243902439	3.8084759071980963
