capacity_source	facet_count	rows	label	sys_threshold	feature	mathematical_quantity	spearman_with_sys	feature_tail_rule	target_feature_mean	rest_feature_mean	positives	selected	hits	base_rate	precision	recall	enrichment
random_product_sample	6	1024	top_decile	0.4520867242113684	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9971023397825619	lowest_15_percent	0.9519150673770876	3.317923190908508	103	154	103	0.1005859375	0.6688311688311688	1.0	6.649350649350649
random_product_sample	6	1024	top_decile	0.4520867242113684	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9971023397825619	lowest_15_percent	14.278726010656312	49.76884786362762	103	154	103	0.1005859375	0.6688311688311688	1.0	6.649350649350649
random_product_sample	6	1024	top_decile	0.4520867242113684	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.988188277841356	lowest_15_percent	2.316360174319016	10.424045651863322	103	154	99	0.1005859375	0.6428571428571429	0.9611650485436893	6.39112343966713
random_product_sample	6	1024	top_decile	0.4520867242113684	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9943104369322651	lowest_15_percent	2.950466593719074	12.293748785921885	103	154	98	0.1005859375	0.6363636363636364	0.9514563106796117	6.326566637246249
random_sample	6	512	top_decile	0.4036306508685569	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9716010202446757	lowest_15_percent	1.0865341997184288	2.735516359905208	52	77	48	0.1015625	0.6233766233766234	0.9230769230769231	6.137862137862138
random_product_sample	7	1024	top_decile	0.49206190816317874	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9837245860453471	lowest_15_percent	0.6952214042259067	1.851290093323042	103	154	95	0.1005859375	0.6168831168831169	0.9223300970873787	6.132896229983609
random_product_sample	7	1024	top_decile	0.49206190816317874	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9837245860453471	lowest_15_percent	13.209206680292226	35.174511773137795	103	154	95	0.1005859375	0.6168831168831169	0.9223300970873787	6.132896229983609
random_sample	5	512	top_decile	0.35604027629944995	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9817019897060002	lowest_15_percent	1.6828466026550937	5.0613510643820465	52	77	47	0.1015625	0.6103896103896104	0.9038461538461539	6.00999000999001
random_sample	5	512	top_decile	0.35604027629944995	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9817019897060002	lowest_15_percent	16.828466026550934	50.61351064382047	52	77	47	0.1015625	0.6103896103896104	0.9038461538461539	6.00999000999001
random_sample	6	512	top_decile	0.4036306508685569	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9743669247319211	lowest_15_percent	15.845103564992714	40.01279274036584	52	77	46	0.1015625	0.5974025974025974	0.8846153846153846	5.882117882117882
