stratum	n	model	threshold_quantile	threshold	tail_n	exceedance_fraction	status	shape	scale	endpoint	conditional_survival_sys_gt_1_given_exceedance	p_sys_gt_1	predictive_at_least_one_1m	endpoint_below_1_flag	nearby_ok_fit_count	nearby_log10_p_sys_gt_1_range	nearby_finite_endpoint_range	threshold_probability_stable_flag	threshold_endpoint_stable_flag	threshold_stable_flag	max_sys	error
pooled:all	14336	exponential_excess	0.75	0.48365042934564106	3584	0.25	ok	0	0.10887477384358527	infinite	0.0087159497547903576	0.0021789874386975894	1	no	3	0.05377711240469063	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.75	0.48365042934564106	3584	0.25	ok	-0.3888046894907613	0.14955017386677621	0.86829129893661805	0	0	0	yes	3	NA	9.6633210982410844e-05	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.76000000000000001	0.48966495157835155	3441	0.24002511160714285	ok	0	0.10725068690577827	infinite	0.0085798549257368982	0.0020593806361230934	1	no	4	0.10450503286050594	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.76000000000000001	0.48966495157835155	3441	0.24002511160714285	ok	-0.38881420839341985	0.1472166194810251	0.86829468347350036	0	0	0	yes	4	NA	0.00092763783659732812	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.77000000000000002	0.49608036327281602	3298	0.23005022321428573	ok	0	0.10535058588735305	infinite	0.0083686413367271215	0.0019252078075143728	1	no	5	0.13701698674679097	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.77000000000000002	0.49608036327281602	3298	0.23005022321428573	ok	-0.38809106551522421	0.1444892411039978	0.86838793214760046	0	0	0	yes	5	NA	0.0010473867526993308	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.78000000000000003	0.50386788552351336	3154	0.22000558035714285	ok	0	0.10218099976955443	infinite	0.0077860286442187152	0.0017129697505486765	1	no	5	0.16318701365953991	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.78000000000000003	0.50386788552351336	3154	0.22000558035714285	ok	-0.38270118330382874	0.13982027963455873	0.86921893677321538	0	0	0	yes	5	NA	0.0018381079258757982	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.79000000000000004	0.51052931359673415	3011	0.21003069196428573	ok	0	0.10022154920087503	infinite	0.0075675443826496271	0.0015894165831583447	1	no	5	0.17359265169510474	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.79000000000000004	0.51052931359673415	3011	0.21003069196428573	ok	-0.38187369072632382	0.13701985918818957	0.86933868568931738	0	0	0	yes	5	NA	0.0020621033931145227	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.80000000000000004	0.51831788546983582	2867	0.19998604910714285	ok	0	0.097278186273600478	infinite	0.0070721247122181611	0.0014143262799894997	1	no	5	0.16323402177354396	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.80000000000000004	0.51831788546983582	2867	0.19998604910714285	ok	-0.37722486544406403	0.1327133305504869	0.87013279139937616	0	0	0	yes	5	NA	0.0014891141557308307	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.81000000000000005	0.52543544035389611	2724	0.19001116071428573	ok	0	0.095069572338936606	infinite	0.006793691967222442	0.0012908772962272554	1	no	5	0.19669149640426165	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.81000000000000005	0.52543544035389611	2724	0.19001116071428573	ok	-0.37542541772628718	0.12952724851967734	0.87045003554071498	0	0	0	yes	5	NA	0.0027018378771431761	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.81999999999999995	0.53270832776404775	2581	0.18003627232142858	ok	0	0.092886340210677626	infinite	0.0065336468961124279	0.0011762934318405537	1	no	5	0.19383891507226458	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.81999999999999995	0.53270832776404775	2581	0.18003627232142858	ok	-0.37393962270006675	0.12639148895300917	0.87070805092894621	0	0	0	yes	5	NA	0.0023171601679001785	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.82999999999999996	0.5413463027644001	2437	0.16999162946428573	ok	0	0.089488496268027851	infinite	0.0059445461996443473	0.0010105230949032699	1	no	5	0.24760337291058354	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.82999999999999996	0.5413463027644001	2437	0.16999162946428573	ok	-0.3671270383248475	0.12140678987420364	0.87204052356646056	0	0	0	yes	5	NA	0.0048462975847080036	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.83999999999999997	0.5490253372353866	2294	0.16001674107142858	ok	0	0.087145607574384512	infinite	0.0056564672226471803	0.00090512945094535654	1	no	5	0.25062405913193508	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.83999999999999997	0.5490253372353866	2294	0.16001674107142858	ok	-0.36498276071298086	0.11804440862138424	0.87244995156727634	0	0	0	yes	5	NA	0.0045882821964767784	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.84999999999999998	0.55877578451916288	2151	0.15004185267857142	ok	0	0.082847804919493839	infinite	0.0048648468361199562	0.00072993063228892472	1	no	5	0.24833650491331705	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.84999999999999998	0.55877578451916288	2151	0.15004185267857142	ok	-0.35255878573066113	0.11159210027542577	0.87529633312542299	0	0	0	yes	5	NA	0.004053903904946865	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.85999999999999999	0.5663332610988655	2007	0.13999720982142858	ok	0	0.080963297893277233	infinite	0.0047181553104046307	0.00066052857896080461	1	no	5	0.26577567704967642	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.85999999999999999	0.5663332610988655	2007	0.13999720982142858	ok	-0.35306124132444838	0.10904931984918931	0.8752012621292522	0	0	0	yes	5	NA	0.0044178633535039147	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.87	0.57488089144340093	1864	0.13002232142857142	ok	0	0.07830445444646264	infinite	0.0043872443453861869	0.00057043969446148523	1	no	5	0.21544212295998166	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.87	0.57488089144340093	1864	0.13002232142857142	ok	-0.34936977430474642	0.10523490509963923	0.87609442747140742	0	0	0	yes	5	NA	0.0016665527915280531	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.88	0.58361808409855431	1721	0.12004743303571429	ok	0	0.075712199087667659	infinite	0.00408867076604653	0.00049083442999205346	1	no	5	0.26407984100288973	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.88	0.58361808409855431	1721	0.12004743303571429	ok	-0.34635631927388222	0.10156889739564293	0.87686781492078025	0	0	0	yes	5	NA	0.0023555107281518772	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.89000000000000001	0.59183443729228857	1577	0.11000279017857142	ok	0	0.074058614782475066	infinite	0.0040405060898992262	0.00044446694362242463	1	no	5	0.29798397624560691	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.89000000000000001	0.59183443729228857	1577	0.11000279017857142	ok	-0.35016697420140508	0.099475511967177674	0.87591465986051531	0	0	0	yes	5	NA	0.0032896729868733265	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	0	0.070706227327295645	infinite	0.0035949314452593537	0.00035959344953277853	1	no	5	0.2902702522689089	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	-0.34345445959321574	0.094624350951972969	0.87755677285740408	0	0	0	yes	5	NA	0.0032896729868733265	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.91000000000000003	0.6125693867498041	1291	0.090053013392857137	ok	0	0.067404090815687004	infinite	0.0031895360296924974	0.00028722733079889883	1	no	5	0.35258130947923538	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.91000000000000003	0.6125693867498041	1291	0.090053013392857137	ok	-0.33709223291406765	0.089880569352956866	0.87920433284738864	0	0	0	yes	5	NA	0.0032896729868733265	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.92000000000000004	0.62222843333810995	1147	0.080008370535714288	ok	0	0.065560851331332548	infinite	0.003144338846687536	0.00025157342753561688	1	no	5	0.41734729832068229	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.92000000000000004	0.62222843333810995	1147	0.080008370535714288	ok	-0.3429380264928239	0.08764020686696844	0.87778541476490535	0	0	0	yes	5	NA	0.0035641105006637419	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.93000000000000005	0.6339721944086234	1004	0.070033482142857137	ok	0	0.06233760439622138	infinite	0.002818074283076242	0.00019735955498106491	1	no	5	0.50848037106643629	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.93000000000000005	0.6339721944086234	1004	0.070033482142857137	ok	-0.34007750637664447	0.083138380781018664	0.87844111464629648	0	0	0	yes	5	NA	0.0070920338754337786	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.93999999999999995	0.64765598513670042	861	0.06005859375	ok	0	0.05796009319732847	infinite	0.0022902838699020837	0.00013755122851462709	1	no	5	0.62352070535475201	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.93999999999999995	0.64765598513670042	861	0.06005859375	ok	-0.32886535300346709	0.0767785161674885	0.88112088335806782	0	0	0	yes	5	NA	0.0074701735193771768	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	0	0.053325090163411595	infinite	0.0017809602564007215	8.9072858805755952e-05	1	no	5	0.70740529345253167	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	-0.31497617768195413	0.070068782353589099	0.88487744864033913	0	0	0	yes	5	NA	0.0068144736379860404	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.95999999999999996	0.67777444397348896	574	0.0400390625	ok	0	0.04953060123853107	infinite	0.0014950652986422657	5.9861012933918844e-05	1	no	5	0.98116543448741611	NA	yes	yes	yes	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.95999999999999996	0.67777444397348896	574	0.0400390625	ok	-0.31313091591772646	0.064968760753696758	0.88525558828428252	0	0	0	yes	5	NA	0.0083213857922291856	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.96999999999999997	0.69537066852674778	431	0.030064174107142856	ok	0	0.04577503350286502	infinite	0.0012876670594870352	3.8712646668450902e-05	1	no	5	1.5130251947261062	NA	no	yes	no	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.96999999999999997	0.69537066852674778	431	0.030064174107142856	ok	-0.3204289620668993	0.060217512636075957	0.88329847707329145	0	0	0	yes	5	NA	0.016369126343937501	no	yes	no	0.86258589584944001	NA
pooled:all	14336	exponential_excess	0.97999999999999998	0.71964297040857428	287	0.02001953125	ok	0	0.038725036179587571	infinite	0.00071753837819590969	1.4364781985367332e-05	0.99999942268925346	no	4	1.3404238648949578	NA	no	yes	no	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.97999999999999998	0.71964297040857428	287	0.02001953125	ok	-0.29480212314865606	0.050057193778212786	0.889442269150297	0	0	0	yes	4	NA	0.016369126343937501	no	yes	no	0.86258589584944001	NA
