stratum	n	run_size	observed_max	top_multiplicity	empirical_top_mass	probability_rehit_observed_max	support_limited_can_exceed_observed_max
pooled:all	14336	10000	0.86258589584944001	1	6.9754464285714282e-05	0.50220601506342277	no
pooled:all	14336	100000	0.86258589584944001	1	6.9754464285714282e-05	0.99906567827912662	no
pooled:all	14336	1000000	0.86258589584944001	1	6.9754464285714282e-05	1	no
dataset:random_sample	4096	10000	0.85955960580283441	1	0.000244140625	0.91298757215524162	no
dataset:random_sample	4096	100000	0.85955960580283441	1	0.000244140625	0.99999999997512212	no
dataset:random_sample	4096	1000000	0.85955960580283441	1	0.000244140625	1	no
dataset:random_product_sample	10240	10000	0.86258589584944001	1	9.7656250000000005e-05	0.62341450788205932	no
dataset:random_product_sample	10240	100000	0.86258589584944001	1	9.7656250000000005e-05	0.99994263647262616	no
dataset:random_product_sample	10240	1000000	0.86258589584944001	1	9.7656250000000005e-05	1	no
product:5x6	1024	10000	0.86258589584944001	1	0.0009765625	0.99994288229836736	no
product:5x6	1024	100000	0.86258589584944001	1	0.0009765625	1	no
product:5x6	1024	1000000	0.86258589584944001	1	0.0009765625	1	no
generic:F10	512	10000	0.85955960580283441	1	0.001953125	0.99999999676859352	no
generic:F10	512	100000	0.85955960580283441	1	0.001953125	1	no
generic:F10	512	1000000	0.85955960580283441	1	0.001953125	1	no
product:6x6	1024	10000	0.85361188817024714	1	0.0009765625	0.99994288229836736	no
product:6x6	1024	100000	0.85361188817024714	1	0.0009765625	1	no
product:6x6	1024	1000000	0.85361188817024714	1	0.0009765625	1	no
product:5x5	1024	10000	0.8437955079134134	1	0.0009765625	0.99994288229836736	no
product:5x5	1024	100000	0.8437955079134134	1	0.0009765625	1	no
product:5x5	1024	1000000	0.8437955079134134	1	0.0009765625	1	no
product:4x5	1024	10000	0.83812448892957969	1	0.0009765625	0.99994288229836736	no
product:4x5	1024	100000	0.83812448892957969	1	0.0009765625	1	no
product:4x5	1024	1000000	0.83812448892957969	1	0.0009765625	1	no
product:4x6	1024	10000	0.82926655519817316	1	0.0009765625	0.99994288229836736	no
product:4x6	1024	100000	0.82926655519817316	1	0.0009765625	1	no
product:4x6	1024	1000000	0.82926655519817316	1	0.0009765625	1	no
generic:F12	512	10000	0.82476627462416685	1	0.001953125	0.99999999676859352	no
generic:F12	512	100000	0.82476627462416685	1	0.001953125	1	no
generic:F12	512	1000000	0.82476627462416685	1	0.001953125	1	no
product:4x4	1024	10000	0.81410023330295289	1	0.0009765625	0.99994288229836736	no
product:4x4	1024	100000	0.81410023330295289	1	0.0009765625	1	no
product:4x4	1024	1000000	0.81410023330295289	1	0.0009765625	1	no
