stratum	n	model	threshold_quantile	threshold	tail_n	status	shape	scale	endpoint	p_sys_gt_1	predictive_at_least_one_10000	predictive_at_least_one_100000	predictive_at_least_one_1000000	bootstrap_success_count	bootstrap_p_q05	bootstrap_p_median	bootstrap_p_q95	bootstrap_endpoint_below_one_fraction	model_dominated_flag	unstable_flag	max_sys	q99_sys	error
pooled:all	14336	exponential_excess	0.80000000000000004	0.51831788546983582	2867	ok	0	0.097278186273600478	infinite	0.0014143262799894997	0.99999928663586202	1	1	160	0.0012692651185629217	0.0014147198749415171	0.0015899212257321656	0	yes	yes	0.86258589584944001	0.75210201224531514	NA
pooled:all	14336	gpd_excess	0.80000000000000004	0.51831788546983582	2867	ok	-0.37722486544406403	0.1327133305504869	0.87013279139937616	0	0	0	0	160	0	0	0	1	yes	yes	0.86258589584944001	0.75210201224531514	NA
pooled:all	14336	exponential_excess	0.90000000000000002	0.60204906489505827	1434	ok	0	0.070706227327295645	infinite	0.00035959344953277853	0.97258270300604399	0.99999999999999978	1	160	0.00028900491057391031	0.00035244392650452845	0.00042394658806934081	0	yes	yes	0.86258589584944001	0.75210201224531514	NA
pooled:all	14336	gpd_excess	0.90000000000000002	0.60204906489505827	1434	ok	-0.34345445959321574	0.094624350951972969	0.87755677285740408	0	0	0	0	160	0	0	0	1	yes	yes	0.86258589584944001	0.75210201224531514	NA
pooled:all	14336	exponential_excess	0.94999999999999996	0.66242004608610294	717	ok	0	0.053325090163411595	infinite	8.9072858805755952e-05	0.58965961659461696	0.99986465488076004	1	160	6.7434414407268868e-05	9.2309984140081711e-05	0.00012230635218813871	0	yes	yes	0.86258589584944001	0.75210201224531514	NA
pooled:all	14336	gpd_excess	0.94999999999999996	0.66242004608610294	717	ok	-0.31497617768195413	0.070068782353589099	0.88487744864033913	0	0	0	0	160	0	0	0	1	yes	yes	0.86258589584944001	0.75210201224531514	NA
dataset:random_sample	4096	exponential_excess	0.80000000000000004	0.46506425039287708	819	ok	0	0.10184535765969624	infinite	0.0010466994624533999	0.99997169512053263	1	1	160	0.00085578178460406077	0.0010741134435612249	0.0013335330097198517	0	yes	no	0.85955960580283441	0.70515620801278245	NA
dataset:random_sample	4096	gpd_excess	0.80000000000000004	0.46506425039287708	819	ok	-0.32350822483001829	0.13267099768402368	0.87516509946320076	0	0	0	0	160	0	0	0	1	yes	yes	0.85955960580283441	0.70515620801278245	NA
dataset:random_sample	4096	exponential_excess	0.90000000000000002	0.55894262137915063	410	ok	0	0.066789017502303816	infinite	0.00013566118224216339	0.74249183496999138	0.99999871793500839	1	160	9.9817344487050969e-05	0.0001500992123257606	0.00023293406430029349	0	yes	no	0.85955960580283441	0.70515620801278245	NA
dataset:random_sample	4096	gpd_excess	0.90000000000000002	0.55894262137915063	410	ok	-0.21304503454362761	0.081036149081442466	0.93931360376338358	0	0	0	0	160	0	0	6.6139077032115806e-08	0.86875000000000002	yes	yes	0.85955960580283441	0.70515620801278245	NA
dataset:random_sample	4096	exponential_excess	0.94999999999999996	0.6101385841537581	205	ok	0	0.058932266833908731	infinite	6.7043330576802221e-05	0.48852459602317266	0.99877468559176641	1	160	3.0329245706953197e-05	6.235507217106434e-05	0.00012729363406037962	0	yes	no	0.85955960580283441	0.70515620801278245	NA
dataset:random_sample	4096	gpd_excess	0.94999999999999996	0.6101385841537581	205	ok	-0.23025926932998361	0.072392420078631198	0.92453383212480034	0	0	0	0	160	0	0	6.1376640809242836e-08	0.91249999999999998	yes	yes	0.85955960580283441	0.70515620801278245	NA
dataset:random_product_sample	10240	exponential_excess	0.80000000000000004	0.53555423843973049	2048	ok	0	0.095054637222867666	infinite	0.0015101738024939921	0.99999972682484195	1	1	160	0.0012909280543156657	0.0014942826903322607	0.0017302481395801087	0	yes	no	0.86258589584944001	0.76051313149295285	NA
dataset:random_product_sample	10240	gpd_excess	0.80000000000000004	0.53555423843973049	2048	ok	-0.39426710197175452	0.13105923160827671	0.86796653191499451	0	0	0	0	160	0	0	0	1	yes	yes	0.86258589584944001	0.76051313149295285	NA
dataset:random_product_sample	10240	exponential_excess	0.90000000000000002	0.61876798769465591	1024	ok	0	0.067254126154648708	infinite	0.00034529383624974132	0.96836637490773925	0.999999999999999	1	160	0.00027984635103908294	0.0003513234201303834	0.00044526957617891885	0	yes	no	0.86258589584944001	0.76051313149295285	NA
dataset:random_product_sample	10240	gpd_excess	0.90000000000000002	0.61876798769465591	1024	ok	-0.35490990575910286	0.090792330312642278	0.87458595399923156	0	0	0	0	160	0	0	0	1	yes	yes	0.86258589584944001	0.76051313149295285	NA
dataset:random_product_sample	10240	exponential_excess	0.94999999999999996	0.67614655853018124	512	ok	0	0.050889785719648806	infinite	8.6138647648243582e-05	0.57743989330899925	0.99981849652881594	1	160	5.9286554054645473e-05	8.8449572916445018e-05	0.00012240307688119858	0	yes	no	0.86258589584944001	0.76051313149295285	NA
dataset:random_product_sample	10240	gpd_excess	0.94999999999999996	0.67614655853018124	512	ok	-0.33410761578807258	0.067678946524503791	0.87871286748685329	0	0	0	0	160	0	0	0	1	yes	yes	0.86258589584944001	0.76051313149295285	NA
product:5x6	1024	exponential_excess	0.80000000000000004	0.61708626676858225	205	ok	0	0.066631127955188413	infinite	0.00063923953372086058	0.99832917764269935	1	1	160	0.00039231747692431758	0.0006095075897042967	0.0011097431353703612	0	yes	no	0.86258589584944001	0.7926715918074011	NA
product:5x6	1024	gpd_excess	0.80000000000000004	0.61708626676858225	205	ok	-0.31100714222588544	0.087243557538244101	0.89760573302212199	0	0	0	0	160	0	0	0	0.98750000000000004	yes	yes	0.86258589584944001	0.7926715918074011	NA
product:5x6	1024	exponential_excess	0.90000000000000002	0.66943363963699265	103	ok	0	0.0552090448524594	infinite	0.00025245368698328116	0.91993012498098281	0.99999999998916844	1	160	8.6059321319571886e-05	0.00021454183017803965	0.00044707554108503822	0	yes	no	0.86258589584944001	0.7926715918074011	NA
product:5x6	1024	gpd_excess	0.90000000000000002	0.66943363963699265	103	ok	-0.3245530640740848	0.072903129968928101	0.89405986578867891	0	0	0	0	160	0	0	0	0.96250000000000002	yes	yes	0.86258589584944001	0.7926715918074011	NA
product:5x6	1024	exponential_excess	0.94999999999999996	0.71457156851790737	52	ok	0	0.042380140092224045	infinite	6.0359915124444501e-05	0.45317003149963986	0.99760931103747863	1	160	1.8541343097648e-05	5.3998885703410706e-05	0.00015788691433593272	0	yes	no	0.86258589584944001	0.7926715918074011	NA
product:5x6	1024	gpd_excess	0.94999999999999996	0.71457156851790737	52	ok	-0.28130022106891728	0.054544496858132029	0.90847293358213488	0	0	0	0	160	0	0	1.6919272198423707e-06	0.86875000000000002	yes	yes	0.86258589584944001	0.7926715918074011	NA
generic:F10	512	exponential_excess	0.80000000000000004	0.52946461191300909	103	ok	0	0.081365956678634388	infinite	0.00061953136963118491	0.99796494734330532	1	1	160	0.0002460390436862929	0.00063800336768713003	0.0013657664576214761	0	yes	no	0.85955960580283441	0.74520452176937146	NA
generic:F10	512	gpd_excess	0.80000000000000004	0.52946461191300909	103	ok	-0.23427647829183085	0.099940323297678213	0.95605597962678224	0	0	0	0	160	0	0	1.7832593559437899e-05	0.68125000000000002	yes	yes	0.85955960580283441	0.74520452176937146	NA
generic:F10	512	exponential_excess	0.90000000000000002	0.59480215016891524	52	ok	0	0.063078810767376897	infinite	0.00016480344816619316	0.80759837550533597	0.99999993048358848	1	160	5.213453745413778e-05	0.00016935283003347571	0.00063493860420769596	0	yes	no	0.85955960580283441	0.74520452176937146	NA
