stratum	n	model	posterior_mean_p_sys_gt_1	run_size	posterior_predictive_at_least_one
dataset:random_product_sample	10240	jeffreys_beta_0.5_0.5	4.8823357094033783e-05	10000	0.28870895095555704
dataset:random_product_sample	10240	jeffreys_beta_0.5_0.5	4.8823357094033783e-05	100000	0.69522089801749376
dataset:random_product_sample	10240	jeffreys_beta_0.5_0.5	4.8823357094033783e-05	1000000	0.89932006047120305
dataset:random_product_sample	10240	uniform_beta_1_1	9.7637180238234724e-05	10000	0.49404673679555733
dataset:random_product_sample	10240	uniform_beta_1_1	9.7637180238234724e-05	100000	0.90710352770564628
dataset:random_product_sample	10240	uniform_beta_1_1	9.7637180238234724e-05	1000000	0.98986281492284978
dataset:random_product_sample	10240	pessimistic_beta_0.1_1000	8.8967180007295308e-06	10000	0.061659716477448057
dataset:random_product_sample	10240	pessimistic_beta_0.1_1000	8.8967180007295308e-06	100000	0.20485017090301694
dataset:random_product_sample	10240	pessimistic_beta_0.1_1000	8.8967180007295308e-06	1000000	0.36233953942083708
dataset:random_product_sample	10240	skeptical_beta_0.01_10000	4.9407090213888235e-07	10000	0.0040070780757067714
dataset:random_product_sample	10240	skeptical_beta_0.01_10000	4.9407090213888235e-07	100000	0.017660681885311447
dataset:random_product_sample	10240	skeptical_beta_0.01_10000	4.9407090213888235e-07	1000000	0.038443122793004769
dataset:random_sample	4096	jeffreys_beta_0.5_0.5	0.000122040517451794	10000	0.46093463304661719
dataset:random_sample	4096	jeffreys_beta_0.5_0.5	0.000122040517451794	100000	0.80163014067284999
dataset:random_sample	4096	jeffreys_beta_0.5_0.5	0.000122040517451794	1000000	0.93612872951032666
dataset:random_sample	4096	uniform_beta_1_1	0.0002440214738897023	10000	0.70937078812107868
dataset:random_sample	4096	uniform_beta_1_1	0.0002440214738897023	100000	0.96064247768186106
dataset:random_sample	4096	uniform_beta_1_1	0.0002440214738897023	1000000	0.99591971692365844
dataset:random_sample	4096	pessimistic_beta_0.1_1000	1.9622848845195346e-05	10000	0.10291372400047227
dataset:random_sample	4096	pessimistic_beta_0.1_1000	1.9622848845195346e-05	100000	0.2611425205402238
dataset:random_sample	4096	pessimistic_beta_0.1_1000	1.9622848845195346e-05	1000000	0.41048023356721541
dataset:random_sample	4096	skeptical_beta_0.01_10000	7.094206090943466e-07	10000	0.0053473453670770388
dataset:random_sample	4096	skeptical_beta_0.01_10000	7.094206090943466e-07	100000	0.020694663488496357
dataset:random_sample	4096	skeptical_beta_0.01_10000	7.094206090943466e-07	1000000	0.041857692231275778
generic:F10	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F10	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F10	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F10	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F10	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F10	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
generic:F10	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F10	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F10	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
generic:F10	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F10	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F10	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
generic:F11	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F11	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F11	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F11	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F11	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F11	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
generic:F11	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F11	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F11	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
generic:F11	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F11	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F11	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
generic:F12	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F12	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F12	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F12	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F12	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F12	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
generic:F12	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F12	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F12	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
